state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2001 - 2002,1.0
,,2002 - 2003,0.33
,,2003 - 2004,0.45
,,2004 - 2005,0.67
,,2005 - 2006,0.48
,,2006 - 2007,1.0
,,2007 - 2008,1.18
,,2008 - 2009,0.86
,,2009 - 2010,0.62
,,2010 - 2011,0.85
,,2011 - 2012,0.72
,,2012 - 2013,1.0
,,2013 - 2014,1.27
,,2014 - 2015,0.9
,,2015 - 2016,0.53
,,2016 - 2017,0.76
,,2017 - 2018,0.89
,,2018 - 2019,0.69
,,2019 - 2020,0.0
,,2020 - 2021,0.36
,,2021 - 2022,0.45
,Jaipur,2000 - 2001,0.54
,,2001 - 2002,0.72
,,2002 - 2003,0.41
,,2003 - 2004,0.73
,,2004 - 2005,0.72
,,2005 - 2006,2.32
,,2006 - 2007,0.81
,,2007 - 2008,1.87
,,2008 - 2009,1.55
,,2009 - 2010,0.39
,,2010 - 2011,0.7
,,2011 - 2012,0.55
,,2012 - 2013,1.04
,,2013 - 2014,0.25
,,2014 - 2015,0.25
,,2015 - 2016,0.45
,,2016 - 2017,1.08
,,2017 - 2018,0.87
,,2018 - 2019,0.86
,,2019 - 2020,1.64
,,2020 - 2021,1.06
,,2021 - 2022,1.12
,Jaisalmer,2000 - 2001,0.4
,,2001 - 2002,0.97
,,2002 - 2003,0.0
,,2003 - 2004,0.75
,,2004 - 2005,0.1
,,2005 - 2006,0.79
,,2006 - 2007,1.0
,,2007 - 2008,0.81
,,2008 - 2009,0.52
,,2009 - 2010,0.53
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.53
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.56
,,2018 - 2019,0.5
,,2019 - 2020,0.43
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,Jalore,2000 - 2001,1.0
,,2001 - 2002,2.2
,,2002 - 2003,8.51
,,2003 - 2004,2.3
,,2004 - 2005,1.6
,,2005 - 2006,2.8
,,2006 - 2007,4.1
,,2007 - 2008,2.9
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,2.4
,,2011 - 2012,3.0
,,2012 - 2013,2.3
,,2013 - 2014,2.0
,,2014 - 2015,2.0
,,2015 - 2016,1.7
,,2016 - 2017,1.5
,,2017 - 2018,1.66
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,1.9
,,2021 - 2022,1.6
,Jhalawar,2000 - 2001,1.11
,,2001 - 2002,1.36
,,2002 - 2003,0.24
,,2003 - 2004,0.42
,,2004 - 2005,0.41
,,2005 - 2006,0.38
,,2006 - 2007,0.35
,,2007 - 2008,0.81
,,2008 - 2009,0.4
,,2009 - 2010,0.97
,,2010 - 2011,1.0
,,2011 - 2012,0.82
,,2012 - 2013,0.79
,,2013 - 2014,0.7
,,2014 - 2015,0.8
,,2015 - 2016,0.73
,,2016 - 2017,0.7
,,2017 - 2018,0.5
,,2018 - 2019,1.08
,,2019 - 2020,0.25
,,2020 - 2021,1.44
,,2021 - 2022,1.7
,Jhunjhunu,2000 - 2001,0.92
,,2001 - 2002,1.0
,,2002 - 2003,0.47
,,2003 - 2004,0.99
,,2004 - 2005,1.0
,,2005 - 2006,4.0
,,2006 - 2007,0.2
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.11
,,2010 - 2011,0.63
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.51
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.49
,Jodhpur,2000 - 2001,0.9
,,2001 - 2002,1.0
,,2002 - 2003,0.73
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.58
,,2006 - 2007,0.06
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.32
,,2010 - 2011,0.4
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.49
,,2014 - 2015,0.5
,,2015 - 2016,0.49
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,Karauli,2000 - 2001,0.84
,,2001 - 2002,0.51
,,2002 - 2003,0.02
,,2003 - 2004,3.23
,,2004 - 2005,0.35
,,2005 - 2006,0.38
,,2006 - 2007,0.44
,,2007 - 2008,0.31
,,2008 - 2009,3.0
,,2009 - 2010,1.0
,,2010 - 2011,2.24
,,2011 - 2012,3.55
,,2012 - 2013,3.34
,,2013 - 2014,3.32
,,2014 - 2015,3.5
,,2015 - 2016,3.04
,,2016 - 2017,3.25
,,2017 - 2018,4.0
,,2018 - 2019,2.36
,,2019 - 2020,0.33
,,2020 - 2021,1.27
,,2021 - 2022,1.85
,Kota,2000 - 2001,2.35
,,2001 - 2002,2.44
,,2002 - 2003,1.4
,,2003 - 2004,2.64
,,2004 - 2005,2.3
,,2005 - 2006,8.51
,,2006 - 2007,0.82
,,2007 - 2008,0.99
,,2008 - 2009,0.98
,,2009 - 2010,0.86
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.03
,,2013 - 2014,0.57
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.36
,,2020 - 2021,0.12
,,2021 - 2022,0.6
,Nagaur,2000 - 2001,0.5
,,2001 - 2002,0.55
,,2002 - 2003,0.75
,,2003 - 2004,0.84
,,2004 - 2005,1.17
,,2005 - 2006,0.53
,,2006 - 2007,0.59
,,2007 - 2008,2.5
,,2008 - 2009,2.87
,,2009 - 2010,2.05
,,2010 - 2011,1.77
,,2011 - 2012,1.48
,,2012 - 2013,0.81
,,2013 - 2014,1.3
,,2014 - 2015,1.0
,,2015 - 2016,1.11
,,2016 - 2017,4.33
,,2017 - 2018,2.81
,,2018 - 2019,3.02
,,2019 - 2020,3.02
,,2020 - 2021,3.61
,,2021 - 2022,1.94
,Pali,2000 - 2001,0.5
,,2001 - 2002,1.03
,,2002 - 2003,0.33
,,2003 - 2004,1.44
,,2004 - 2005,1.13
,,2005 - 2006,0.82
,,2006 - 2007,0.68
,,2007 - 2008,0.63
,,2008 - 2009,0.83
,,2009 - 2010,0.61
,,2010 - 2011,0.76
,,2011 - 2012,1.97
,,2012 - 2013,1.87
,,2013 - 2014,0.91
,,2014 - 2015,1.11
,,2015 - 2016,0.93
,,2016 - 2017,0.94
,,2017 - 2018,0.9
,,2018 - 2019,1.01
,,2019 - 2020,0.95
,,2020 - 2021,0.6
,,2021 - 2022,0.64
,Pratapgarh,2008 - 2009,0.47
,,2009 - 2010,0.55
,,2010 - 2011,0.54
,,2011 - 2012,0.36
,,2012 - 2013,0.37
,,2013 - 2014,0.19
,,2014 - 2015,0.37
,,2015 - 2016,0.26
,,2016 - 2017,0.37
,,2017 - 2018,0.35
,,2018 - 2019,0.31
,,2019 - 2020,0.04
,,2020 - 2021,0.47
,,2021 - 2022,0.52
,Rajsamand,2000 - 2001,0.21
,,2001 - 2002,0.54
,,2002 - 2003,0.07
,,2003 - 2004,0.59
,,2004 - 2005,0.17
,,2005 - 2006,0.35
,,2006 - 2007,0.14
,,2007 - 2008,0.64
,,2008 - 2009,0.52
,,2009 - 2010,0.03
,,2010 - 2011,0.67
,,2011 - 2012,0.52
,,2012 - 2013,0.9
,,2013 - 2014,1.77
,,2014 - 2015,1.97
,,2015 - 2016,0.95
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Sawai madhopur,2000 - 2001,2.96
,,2001 - 2002,3.0
,,2002 - 2003,1.89
,,2003 - 2004,3.0
,,2004 - 2005,3.0
,,2005 - 2006,2.94
,,2006 - 2007,2.86
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,1.74
,,2010 - 2011,1.8
,,2011 - 2012,2.96
,,2012 - 2013,2.95
,,2013 - 2014,2.96
,,2014 - 2015,2.96
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,2.96
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,2.99
,,2021 - 2022,3.0
,Sikar,2000 - 2001,0.26
,,2001 - 2002,0.33
,,2002 - 2003,0.1
,,2003 - 2004,0.31
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.18
,,2010 - 2011,0.24
,,2011 - 2012,0.24
,,2012 - 2013,2.8
,,2013 - 2014,3.41
,,2014 - 2015,1.2
,,2015 - 2016,1.19
,,2017 - 2018,1.0
,,2018 - 2019,0.14
,,2019 - 2020,0.14
,,2020 - 2021,0.43
,,2021 - 2022,1.07
,Sirohi,2000 - 2001,0.24
,,2001 - 2002,0.5
,,2002 - 2003,0.23
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.5
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.26
,,2010 - 2011,0.48
,,2011 - 2012,0.59
,,2012 - 2013,0.61
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.6
,,2017 - 2018,0.07
,,2018 - 2019,0.55
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.57
,Tonk,2000 - 2001,1.02
,,2001 - 2002,1.26
,,2002 - 2003,0.96
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2006 - 2007,1.46
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2009 - 2010,1.37
,,2010 - 2011,1.5
,,2011 - 2012,1.5
,,2012 - 2013,1.5
,,2013 - 2014,1.46
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.49
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,Udaipur,2000 - 2001,0.11
,,2001 - 2002,0.48
,,2002 - 2003,0.17
,,2003 - 2004,0.6
,,2004 - 2005,0.25
,,2005 - 2006,0.58
,,2006 - 2007,0.21
,,2007 - 2008,0.52
,,2008 - 2009,0.54
,,2009 - 2010,0.22
,,2010 - 2011,0.6
,,2011 - 2012,0.59
,,2012 - 2013,0.87
,,2013 - 2014,0.64
,,2014 - 2015,0.62
,,2015 - 2016,0.27
,,2016 - 2017,0.49
,,2017 - 2018,0.3
,,2018 - 2019,0.64
,,2019 - 2020,0.6
,,2020 - 2021,0.28
,,2021 - 2022,0.49
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,0.36
,,2011 - 2012,0.69
,,2013 - 2014,0.27
,,2014 - 2015,0.79
,,2015 - 2016,0.77
,,2016 - 2017,0.49
,,2017 - 2018,0.45
,,2018 - 2019,0.44
,,2019 - 2020,1.77
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Chengalpattu,2020 - 2021,0.46
,,2021 - 2022,0.49
,,2022 - 2023,0.48
,Chennai,2018 - 2019,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Coimbatore,2000 - 2001,0.96
,,2002 - 2003,0.52
,,2003 - 2004,0.51
,,2004 - 2005,0.44
,,2005 - 2006,0.57
,,2006 - 2007,2.0
,,2007 - 2008,1.7
,,2008 - 2009,0.72
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.3
,,2019 - 2020,0.62
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Cuddalore,2000 - 2001,0.54
,,2002 - 2003,0.59
,,2003 - 2004,0.53
,,2004 - 2005,0.67
,,2005 - 2006,0.66
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.3
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Dharmapuri,2000 - 2001,0.87
,,2002 - 2003,0.92
,,2003 - 2004,2.87
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,0.7
,,2007 - 2008,0.51
,,2008 - 2009,0.49
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.42
,,2016 - 2017,0.63
,,2017 - 2018,0.43
,,2018 - 2019,0.55
,,2019 - 2020,0.59
,,2020 - 2021,0.46
,,2021 - 2022,0.43
,,2022 - 2023,0.59
,Dindigul,2000 - 2001,0.51
,,2002 - 2003,0.91
,,2003 - 2004,0.37
,,2004 - 2005,1.02
,,2005 - 2006,1.05
,,2006 - 2007,0.99
,,2007 - 2008,1.1
,,2008 - 2009,0.6
,,2009 - 2010,1.45
,,2011 - 2012,1.04
,,2013 - 2014,0.55
,,2014 - 2015,1.04
,,2015 - 2016,1.1
,,2016 - 2017,0.8
,,2017 - 2018,2.56
,,2018 - 2019,1.41
,,2019 - 2020,2.13
,,2020 - 2021,1.32
,,2021 - 2022,2.05
,,2022 - 2023,0.67
,Erode,2000 - 2001,0.54
,,2002 - 2003,0.78
,,2003 - 2004,0.78
,,2004 - 2005,0.85
,,2005 - 2006,1.41
,,2006 - 2007,0.89
,,2007 - 2008,1.21
,,2008 - 2009,1.25
,,2009 - 2010,0.54
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.31
,,2019 - 2020,0.61
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Kallakurichi,2020 - 2021,0.46
,,2022 - 2023,0.48
,Kanchipuram,2000 - 2001,0.9
,,2002 - 2003,0.59
,,2003 - 2004,0.53
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.7
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.53
,,2011 - 2012,0.43
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.67
,,2019 - 2020,0.71
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Kanniyakumari,2004 - 2005,0.75
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2011 - 2012,0.5
,,2014 - 2015,1.0
,,2016 - 2017,0.33
,,2017 - 2018,0.0
,Karur,2000 - 2001,0.56
,,2002 - 2003,0.65
,,2003 - 2004,0.56
,,2004 - 2005,0.69
,,2005 - 2006,0.62
,,2006 - 2007,0.28
,,2007 - 2008,0.67
,,2008 - 2009,1.71
,,2009 - 2010,0.53
,,2011 - 2012,0.64
,,2013 - 2014,0.62
,,2014 - 2015,0.48
,,2015 - 2016,0.74
,,2016 - 2017,0.08
,,2017 - 2018,1.19
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Krishnagiri,2003 - 2004,0.0
,,2004 - 2005,0.65
,,2005 - 2006,1.49
,,2006 - 2007,1.15
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,1.37
,,2015 - 2016,0.9
,,2016 - 2017,0.79
,,2017 - 2018,0.84
,,2018 - 2019,0.4
,,2019 - 2020,0.99
,,2020 - 2021,0.49
,,2021 - 2022,0.52
,,2022 - 2023,0.38
,Madurai,2000 - 2001,0.69
,,2002 - 2003,0.59
,,2003 - 2004,0.53
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.7
,,2007 - 2008,0.51
,,2008 - 2009,0.66
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.91
,,2015 - 2016,0.78
,,2016 - 2017,0.12
,,2017 - 2018,0.82
,,2018 - 2019,1.0
,,2019 - 2020,1.29
,,2020 - 2021,2.4
,,2021 - 2022,1.0
,,2022 - 2023,1.66
,Mayiladuthurai,2020 - 2021,0.43
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Nagapattinam,2000 - 2001,0.57
,,2002 - 2003,0.58
,,2003 - 2004,0.52
,,2004 - 2005,0.67
,,2005 - 2006,0.66
,,2006 - 2007,0.72
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.54
,,2011 - 2012,0.44
,,2013 - 2014,0.26
,,2014 - 2015,0.68
,,2015 - 2016,0.53
,,2016 - 2017,0.46
,,2017 - 2018,0.42
,,2018 - 2019,0.29
,,2019 - 2020,0.62
,,2020 - 2021,0.44
,,2021 - 2022,0.46
,,2022 - 2023,0.48
,Namakkal,2000 - 2001,0.63
,,2002 - 2003,0.59
,,2003 - 2004,0.53
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.69
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.3
,,2019 - 2020,0.62
,,2020 - 2021,0.46
,,2021 - 2022,0.49
,,2022 - 2023,0.48
,Perambalur,2000 - 2001,0.39
,,2002 - 2003,0.67
,,2003 - 2004,0.38
,,2004 - 2005,0.53
,,2005 - 2006,0.65
,,2006 - 2007,1.69
,,2007 - 2008,0.69
,,2008 - 2009,1.39
,,2009 - 2010,0.77
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,1.12
,,2015 - 2016,0.5
,,2016 - 2017,1.04
,,2017 - 2018,1.81
,,2018 - 2019,0.3
,,2019 - 2020,0.61
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Pudukkottai,2000 - 2001,0.68
,,2002 - 2003,0.59
,,2003 - 2004,0.54
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.7
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.3
,,2019 - 2020,0.62
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Ramanathapuram,2000 - 2001,0.46
,,2002 - 2003,0.84
,,2003 - 2004,0.78
,,2004 - 2005,0.57
,,2005 - 2006,0.58
,,2006 - 2007,0.65
,,2007 - 2008,0.34
,,2008 - 2009,0.33
,,2009 - 2010,0.14
,,2011 - 2012,0.35
,,2013 - 2014,0.27
,,2014 - 2015,0.64
,,2015 - 2016,0.24
,,2016 - 2017,0.16
,,2017 - 2018,0.21
,,2018 - 2019,0.14
,,2019 - 2020,0.2
,,2020 - 2021,0.13
,,2021 - 2022,0.25
,,2022 - 2023,0.27
,Ranipet,2020 - 2021,0.33
,,2021 - 2022,2.36
,,2022 - 2023,0.3
,Salem,2000 - 2001,1.02
,,2002 - 2003,0.5
,,2003 - 2004,0.44
,,2004 - 2005,0.96
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.84
,,2008 - 2009,0.5
,,2009 - 2010,0.77
,,2011 - 2012,0.64
,,2013 - 2014,0.6
,,2014 - 2015,0.86
,,2015 - 2016,0.95
,,2016 - 2017,0.52
,,2017 - 2018,0.41
,,2018 - 2019,0.42
,,2019 - 2020,0.56
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.44
,Sivaganga,2000 - 2001,0.26
,,2002 - 2003,0.15
,,2003 - 2004,0.03
,,2004 - 2005,1.55
,,2005 - 2006,0.96
,,2006 - 2007,0.5
,,2007 - 2008,0.44
,,2008 - 2009,0.78
,,2009 - 2010,1.11
,,2011 - 2012,0.21
,,2013 - 2014,0.05
,,2014 - 2015,0.33
,,2015 - 2016,0.1
,,2016 - 2017,0.11
,,2017 - 2018,0.07
,,2018 - 2019,0.25
,,2019 - 2020,0.46
,,2020 - 2021,0.13
,,2021 - 2022,0.44
,,2022 - 2023,0.56
,Thanjavur,2000 - 2001,0.54
,,2002 - 2003,0.6
,,2003 - 2004,0.53
,,2004 - 2005,0.66
,,2005 - 2006,0.67
,,2006 - 2007,0.71
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.55
,,2011 - 2012,0.44
,,2013 - 2014,0.28
,,2014 - 2015,0.67
,,2015 - 2016,0.52
,,2016 - 2017,0.46
,,2017 - 2018,0.42
,,2018 - 2019,0.3
,,2019 - 2020,0.63
,,2020 - 2021,0.45
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,The nilgiris,2000 - 2001,0.62
,,2002 - 2003,0.59
,,2003 - 2004,0.55
,,2004 - 2005,0.64
,,2005 - 2006,0.6
,,2006 - 2007,0.67
,,2007 - 2008,0.5
,,2008 - 2009,0.55
,,2009 - 2010,0.52
,,2011 - 2012,0.5
,,2013 - 2014,0.27
,,2014 - 2015,1.0
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.4
,Theni,2000 - 2001,0.83
,,2002 - 2003,0.6
,,2003 - 2004,0.54
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.69
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.75
,,2021 - 2022,0.5
,Thenkasi,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Thiruvallur,2000 - 2001,1.5
,,2002 - 2003,0.72
,,2003 - 2004,0.91
,,2004 - 2005,0.78
,,2005 - 2006,1.91
,,2006 - 2007,0.5
,,2007 - 2008,0.69
,,2008 - 2009,0.7
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,0.7
,,2015 - 2016,0.82
,,2016 - 2017,1.76
,,2017 - 2018,1.82
,,2018 - 2019,1.51
,,2019 - 2020,0.8
,,2020 - 2021,0.83
,,2021 - 2022,0.5
,,2022 - 2023,0.72
,Thiruvarur,2000 - 2001,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.53
,,2004 - 2005,0.68
,,2005 - 2006,0.71
,,2006 - 2007,0.71
,,2007 - 2008,0.56
,,2008 - 2009,0.64
,,2009 - 2010,0.5
,,2011 - 2012,0.47
,,2013 - 2014,0.25
,,2014 - 2015,0.71
,,2016 - 2017,0.44
,,2017 - 2018,0.44
,,2018 - 2019,0.29
,,2019 - 2020,0.63
,,2020 - 2021,0.47
,,2021 - 2022,0.48
,,2022 - 2023,0.48
,Thoothukudi,2000 - 2001,0.45
,,2002 - 2003,0.37
,,2003 - 2004,0.28
,,2004 - 2005,0.42
,,2005 - 2006,0.38
,,2006 - 2007,0.47
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,0.56
,,2011 - 2012,0.25
,,2013 - 2014,0.09
,,2014 - 2015,0.61
,,2015 - 2016,0.61
,,2016 - 2017,0.18
,,2017 - 2018,0.14
,,2018 - 2019,0.22
,,2019 - 2020,0.41
,,2020 - 2021,0.15
,,2021 - 2022,0.3
,,2022 - 2023,0.38
,Tiruchirappalli,2000 - 2001,0.57
,,2002 - 2003,1.08
,,2003 - 2004,1.33
,,2004 - 2005,0.84
,,2005 - 2006,0.63
,,2006 - 2007,0.37
,,2007 - 2008,0.61
,,2008 - 2009,0.68
,,2009 - 2010,0.8
,,2011 - 2012,0.55
,,2013 - 2014,0.57
,,2014 - 2015,0.63
,,2015 - 2016,1.4
,,2016 - 2017,3.13
,,2017 - 2018,1.11
,,2018 - 2019,0.45
,,2019 - 2020,0.85
,,2020 - 2021,0.46
,,2021 - 2022,0.52
,,2022 - 2023,0.42
,Tirunelveli,2000 - 2001,0.89
,,2002 - 2003,0.84
,,2003 - 2004,1.09
,,2004 - 2005,1.38
,,2005 - 2006,1.11
,,2006 - 2007,1.25
,,2007 - 2008,0.79
,,2008 - 2009,1.4
,,2009 - 2010,1.55
,,2011 - 2012,1.59
,,2013 - 2014,1.01
,,2014 - 2015,1.0
,,2015 - 2016,0.78
,,2016 - 2017,0.67
,,2017 - 2018,0.13
,,2018 - 2019,1.18
,,2019 - 2020,0.63
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Tirupathur,2020 - 2021,0.64
,,2021 - 2022,0.5
,,2022 - 2023,0.3
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,0.53
,,2011 - 2012,0.59
,,2013 - 2014,0.27
,,2014 - 2015,0.66
,,2015 - 2016,0.51
,,2016 - 2017,4.07
,,2017 - 2018,0.41
,,2018 - 2019,0.14
,,2019 - 2020,1.02
,,2020 - 2021,0.21
,,2021 - 2022,0.69
,,2022 - 2023,1.0
,Tiruvannamalai,2000 - 2001,0.8
,,2002 - 2003,0.6
,,2003 - 2004,0.66
,,2004 - 2005,1.24
,,2005 - 2006,1.07
,,2006 - 2007,1.05
,,2007 - 2008,0.51
,,2008 - 2009,0.91
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,1.58
,,2015 - 2016,0.86
,,2016 - 2017,1.96
,,2017 - 2018,1.82
,,2018 - 2019,0.63
,,2019 - 2020,4.69
,,2020 - 2021,3.93
,,2021 - 2022,1.53
,,2022 - 2023,1.8
,Vellore,2000 - 2001,0.92
,,2002 - 2003,0.59
,,2003 - 2004,0.53
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.69
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.53
,,2011 - 2012,0.44
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,2.09
,,2016 - 2017,2.35
,,2017 - 2018,2.04
,,2018 - 2019,0.84
,,2019 - 2020,0.9
,,2020 - 2021,1.25
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Villupuram,2000 - 2001,0.78
,,2002 - 2003,0.59
,,2003 - 2004,0.54
,,2004 - 2005,0.67
,,2005 - 2006,0.65
,,2006 - 2007,0.69
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.54
,,2011 - 2012,0.44
,,2013 - 2014,0.27
,,2014 - 2015,1.45
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.41
,,2018 - 2019,0.3
,,2019 - 2020,0.62
,,2020 - 2021,0.46
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Virudhunagar,2000 - 2001,0.64
,,2002 - 2003,0.67
