State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2001 - 2002,"34,297.00","1,08,413.00",3.16,,,,"1,76,106.00","5,97,352.00",3.39,,,,,,,,,
,,2002 - 2003,"45,511.00","1,49,276.00",3.28,,,,"1,73,384.00","5,22,579.00",3.01,,,,,,,,,
,,2003 - 2004,"17,885.00","49,756.00",2.78,,,,"1,37,031.00","3,64,368.00",2.66,,,,,,,,,
,,2004 - 2005,"19,326.00","56,432.00",2.92,,,,"1,67,421.00","5,76,933.00",3.45,,,,,,,,,
,,2005 - 2006,"18,036.00","55,190.00",3.06,,,,"1,89,671.00","7,13,732.00",3.76,,,,,,,,,
,,2006 - 2007,"60,057.00","1,97,167.00",3.28,,,,"1,81,863.00","6,59,617.00",3.63,,,,,,,,,
,,2007 - 2008,"46,000.00","1,62,000.00",3.52,,,,"1,88,000.00","6,95,000.00",3.7,,,,,,,,,
,,2008 - 2009,"65,233.00","2,33,795.00",3.58,,,,"1,91,854.00","7,63,003.00",3.98,,,,,,,,,
,,2009 - 2010,"67,894.00","2,20,248.00",3.24,,,,"1,98,993.00","7,83,833.00",3.94,,,,,,,,,
,,2010 - 2011,"69,873.00","2,28,485.00",3.27,,,,"2,00,990.00","7,77,027.00",3.87,,,,,,,,,
,,2011 - 2012,"53,137.00","1,95,269.00",3.67,,,,"2,01,435.00","8,36,157.00",4.15,,,,,,,,,
,,2012 - 2013,"54,000.00","2,14,000.00",3.96,,,,"1,97,000.00","8,12,000.00",4.12,,,,,,,,,
,,2013 - 2014,"32,241.00","1,15,455.00",3.58,,,,"1,92,652.00","7,95,653.00",4.13,,,,,,,,,
,,2014 - 2015,"62,232.00","2,32,561.00",3.74,,,,"1,78,491.00","7,36,454.00",4.13,,,,,,,,,
,,2015 - 2016,"30,413.00","1,10,683.00",3.64,,,,"2,57,837.00","11,79,003.00",4.57,,,,,,,,,
,,2016 - 2017,"73,827.00","2,87,991.00",3.9,,,,"1,30,801.00","5,77,103.00",4.41,,,,,,,,,
,,2017 - 2018,"21,184.00","81,029.00",3.83,,,,"2,03,344.00","9,55,513.00",4.7,,,,,,,,,
,,2018 - 2019,"26,638.00","94,011.00",3.53,,,,"1,40,225.00","5,91,174.00",4.22,,,,,,,,,
,,2019 - 2020,"16,680.00","64,015.00",3.84,,,,"2,15,725.00","9,25,460.00",4.29,,,,,,,,,
,,2020 - 2021,"88,911.00","3,20,079.00",3.6,,,,"2,24,307.00","9,06,866.00",4.04,,,,,,,,,
,,2021 - 2022,"52,223.00","1,96,602.00",3.76,,,,"2,21,311.00","9,72,588.00",4.39,,,,,,,,,
,,2022 - 2023,"24,534.00","94,995.00",3.87,,,,"1,25,957.00","5,76,295.00",4.58,,,,,,,,,
,21. Sri sathya sai,2022 - 2023,"4,317.00","11,187.00",2.59,,,,"2,210.00","6,993.00",3.16,,,,,,,,,
,22. Srikakulam,2000 - 2001,"2,07,461.00","3,99,155.00",1.92,,,,"1,100.00","2,012.00",1.83,,,,,,,,,
,,2001 - 2002,"1,78,771.00","3,93,654.00",2.2,,,,"1,584.00","3,594.00",2.27,,,,,,,,,
,,2002 - 2003,"1,53,148.00","2,67,550.00",1.75,,,,632,"1,602.00",2.53,,,,,,,,,
,,2003 - 2004,"1,88,219.00","4,21,799.00",2.24,,,,"2,204.00","4,496.00",2.04,,,,,,,,,
,,2004 - 2005,"1,90,795.00","4,48,561.00",2.35,,,,"2,198.00","5,743.00",2.61,,,,,,,,,
,,2005 - 2006,"1,53,521.00","2,71,425.00",1.77,,,,"4,237.00","10,105.00",2.38,,,,,,,,,
,,2006 - 2007,"1,93,994.00","4,91,775.00",2.54,,,,"3,425.00","7,223.00",2.11,,,,,,,,,
,,2007 - 2008,"2,01,000.00","6,13,000.00",3.05,,,,"2,000.00","6,000.00",3,,,,,,,,,
,,2008 - 2009,"2,03,172.00","4,08,376.00",2.01,,,,"2,667.00","6,190.00",2.32,,,,,,,,,
,,2009 - 2010,"1,77,058.00","3,71,822.00",2.1,,,,"2,708.00","6,407.00",2.37,,,,,,,,,
,,2010 - 2011,"2,05,853.00","1,67,482.00",0.81,,,,"7,098.00","16,822.00",2.37,,,,,,,,,
,,2011 - 2012,"2,08,239.00","3,99,240.00",1.92,,,,"2,178.00","4,593.00",2.11,,,,,,,,,
,,2012 - 2013,"2,06,000.00","5,21,000.00",2.53,,,,"3,000.00","8,000.00",2.67,,,,,,,,,
,,2013 - 2014,"1,99,717.00","3,47,108.00",1.74,,,,"3,425.00","8,158.00",2.38,,,,,,,,,
,,2014 - 2015,"2,05,485.00","4,34,806.00",2.12,,,,"4,730.00","12,866.00",2.72,,,,,,,,,
,,2015 - 2016,"2,04,003.00","4,70,320.00",2.31,,,,"2,791.00","7,565.00",2.71,,,,,,,,,
,,2016 - 2017,"2,03,411.00","6,05,174.00",2.98,,,,"2,344.00","6,524.00",2.78,,,,,,,,,
,,2017 - 2018,"2,10,682.00","5,31,129.00",2.52,,,,"4,045.00","12,293.00",3.04,,,,,,,,,
,,2018 - 2019,"2,09,426.00","4,31,177.00",2.06,,,,"5,236.00","14,926.00",2.85,,,,,,,,,
,,2019 - 2020,"2,09,640.00","5,94,503.00",2.84,,,,"9,520.00","30,457.00",3.2,,,,,,,,,
,,2020 - 2021,"1,95,124.00","5,04,643.00",2.59,,,,"14,471.00","44,271.00",3.06,,,,,,,,,
,,2021 - 2022,"1,97,038.00","5,14,680.00",2.61,,,,"8,157.00","23,938.00",2.93,,,,,,,,,
,,2022 - 2023,"1,51,116.00","4,73,679.00",3.13,,,,"8,721.00","27,529.00",3.16,,,,,,,,,
,23. Tirupati,2022 - 2023,"21,884.00","85,187.00",3.89,,,,"78,713.00","3,00,946.00",3.82,,,,,,,,,
,24. Visakhapatanam,2000 - 2001,"1,15,239.00","1,83,345.00",1.59,,,,"2,969.00","6,683.00",2.25,,,,,,,,,
,,2001 - 2002,"86,579.00","1,45,020.00",1.68,,,,"3,744.00","7,589.00",2.03,,,,,,,,,
,,2002 - 2003,"61,964.00","61,344.00",0.99,,,,"2,028.00","3,121.00",1.54,,,,,,,,,
,,2003 - 2004,"84,676.00","1,36,836.00",1.62,,,,"3,961.00","7,811.00",1.97,,,,,,,,,
,,2004 - 2005,"95,187.00","1,60,771.00",1.69,,,,"2,621.00","3,701.00",1.41,,,,,,,,,
,,2005 - 2006,"84,808.00","1,25,007.00",1.47,,,,"3,821.00","7,073.00",1.85,,,,,,,,,
,,2006 - 2007,"93,133.00","1,78,070.00",1.91,,,,"2,614.00","5,301.00",2.03,,,,,,,,,
,,2007 - 2008,"96,000.00","1,95,000.00",2.03,,,,"3,000.00","6,000.00",2,,,,,,,,,
,,2008 - 2009,"99,378.00","1,67,253.00",1.68,,,,"2,679.00","5,090.00",1.9,,,,,,,,,
,,2009 - 2010,"65,447.00","69,112.00",1.06,,,,"2,974.00","4,509.00",1.52,,,,,,,,,
,,2010 - 2011,"1,10,289.00","1,92,378.00",1.74,,,,"7,262.00","9,383.00",1.29,,,,,,,,,
,,2011 - 2012,"1,09,505.00","1,66,766.00",1.52,,,,"2,617.00","2,973.00",1.14,,,,,,,,,
,,2012 - 2013,"99,000.00","1,42,000.00",1.43,,,,"5,000.00","10,000.00",2,,,,,,,,,
,,2013 - 2014,"98,637.00","1,71,530.00",1.74,,,,"6,759.00","13,126.00",1.94,,,,,,,,,
,,2014 - 2015,"98,190.00","1,59,755.00",1.63,,,,"7,238.00","18,052.00",2.49,,,,,,,,,
,,2015 - 2016,"1,03,090.00","2,19,339.00",2.13,,,,"4,515.00","10,920.00",2.42,,,,,,,,,
,,2016 - 2017,"1,05,460.00","2,37,203.00",2.25,,,,"4,455.00","9,361.00",2.1,,,,,,,,,
,,2017 - 2018,"1,04,922.00","2,18,972.00",2.09,,,,"4,038.00","9,905.00",2.45,,,,,,,,,
,,2018 - 2019,"99,900.00","1,68,397.00",1.69,,,,"2,984.00","7,742.00",2.59,,,,,,,,,
,,2019 - 2020,"96,998.00","2,30,642.00",2.38,,,,"6,559.00","18,873.00",2.88,,,,,,,,,
,,2020 - 2021,"1,02,722.00","2,49,848.00",2.43,,,,"5,548.00","19,377.00",3.49,,,,,,,,,
,,2021 - 2022,"98,935.00","2,44,463.00",2.47,,,,"3,435.00","10,309.00",3,,,,,,,,,
,,2022 - 2023,"5,008.00","16,831.00",3.36,,,,472,"1,417.00",3,,,,,,,,,
,25. Vizianagaram,2000 - 2001,"1,29,907.00","2,14,347.00",1.65,,,,"2,163.00","5,996.00",2.77,,,,,,,,,
,,2001 - 2002,"1,06,296.00","1,99,624.00",1.88,,,,"3,864.00","10,085.00",2.61,,,,,,,,,
,,2002 - 2003,"93,995.00","1,15,426.00",1.23,,,,594,"1,558.00",2.62,,,,,,,,,
,,2003 - 2004,"1,08,694.00","2,28,366.00",2.1,,,,"4,382.00","10,679.00",2.44,,,,,,,,,
,,2004 - 2005,"1,25,205.00","2,91,352.00",2.33,,,,"2,370.00","3,979.00",1.68,,,,,,,,,
,,2005 - 2006,"94,336.00","1,31,127.00",1.39,,,,"3,750.00","9,529.00",2.54,,,,,,,,,
,,2006 - 2007,"1,17,452.00","2,81,532.00",2.4,,,,"1,000.00","1,803.00",1.8,,,,,,,,,
,,2007 - 2008,"1,24,000.00","3,62,000.00",2.92,,,,"3,000.00","7,000.00",2.33,,,,,,,,,
,,2008 - 2009,"1,28,964.00","3,07,966.00",2.39,,,,"1,695.00","4,043.00",2.39,,,,,,,,,
,,2009 - 2010,"1,04,550.00","2,29,801.00",2.2,,,,"3,683.00","9,285.00",2.52,,,,,,,,,
,,2010 - 2011,"1,26,290.00","3,25,213.00",2.58,,,,"7,254.00","23,452.00",3.23,,,,,,,,,
,,2011 - 2012,"1,23,491.00","2,65,106.00",2.15,,,,"1,078.00","2,639.00",2.45,,,,,,,,,
,,2012 - 2013,"1,19,000.00","3,07,000.00",2.58,,,,"7,000.00","14,000.00",2,,,,,,,,,
,,2013 - 2014,"1,09,271.00","2,70,446.00",2.48,,,,"7,507.00","20,479.00",2.73,,,,,,,,,
,,2014 - 2015,"1,19,229.00","3,14,526.00",2.64,,,,"5,357.00","17,314.00",3.23,,,,,,,,,
,,2015 - 2016,"1,24,275.00","3,66,590.00",2.95,,,,"2,416.00","6,667.00",2.76,,,,,,,,,
,,2016 - 2017,"1,22,205.00","3,71,142.00",3.04,,,,"3,094.00","9,410.00",3.04,,,,,,,,,
,,2017 - 2018,"1,22,675.00","3,64,590.00",2.97,,,,"6,167.00","20,098.00",3.26,,,,,,,,,
,,2018 - 2019,"1,21,499.00","2,84,061.00",2.34,,,,"3,119.00","10,010.00",3.21,,,,,,,,,
,,2019 - 2020,"1,19,381.00","3,84,713.00",3.22,,,,"7,266.00","22,985.00",3.16,,,,,,,,,
,,2020 - 2021,"1,08,497.00","3,10,379.00",2.86,,,,"8,102.00","25,365.00",3.13,,,,,,,,,
,,2021 - 2022,"1,27,872.00","3,74,275.00",2.93,,,,"4,005.00","12,450.00",3.11,,,,,,,,,
,,2022 - 2023,"93,643.00","3,39,003.00",3.62,,,,862,"2,772.00",3.22,,,,,,,,,
,26. West godavari,2000 - 2001,"2,72,901.00","7,94,415.00",2.91,,,,"1,98,764.00","8,58,462.00",4.32,,,,,,,,,
,,2001 - 2002,"2,22,720.00","5,76,622.00",2.59,,,,"1,91,480.00","8,96,509.00",4.68,,,,,,,,,
,,2002 - 2003,"2,14,554.00","6,59,110.00",3.07,,,,"1,17,074.00","5,06,579.00",4.33,,,,,,,,,
,,2003 - 2004,"2,32,235.00","8,12,590.00",3.5,,,,"1,77,983.00","8,67,133.00",4.87,,,,,,,,,
,,2004 - 2005,"2,44,235.00","8,42,122.00",3.45,,,,"1,75,761.00","8,07,446.00",4.59,,,,,,,,,
,,2005 - 2006,"2,53,521.00","4,75,859.00",1.88,,,,"1,92,497.00","8,87,411.00",4.61,,,,,,,,,
,,2006 - 2007,"2,45,236.00","6,82,001.00",2.78,,,,"1,88,804.00","8,75,107.00",4.64,,,,,,,,,
,,2007 - 2008,"2,54,000.00","8,25,000.00",3.25,,,,"1,92,000.00","8,14,000.00",4.24,,,,,,,,,
,,2008 - 2009,"2,55,444.00","7,78,593.00",3.05,,,,"1,95,014.00","8,21,789.00",4.21,,,,,,,,,
,,2009 - 2010,"2,12,887.00","6,60,163.00",3.1,,,,"1,15,690.00","4,54,893.00",3.93,,,,,,,,,
,,2010 - 2011,"2,56,147.00","5,58,800.00",2.18,,,,"2,00,369.00","9,31,515.00",4.65,,,,,,,,,
,,2011 - 2012,"2,40,266.00","7,64,242.00",3.18,,,,"1,23,519.00","5,44,225.00",4.41,,,,,,,,,
,,2012 - 2013,"2,43,000.00","4,83,000.00",1.99,,,,"1,80,000.00","8,06,000.00",4.48,,,,,,,,,
,,2013 - 2014,"2,40,396.00","5,21,419.00",2.17,,,,"1,80,223.00","8,20,916.00",4.56,,,,,,,,,
,,2014 - 2015,"2,31,475.00","7,33,313.00",3.17,,,,"1,77,811.00","8,91,011.00",5.01,,,,,,,,,
,,2015 - 2016,"2,29,204.00","7,27,885.00",3.18,,,,"1,74,598.00","8,30,621.00",4.76,,,,,,,,,
,,2016 - 2017,"2,30,785.00","8,20,044.00",3.55,,,,"1,68,626.00","8,46,053.00",5.02,,,,,,,,,
,,2017 - 2018,"2,26,760.00","8,07,492.00",3.56,,,,"1,66,463.00","8,86,415.00",5.32,,,,,,,,,
,,2018 - 2019,"2,26,925.00","8,57,555.00",3.78,,,,"1,69,952.00","8,87,149.00",5.22,,,,,,,,,
,,2019 - 2020,"2,24,398.00","8,50,763.00",3.79,,,,"1,69,775.00","9,15,879.00",5.39,,,,,,,,,
,,2020 - 2021,"2,23,249.00","5,72,064.00",2.56,,,,"1,90,778.00","10,41,393.00",5.46,,,,,,,,,
,,2021 - 2022,"2,21,874.00","6,75,091.00",3.04,,,,"2,00,077.00","10,60,408.00",5.3,,,,,,,,,
,,2022 - 2023,"84,891.00","2,83,083.00",3.33,,,,"91,074.00","5,17,604.00",5.68,,,,,,,,,
3. Arunachal Pradesh,1. Anjaw,2004 - 2005,"3,342.00","1,914.00",0.57,,,,,,,,,,,,,,,
,,2005 - 2006,"3,400.00","5,000.00",1.47,,,,,,,,,,,,,,,
,,2006 - 2007,"4,060.00","3,004.00",0.74,,,,,,,,,,,,,,,
,,2007 - 2008,"4,085.00","2,530.00",0.62,,,,,,,,,,,,,,,
,,2008 - 2009,"3,901.00","2,516.00",0.64,,,,,,,,,,,,,,,
,,2009 - 2010,"3,945.00","2,355.33",0.6,,,,,,,,,,,,,,,
,,2010 - 2011,"3,949.00","3,631.00",0.92,,,,,,,,,,,,,,,
,,2011 - 2012,"3,489.00","2,988.00",0.86,,,,,,,,,,,,,,,
,,2012 - 2013,"3,561.00","2,996.00",0.84,,,,,,,,,,,,,,,
,,2013 - 2014,"3,561.00","2,624.00",0.74,,,,,,,,,,,,,,,
,,2014 - 2015,"3,561.00","2,394.00",0.67,,,,,,,,,,,,,,,
,,2015 - 2016,"3,655.00","2,507.00",0.69,,,,,,,,,,,,,,,
,,2016 - 2017,"3,655.00","2,508.00",0.69,,,,,,,,,,,,,,,
,,2017 - 2018,"3,703.00","3,774.66",1.02,,,,,,,,,,,,,,,
,,2018 - 2019,"3,727.00","3,853.30",1.03,,,,,,,,,,,,,,,
,,2019 - 2020,"3,741.00","4,069.00",1.09,,,,,,,,,,,,,,,
,,2020 - 2021,"3,752.00","4,160.00",1.11,,,,,,,,,,,,,,,
,,2021 - 2022,"3,802.00","4,245.33",1.12,,,,,,,,,,,,,,,
,,2022 - 2023,"3,826.00","4,294.00",1.12,,,,,,,,,,,,,,,
,2. Changlang,2000 - 2001,"11,925.00","16,387.00",1.37,,,,,,,,,,,,,,,
,,2001 - 2002,"11,857.00","16,250.00",1.37,,,,,,,,,,,,,,,
,,2002 - 2003,"11,860.00","16,780.00",1.41,,,,,,,,,,,,,,,
,,2003 - 2004,"11,867.00","18,508.00",1.56,,,,,,,,,,,,,,,
,,2004 - 2005,"11,885.00","18,630.00",1.57,,,,,,,,,,,,,,,
,,2005 - 2006,"11,905.00","18,667.00",1.57,,,,,,,,,,,,,,,
,,2006 - 2007,"6,191.00","10,606.00",1.71,,,,,,,,,,,,,,,
,,2007 - 2008,"15,622.00","27,398.00",1.75,,,,,,,,,,,,,,,
,,2008 - 2009,"16,763.00","35,010.00",2.09,,,,,,,,,,,,,,,
,,2009 - 2010,"8,519.00","15,639.33",1.84,,,,,,,,,,,,,,,
,,2010 - 2011,"9,585.00","18,265.00",1.91,,,,,,,,,,,,,,,
,,2011 - 2012,"10,260.00","20,873.00",2.03,,,,,,,,,,,,,,,
,,2012 - 2013,"9,605.00","19,512.00",2.03,,,,,,,,,,,,,,,
,,2013 - 2014,"9,681.00","19,750.00",2.04,,,,,,,,,,,,,,,
,,2014 - 2015,"9,081.00","20,169.00",2.22,,,,,,,,,,,,,,,
,,2015 - 2016,"9,175.00","19,987.00",2.18,,,,,,,,,,,,,,,
,,2016 - 2017,"9,375.00","20,653.33",2.2,,,,,,,,,,,,,,,
,,2017 - 2018,"9,423.00","20,814.00",2.21,,,,,,,,,,,,,,,
,,2018 - 2019,"9,447.00","20,892.60",2.21,,,,,,,,,,,,,,,
,,2019 - 2020,"9,461.00","21,108.00",2.23,,,,,,,,,,,,,,,
,,2020 - 2021,"9,471.00","21,199.33",2.24,,,,,,,,,,,,,,,
,,2021 - 2022,"9,671.00","21,598.67",2.23,,,,,,,,,,,,,,,
,,2022 - 2023,"9,703.00","21,779.30",2.24,,,,,,,,,,,,,,,
,3. Dibang valley,2000 - 2001,"10,450.00","13,400.00",1.28,,,,,,,,,,,,,,,
,,2001 - 2002,"5,400.00","3,840.00",0.71,,,,,,,,,,,,,,,
,,2002 - 2003,"1,691.00","1,522.00",0.9,,,,,,,,,,,,,,,
,,2003 - 2004,"1,700.00","1,700.00",1,,,,,,,,,,,,,,,
,,2004 - 2005,916,870,0.95,,,,,,,,,,,,,,,
,,2005 - 2006,"1,000.00",691,0.69,,,,,,,,,,,,,,,
,,2006 - 2007,"1,235.00","1,273.00",1.03,,,,,,,,,,,,,,,
,,2007 - 2008,"1,200.00",839,0.7,,,,,,,,,,,,,,,
,,2008 - 2009,"1,200.00",839,0.7,,,,,,,,,,,,,,,
,,2009 - 2010,"1,200.00",838.66,0.7,,,,,,,,,,,,,,,
,,2010 - 2011,"1,585.00","1,268.00",0.8,,,,,,,,,,,,,,,
,,2011 - 2012,"1,610.00","1,382.00",0.86,,,,,,,,,,,,,,,
,,2012 - 2013,"1,682.00","1,420.00",0.84,,,,,,,,,,,,,,,
,,2013 - 2014,"1,690.00","1,486.00",0.88,,,,,,,,,,,,,,,
,,2014 - 2015,"1,690.00","1,485.00",0.88,,,,,,,,,,,,,,,
,,2015 - 2016,"1,690.00","1,487.00",0.88,,,,,,,,,,,,,,,
,,2016 - 2017,"1,759.00","1,634.00",0.93,,,,,,,,,,,,,,,
,,2017 - 2018,"1,807.00","1,834.00",1.01,,,,,,,,,,,,,,,
,,2018 - 2019,"1,831.00","1,912.60",1.04,,,,,,,,,,,,,,,
,,2019 - 2020,"1,845.00","2,128.00",1.15,,,,,,,,,,,,,,,
,,2020 - 2021,"1,856.00","2,219.33",1.2,,,,,,,,,,,,,,,
,,2021 - 2022,"1,896.00","2,262.66",1.19,,,,,,,,,,,,,,,
,,2022 - 2023,"1,917.00","2,297.30",1.2,,,,,,,,,,,,,,,
,4. East kameng,2000 - 2001,"8,200.00","9,840.00",1.2,,,,,,,,,,,,,,,
,,2001 - 2002,"12,310.00","16,790.00",1.36,,,,,,,,,,,,,,,
,,2002 - 2003,"8,500.00","10,715.00",1.26,,,,,,,,,,,,,,,
,,2003 - 2004,"8,510.00","10,725.00",1.26,,,,,,,,,,,,,,,
,,2004 - 2005,"8,515.00","6,651.00",0.78,,,,,,,,,,,,,,,
,,2005 - 2006,"8,538.00","3,158.00",0.37,,,,,,,,,,,,,,,
,,2006 - 2007,"8,235.00","6,313.00",0.77,,,,,,,,,,,,,,,
,,2007 - 2008,"8,200.00","6,952.00",0.85,,,,,,,,,,,,,,,
,,2008 - 2009,"8,250.00","6,933.00",0.84,,,,,,,,,,,,,,,
,,2009 - 2010,"8,260.00","6,993.33",0.85,,,,,,,,,,,,,,,
,,2010 - 2011,"8,267.00","7,178.00",0.87,,,,,,,,,,,,,,,
,,2011 - 2012,"8,398.00","7,822.00",0.93,,,,,,,,,,,,,,,
,,2012 - 2013,"8,768.00","8,442.00",0.96,,,,,,,,,,,,,,,
,,2013 - 2014,"8,968.00","9,087.00",1.01,,,,,,,,,,,,,,,
,,2014 - 2015,"8,968.00","9,436.00",1.05,,,,,,,,,,,,,,,
,,2015 - 2016,"9,062.00","11,137.00",1.23,,,,,,,,,,,,,,,
,,2016 - 2017,"9,047.00","11,158.00",1.23,,,,,,,,,,,,,,,
,,2017 - 2018,"9,095.00","11,824.66",1.3,,,,,,,,,,,,,,,
,,2018 - 2019,"9,119.00","11,903.00",1.31,,,,,,,,,,,,,,,
,,2019 - 2020,"6,393.00","8,483.00",1.33,,,,,,,,,,,,,,,
,,2020 - 2021,"6,404.00","8,574.00",1.34,,,,,,,,,,,,,,,
,,2021 - 2022,"6,504.00","8,737.33",1.34,,,,,,,,,,,,,,,
,,2022 - 2023,"6,532.00","8,808.60",1.35,,,,,,,,,,,,,,,
,5. East siang,2000 - 2001,"12,310.00","19,500.00",1.58,,,,,,,,,,,,,,,
,,2001 - 2002,"5,400.00","5,000.00",0.93,,,,,,,,,,,,,,,
,,2002 - 2003,"12,330.00","26,605.00",2.16,,,,,,,,,,,,,,,
,,2003 - 2004,"12,100.00","28,000.00",2.31,,,,,,,,,,,,,,,
,,2004 - 2005,"12,526.00","17,499.00",1.4,,,,,,,,,,,,,,,
,,2005 - 2006,"12,800.00","19,535.00",1.53,,,,,,,,,,,,,,,
,,2006 - 2007,"13,137.00","19,729.00",1.5,,,,,,,,,,,,,,,
,,2007 - 2008,"13,000.00","19,799.00",1.52,,,,,,,,,,,,,,,
,,2008 - 2009,"13,142.00","19,761.00",1.5,,,,,,,,,,,,,,,
,,2009 - 2010,"14,147.00","20,775.33",1.47,,,,,,,,,,,,,,,
,,2010 - 2011,"15,137.00","24,103.00",1.59,,,,,,,,,,,,,,,
,,2011 - 2012,"15,378.00","26,268.00",1.71,,,,,,,,,,,,,,,
,,2012 - 2013,"16,770.00","27,098.00",1.62,,,,,,,,,,,,,,,
,,2013 - 2014,"16,770.00","27,044.00",1.61,,,,,,,,,,,,,,,
,,2014 - 2015,"16,120.00","27,463.00",1.7,,,,,,,,,,,,,,,
,,2015 - 2016,"11,378.00","19,388.00",1.7,,,,,,,,,,,,,,,
,,2016 - 2017,"11,743.00","21,388.00",1.82,,,,,,,,,,,,,,,
,,2017 - 2018,"11,791.00","22,816.66",1.94,,,,,,,,,,,,,,,
,,2018 - 2019,"14,046.00","25,650.60",1.83,,,,,,,,,,,,,,,
,,2019 - 2020,"14,060.00","25,866.00",1.84,,,,,,,,,,,,,,,
,,2020 - 2021,"14,071.00","25,912.00",1.84,,,,,,,,,,,,,,,
,,2021 - 2022,"14,441.00","26,764.00",1.85,,,,,,,,,,,,,,,
,,2022 - 2023,"15,132.00","28,076.60",1.86,,,,,,,,,,,,,,,
,6. Kamle,2018 - 2019,"3,581.00","7,845.00",2.19,,,,,,,,,,,,,,,
,,2019 - 2020,"3,595.00","8,061.00",2.24,,,,,,,,,,,,,,,
,,2020 - 2021,"3,606.00","8,152.00",2.26,,,,,,,,,,,,,,,
,,2021 - 2022,"3,656.00","8,165.33",2.23,,,,,,,,,,,,,,,
,,2022 - 2023,"3,658.00","7,074.00",1.93,,,,,,,,,,,,,,,
,7. Kra daadi,2015 - 2016,181,"1,299.00",7.18,,,,,,,,,,,,,,,
,,2016 - 2017,500,678.66,1.36,,,,,,,,,,,,,,,
,,2017 - 2018,570,878.66,1.54,,,,,,,,,,,,,,,
,,2018 - 2019,594,957.3,1.61,,,,,,,,,,,,,,,
,,2019 - 2020,608,"1,173.00",1.93,,,,,,,,,,,,,,,
,,2020 - 2021,619,"1,264.00",2.04,,,,,,,,,,,,,,,
,,2021 - 2022,645,"1,294.00",2.01,,,,,,,,,,,,,,,
,,2022 - 2023,664,"1,327.30",2,,,,,,,,,,,,,,,
,8. Kurung kumey,2002 - 2003,"6,300.00","7,440.00",1.18,,,,,,,,,,,,,,,
,,2003 - 2004,"7,434.00","6,375.00",0.86,,,,,,,,,,,,,,,
,,2004 - 2005,"6,300.00","7,434.00",1.18,,,,,,,,,,,,,,,
,,2005 - 2006,"6,375.00","7,530.00",1.18,,,,,,,,,,,,,,,
,,2006 - 2007,"6,000.00","5,095.00",0.85,,,,,,,,,,,,,,,
,,2007 - 2008,500,615,1.23,,,,,,,,,,,,,,,
,,2008 - 2009,500,615,1.23,,,,,,,,,,,,,,,
,,2009 - 2010,500,615.33,1.23,,,,,,,,,,,,,,,
,,2010 - 2011,400,527,1.32,,,,,,,,,,,,,,,
,,2011 - 2012,406,574,1.41,,,,,,,,,,,,,,,
,,2012 - 2013,410,590,1.44,,,,,,,,,,,,,,,
,,2013 - 2014,53,74,1.4,,,,,,,,,,,,,,,
,,2014 - 2015,53,74,1.4,,,,,,,,,,,,,,,
,,2015 - 2016,156,"1,092.00",7,,,,,,,,,,,,,,,
,,2016 - 2017,535,718.66,1.34,,,,,,,,,,,,,,,
,,2017 - 2018,601,918.66,1.53,,,,,,,,,,,,,,,
,,2018 - 2019,625,997.3,1.6,,,,,,,,,,,,,,,
,,2019 - 2020,639,"1,213.00",1.9,,,,,,,,,,,,,,,
,,2020 - 2021,650,"1,304.00",2.01,,,,,,,,,,,,,,,
,,2021 - 2022,670,"1,335.33",1.99,,,,,,,,,,,,,,,
,,2022 - 2023,691,"1,378.60",2,,,,,,,,,,,,,,,
,9. Leparada,2019 - 2020,"3,521.00","5,649.00",1.6,,,,,,,,,,,,,,,
,,2020 - 2021,"3,532.00","5,740.00",1.63,,,,,,,,,,,,,,,
,,2021 - 2022,"3,612.00","6,002.66",1.66,,,,,,,,,,,,,,,
,,2022 - 2023,"3,664.00","6,133.30",1.67,,,,,,,,,,,,,,,
,10. Lohit,2000 - 2001,"13,980.00","13,630.00",0.97,,,,,,,,,,,,,,,
,,2001 - 2002,"10,900.00","14,170.00",1.3,,,,,,,,,,,,,,,
,,2002 - 2003,"14,158.00","12,883.00",0.91,,,,,,,,,,,,,,,
,,2003 - 2004,"14,257.00","19,390.00",1.36,,,,,,,,,,,,,,,
,,2004 - 2005,"8,227.00","9,872.00",1.2,,,,,,,,,,,,,,,
,,2005 - 2006,"8,500.00","11,759.00",1.38,,,,,,,,,,,,,,,
,,2006 - 2007,"10,500.00","17,010.00",1.62,,,,,,,,,,,,,,,
,,2007 - 2008,"10,300.00","16,833.00",1.63,,,,,,,,,,,,,,,
,,2008 - 2009,"10,412.00","17,952.00",1.72,,,,,,,,,,,,,,,
,,2009 - 2010,"11,770.00","19,541.33",1.66,,,,,,,,,,,,,,,
,,2010 - 2011,"11,654.00","20,263.00",1.74,,,,,,,,,,,,,,,
,,2011 - 2012,"11,839.00","22,082.00",1.87,,,,,,,,,,,,,,,
,,2012 - 2013,"12,239.00","23,512.00",1.92,,,,,,,,,,,,,,,
,,2013 - 2014,"12,150.00","21,662.00",1.78,,,,,,,,,,,,,,,
,,2014 - 2015,"11,450.00","22,080.00",1.93,,,,,,,,,,,,,,,
,,2015 - 2016,"4,655.00","8,804.00",1.89,,,,,,,,,,,,,,,
,,2016 - 2017,"4,559.00","9,353.33",2.05,,,,,,,,,,,,,,,
