State,District,Year,Arecanut,,,,,,,,
,,2007 - 2008,,,,336,903,2.69,,,
,,2008 - 2009,,,,367,855,2.33,,,
,,2009 - 2010,,,,213,488,2.29,,,
,,2011 - 2012,,,,402,"1,585.00",3.94,,,
,,2013 - 2014,,,,317,682,2.15,,,
,,2014 - 2015,,,,349,"2,366.00",6.78,,,
,,2015 - 2016,,,,306,"1,565.00",5.11,,,
,,2016 - 2017,,,,381,"1,392.00",3.65,,,
,,2017 - 2018,,,,510,"2,522.00",4.95,,,
,,2018 - 2019,,,,496,635,1.28,,,
,,2019 - 2020,,,,496,635,1.28,,,
,,2020 - 2021,,,,737,852,1.16,,,
,,2021 - 2022,,,,"1,059.00","1,054.00",1,,,
,,2022 - 2023,,,,"1,460.00","2,290.00",1.57,,,
,5. Dindigul,2002 - 2003,,,,32,,0,,,
,,2003 - 2004,,,,39,,0,,,
,,2004 - 2005,,,,60,128,2.13,,,
,,2005 - 2006,,,,67,64,0.96,,,
,,2006 - 2007,,,,61,66,1.08,,,
,,2007 - 2008,,,,64,189,2.95,,,
,,2008 - 2009,,,,61,78,1.28,,,
,,2009 - 2010,,,,58,78,1.34,,,
,,2011 - 2012,,,,48,76,1.58,,,
,,2013 - 2014,,,,53,69,1.3,,,
,,2014 - 2015,,,,63,28,0.44,,,
,,2015 - 2016,,,,58,49,0.84,,,
,,2016 - 2017,,,,51,11,0.22,,,
,,2017 - 2018,,,,53,43,0.81,,,
,,2018 - 2019,,,,45,99,2.2,,,
,,2019 - 2020,,,,45,99,2.2,,,
,,2020 - 2021,,,,60,39,0.65,,,
,,2021 - 2022,,,,62,18,0.29,,,
,,2022 - 2023,,,,68,85,1.25,,,
,6. Erode,2002 - 2003,,,,121,,0,,,
,,2003 - 2004,,,,134,,0,,,
,,2004 - 2005,,,,155,182,1.17,,,
,,2005 - 2006,,,,144,396,2.75,,,
,,2006 - 2007,,,,164,715,4.36,,,
,,2007 - 2008,,,,177,586,3.31,,,
,,2008 - 2009,,,,198,617,3.12,,,
,,2009 - 2010,,,,215,333,1.55,,,
,,2011 - 2012,,,,233,"1,003.00",4.3,,,
,,2013 - 2014,,,,367,810,2.21,,,
,,2014 - 2015,,,,426,624,1.46,,,
,,2015 - 2016,,,,475,"1,020.00",2.15,,,
,,2016 - 2017,,,,546,962,1.76,,,
,,2017 - 2018,,,,541,"1,107.00",2.05,,,
,,2018 - 2019,,,,642,875,1.36,,,
,,2019 - 2020,,,,642,875,1.36,,,
,,2020 - 2021,,,,802,812,1.01,,,
,,2021 - 2022,,,,988,"1,332.00",1.35,,,
,,2022 - 2023,,,,"1,179.00","2,985.00",2.53,,,
,7. Kallakurichi,2020 - 2021,,,,157,453,2.89,,,
,,2021 - 2022,,,,132,392,2.97,,,
,,2022 - 2023,,,,185,478,2.58,,,
,8. Kanniyakumari,2002 - 2003,,,,760,,0,,,
,,2003 - 2004,,,,761,,0,,,
,,2004 - 2005,,,,736,"1,860.00",2.53,,,
,,2005 - 2006,,,,598,"1,331.00",2.23,,,
,,2006 - 2007,,,,586,"1,320.00",2.25,,,
,,2007 - 2008,,,,601,719,1.2,,,
,,2008 - 2009,,,,531,817,1.54,,,
,,2009 - 2010,,,,502,802,1.6,,,
,,2011 - 2012,,,,404,157,0.39,,,
,,2013 - 2014,,,,337,272,0.81,,,
,,2014 - 2015,,,,350,519,1.48,,,
,,2015 - 2016,,,,318,"1,060.00",3.33,,,
,,2016 - 2017,,,,297,35,0.12,,,
,,2017 - 2018,,,,289,887,3.07,,,
,,2018 - 2019,,,,269,200,0.74,,,
,,2019 - 2020,,,,269,200,0.74,,,
,,2020 - 2021,,,,276,183,0.66,,,
,,2021 - 2022,,,,277,36,0.13,,,
,,2022 - 2023,,,,260,112,0.43,,,
,9. Karur,2003 - 2004,,,,1,,0,,,
,,2004 - 2005,,,,1,1,1,,,
,,2005 - 2006,,,,2,1,0.5,,,
,,2006 - 2007,,,,2,2,1,,,
,,2007 - 2008,,,,1,2,2,,,
,,2008 - 2009,,,,1,2,2,,,
,,2009 - 2010,,,,1,2,2,,,
,,2011 - 2012,,,,1,2,2,,,
,,2013 - 2014,,,,1,1,1,,,
,,2014 - 2015,,,,1,1,1,,,
,,2018 - 2019,,,,1,2,2,,,
,,2019 - 2020,,,,1,2,2,,,
,,2020 - 2021,,,,1,2,2,,,
,,2021 - 2022,,,,6,6,1,,,
,,2022 - 2023,,,,7,14,2,,,
,10. Krishnagiri,2003 - 2004,,,,43,,0,,,
,,2004 - 2005,,,,38,48,1.26,,,
,,2005 - 2006,,,,46,80,1.74,,,
,,2006 - 2007,,,,38,75,1.97,,,
,,2007 - 2008,,,,53,43,0.81,,,
,,2008 - 2009,,,,51,15,0.29,,,
,,2009 - 2010,,,,32,5,0.16,,,
,,2011 - 2012,,,,32,43,1.34,,,
,,2013 - 2014,,,,33,99,3,,,
,,2014 - 2015,,,,28,81,2.89,,,
,,2015 - 2016,,,,18,7,0.39,,,
,,2016 - 2017,,,,18,20,1.11,,,
,,2017 - 2018,,,,13,64,4.92,,,
,,2018 - 2019,,,,16,13,0.81,,,
,,2019 - 2020,,,,16,13,0.81,,,
,,2020 - 2021,,,,12,4,0.33,,,
,,2021 - 2022,,,,30,4,0.13,,,
,,2022 - 2023,,,,35,15,0.43,,,
,11. Madurai,2008 - 2009,,,,4,8,2,,,
,,2009 - 2010,,,,1,2,2,,,
,,2011 - 2012,,,,1,2,2,,,
,,2015 - 2016,,,,1,2,2,,,
,,2016 - 2017,,,,1,2,2,,,
,,2017 - 2018,,,,1,2,2,,,
,,2022 - 2023,,,,1,2,2,,,
,12. Mayiladuthurai,2020 - 2021,,,,1,2,2,,,
,,2021 - 2022,,,,1,2,2,,,
,,2022 - 2023,,,,1,2,2,,,
,13. Nagapattinam,2002 - 2003,,,,3,,0,,,
,,2003 - 2004,,,,2,,0,,,
,,2004 - 2005,,,,2,3,1.5,,,
,,2005 - 2006,,,,2,1,0.5,,,
,,2006 - 2007,,,,1,,0,,,
,,2007 - 2008,,,,2,2,1,,,
,,2008 - 2009,,,,1,2,2,,,
,,2009 - 2010,,,,1,,0,,,
,,2011 - 2012,,,,1,2,2,,,
,,2013 - 2014,,,,1,1,1,,,
,,2016 - 2017,,,,1,,0,,,
,,2017 - 2018,,,,1,2,2,,,
,,2018 - 2019,,,,1,2,2,,,
,,2019 - 2020,,,,1,2,2,,,
,14. Namakkal,2002 - 2003,,,,184,,0,,,
,,2003 - 2004,,,,188,,0,,,
,,2004 - 2005,,,,188,240,1.28,,,
,,2005 - 2006,,,,140,237,1.69,,,
,,2006 - 2007,,,,256,462,1.8,,,
,,2007 - 2008,,,,268,894,3.34,,,
,,2008 - 2009,,,,321,586,1.83,,,
,,2009 - 2010,,,,337,619,1.84,,,
,,2011 - 2012,,,,521,"1,892.00",3.63,,,
,,2013 - 2014,,,,626,25,0.04,,,
,,2014 - 2015,,,,561,"1,793.00",3.2,,,
,,2015 - 2016,,,,636,"1,563.00",2.46,,,
,,2016 - 2017,,,,727,"1,836.00",2.53,,,
,,2017 - 2018,,,,747,"1,562.00",2.09,,,
,,2018 - 2019,,,,620,"1,527.00",2.46,,,
,,2019 - 2020,,,,620,"1,527.00",2.46,,,
,,2020 - 2021,,,,681,978,1.44,,,
,,2021 - 2022,,,,775,"1,521.00",1.96,,,
,,2022 - 2023,,,,"1,014.00","3,650.00",3.6,,,
,15. Perambalur,2002 - 2003,,,,17,,0,,,
,,2003 - 2004,,,,20,,0,,,
,,2004 - 2005,,,,17,32,1.88,,,
,,2005 - 2006,,,,16,4,0.25,,,
,,2006 - 2007,,,,22,17,0.77,,,
,,2007 - 2008,,,,27,23,0.85,,,
,,2008 - 2009,,,,32,69,2.16,,,
,,2009 - 2010,,,,34,65,1.91,,,
,,2011 - 2012,,,,43,110,2.56,,,
,,2013 - 2014,,,,63,11,0.17,,,
,,2014 - 2015,,,,53,6,0.11,,,
,,2015 - 2016,,,,52,4,0.08,,,
,,2016 - 2017,,,,52,200,3.85,,,
,,2017 - 2018,,,,33,144,4.36,,,
,,2018 - 2019,,,,52,163,3.13,,,
,,2019 - 2020,,,,52,163,3.13,,,
,,2020 - 2021,,,,52,76,1.46,,,
,,2021 - 2022,,,,49,25,0.51,,,
,,2022 - 2023,,,,48,73,1.52,,,
,16. Pudukkottai,2005 - 2006,,,,1,1,1,,,
,,2006 - 2007,,,,1,1,1,,,
,,2007 - 2008,,,,6,13,2.17,,,
,,2018 - 2019,,,,1,,0,,,
,,2020 - 2021,,,,1,2,2,,,
,,2021 - 2022,,,,2,2,1,,,
,,2022 - 2023,,,,5,12,2.4,,,
,17. Salem,2002 - 2003,,,,"1,717.00",,0,,,
,,2003 - 2004,,,,"1,773.00",,0,,,
,,2004 - 2005,,,,"1,606.00","2,049.00",1.28,,,
,,2005 - 2006,,,,"1,479.00","1,789.00",1.21,,,
,,2006 - 2007,,,,"1,743.00","3,252.00",1.87,,,
,,2007 - 2008,,,,"1,837.00","4,121.00",2.24,,,
,,2008 - 2009,,,,"1,843.00","4,374.00",2.37,,,
,,2009 - 2010,,,,"1,785.00","4,334.00",2.43,,,
,,2011 - 2012,,,,"2,422.00","7,076.00",2.92,,,
,,2013 - 2014,,,,"2,410.00","2,361.00",0.98,,,
,,2014 - 2015,,,,"2,269.00","1,244.00",0.55,,,
,,2015 - 2016,,,,"2,421.00","3,445.00",1.42,,,
,,2016 - 2017,,,,"2,411.00","4,685.00",1.94,,,
,,2017 - 2018,,,,"1,954.00","3,758.00",1.92,,,
,,2018 - 2019,,,,"1,823.00","3,397.00",1.86,,,
,,2019 - 2020,,,,"1,823.00","3,397.00",1.86,,,
,,2020 - 2021,,,,"2,006.00","5,584.00",2.78,,,
,,2021 - 2022,,,,"2,256.00","5,195.00",2.3,,,
,,2022 - 2023,,,,"2,772.00","7,169.00",2.59,,,
,18. Thanjavur,2002 - 2003,,,,8,,0,,,
,,2003 - 2004,,,,7,,0,,,
,,2004 - 2005,,,,8,15,1.88,,,
,,2005 - 2006,,,,18,15,0.83,,,
,,2006 - 2007,,,,18,52,2.89,,,
,,2007 - 2008,,,,20,35,1.75,,,
,,2008 - 2009,,,,19,18,0.95,,,
,,2009 - 2010,,,,9,19,2.11,,,
,,2011 - 2012,,,,24,20,0.83,,,
,,2013 - 2014,,,,40,18,0.45,,,
,,2014 - 2015,,,,45,52,1.16,,,
,,2015 - 2016,,,,46,18,0.39,,,
,,2016 - 2017,,,,58,32,0.55,,,
,,2017 - 2018,,,,72,24,0.33,,,
,,2018 - 2019,,,,15,28,1.87,,,
,,2019 - 2020,,,,15,28,1.87,,,
,,2020 - 2021,,,,21,24,1.14,,,
,,2021 - 2022,,,,20,24,1.2,,,
,,2022 - 2023,,,,12,20,1.67,,,
,19. The nilgiris,2002 - 2003,,,,174,,0,,,
,,2003 - 2004,,,,198,,0,,,
,,2004 - 2005,,,,207,229,1.11,,,
,,2005 - 2006,,,,212,136,0.64,,,
,,2006 - 2007,,,,431,879,2.04,,,
,,2007 - 2008,,,,272,596,2.19,,,
,,2008 - 2009,,,,291,57,0.2,,,
,,2009 - 2010,,,,332,71,0.21,,,
,,2011 - 2012,,,,326,307,0.94,,,
,,2013 - 2014,,,,310,168,0.54,,,
,,2014 - 2015,,,,456,938,2.06,,,
,,2015 - 2016,,,,460,408,0.89,,,
,,2016 - 2017,,,,343,709,2.07,,,
,,2017 - 2018,,,,353,972,2.75,,,
,,2018 - 2019,,,,379,"1,392.00",3.67,,,
,,2019 - 2020,,,,379,"1,392.00",3.67,,,
,,2020 - 2021,,,,387,736,1.9,,,
,,2021 - 2022,,,,407,389,0.96,,,
,,2022 - 2023,,,,417,392,0.94,,,
,20. Theni,2002 - 2003,,,,20,,0,,,
,,2003 - 2004,,,,29,,0,,,
,,2004 - 2005,,,,31,66,2.13,,,
,,2005 - 2006,,,,31,30,0.97,,,
,,2006 - 2007,,,,79,60,0.76,,,
,,2007 - 2008,,,,30,52,1.73,,,
,,2008 - 2009,,,,33,51,1.55,,,
,,2009 - 2010,,,,30,48,1.6,,,
,,2011 - 2012,,,,32,36,1.13,,,
,,2013 - 2014,,,,29,14,0.48,,,
,,2014 - 2015,,,,32,46,1.44,,,
,,2015 - 2016,,,,29,17,0.59,,,
,,2016 - 2017,,,,30,26,0.87,,,
,,2017 - 2018,,,,30,94,3.13,,,
,,2018 - 2019,,,,33,68,2.06,,,
,,2019 - 2020,,,,33,68,2.06,,,
,,2020 - 2021,,,,27,24,0.89,,,
,,2021 - 2022,,,,48,30,0.63,,,
,,2022 - 2023,,,,172,52,0.3,,,
,21. Thenkasi,2020 - 2021,,,,122,15,0.12,,,
,,2021 - 2022,,,,116,19,0.16,,,
,,2022 - 2023,,,,113,26,0.23,,,
,22. Thiruvarur,2002 - 2003,,,,5,,0,,,
,,2003 - 2004,,,,5,,0,,,
,,2004 - 2005,,,,5,7,1.4,,,
,,2005 - 2006,,,,6,5,0.83,,,
,,2006 - 2007,,,,5,7,1.4,,,
,,2007 - 2008,,,,4,8,2,,,
,,2008 - 2009,,,,4,8,2,,,
,,2009 - 2010,,,,2,4,2,,,
,,2011 - 2012,,,,2,5,2.5,,,
,,2013 - 2014,,,,2,3,1.5,,,
,,2014 - 2015,,,,2,3,1.5,,,
,,2015 - 2016,,,,3,5,1.67,,,
,,2016 - 2017,,,,3,5,1.67,,,
,,2017 - 2018,,,,3,4,1.33,,,
,,2018 - 2019,,,,13,26,2,,,
,,2019 - 2020,,,,13,26,2,,,
,,2020 - 2021,,,,8,9,1.13,,,
,,2021 - 2022,,,,16,19,1.19,,,
,,2022 - 2023,,,,40,80,2,,,
,23. Tiruchirappalli,2002 - 2003,,,,8,,0,,,
,,2003 - 2004,,,,11,,0,,,
,,2004 - 2005,,,,13,25,1.92,,,
,,2005 - 2006,,,,13,16,1.23,,,
,,2006 - 2007,,,,11,14,1.27,,,
,,2007 - 2008,,,,18,58,3.22,,,
,,2008 - 2009,,,,18,55,3.06,,,
,,2009 - 2010,,,,29,68,2.34,,,
,,2011 - 2012,,,,47,115,2.45,,,
,,2013 - 2014,,,,65,100,1.54,,,
,,2014 - 2015,,,,73,266,3.64,,,
,,2015 - 2016,,,,65,280,4.31,,,
,,2016 - 2017,,,,84,109,1.3,,,
,,2017 - 2018,,,,62,261,4.21,,,
,,2018 - 2019,,,,59,175,2.97,,,
,,2019 - 2020,,,,59,175,2.97,,,
,,2020 - 2021,,,,68,56,0.82,,,
,,2021 - 2022,,,,85,125,1.47,,,
,,2022 - 2023,,,,89,191,2.15,,,
,24. Tirunelveli,2002 - 2003,,,,115,,0,,,
,,2003 - 2004,,,,122,,0,,,
,,2004 - 2005,,,,122,260,2.13,,,
,,2005 - 2006,,,,123,142,1.15,,,
,,2006 - 2007,,,,127,78,0.61,,,
,,2007 - 2008,,,,121,223,1.84,,,
,,2008 - 2009,,,,133,37,0.28,,,
,,2009 - 2010,,,,138,48,0.35,,,
,,2011 - 2012,,,,140,47,0.34,,,
,,2013 - 2014,,,,126,164,1.3,,,
,,2014 - 2015,,,,123,1,0.01,,,
,,2015 - 2016,,,,121,14,0.12,,,
,,2016 - 2017,,,,126,42,0.33,,,
,,2017 - 2018,,,,122,77,0.63,,,
,,2018 - 2019,,,,123,41,0.33,,,
,,2019 - 2020,,,,123,41,0.33,,,
,,2020 - 2021,,,,4,4,1,,,
,,2021 - 2022,,,,4,5,1.25,,,
,,2022 - 2023,,,,3,3,1,,,
,25. Tirupathur,2020 - 2021,,,,7,9,1.29,,,
,,2021 - 2022,,,,7,10,1.43,,,
,,2022 - 2023,,,,5,9,1.8,,,
,26. Tiruppur,2008 - 2009,,,,42,,0,,,
,,2009 - 2010,,,,37,32,0.86,,,
,,2011 - 2012,,,,42,54,1.29,,,
,,2013 - 2014,,,,37,58,1.57,,,
,,2014 - 2015,,,,36,18,0.5,,,
,,2015 - 2016,,,,27,16,0.59,,,
,,2016 - 2017,,,,38,76,2,,,
,,2017 - 2018,,,,37,53,1.43,,,
,,2018 - 2019,,,,41,290,7.07,,,
,,2019 - 2020,,,,41,290,7.07,,,
,,2020 - 2021,,,,35,113,3.23,,,
,,2021 - 2022,,,,57,178,3.12,,,
,,2022 - 2023,,,,78,288,3.69,,,
,27. Tiruvannamalai,2007 - 2008,,,,1,2,2,,,
,,2008 - 2009,,,,3,6,2,,,
,,2009 - 2010,,,,4,8,2,,,
,,2011 - 2012,,,,5,12,2.4,,,
,,2013 - 2014,,,,5,6,1.2,,,
,,2014 - 2015,,,,1,1,1,,,
,,2015 - 2016,,,,10,17,1.7,,,
,,2016 - 2017,,,,6,,0,,,
,,2017 - 2018,,,,11,27,2.45,,,
,,2018 - 2019,,,,120,24,0.2,,,
,,2019 - 2020,,,,12,24,2,,,
,,2020 - 2021,,,,13,15,1.15,,,
,,2021 - 2022,,,,15,19,1.27,,,
,,2022 - 2023,,,,32,50,1.56,,,
,28. Vellore,2005 - 2006,,,,3,3,1,,,
,,2006 - 2007,,,,15,21,1.4,,,
,,2007 - 2008,,,,2,4,2,,,
,,2008 - 2009,,,,4,8,2,,,
,,2009 - 2010,,,,4,8,2,,,
,,2011 - 2012,,,,7,17,2.43,,,
,,2013 - 2014,,,,13,17,1.31,,,
,,2014 - 2015,,,,4,5,1.25,,,
,,2015 - 2016,,,,3,5,1.67,,,
,,2016 - 2017,,,,6,11,1.83,,,
,,2017 - 2018,,,,4,9,2.25,,,
,,2018 - 2019,,,,6,12,2,,,
,,2019 - 2020,,,,6,12,2,,,
,29. Villupuram,2004 - 2005,,,,5,7,1.4,,,
,,2005 - 2006,,,,5,4,0.8,,,
,,2006 - 2007,,,,25,35,1.4,,,
,,2007 - 2008,,,,32,68,2.13,,,
,,2008 - 2009,,,,45,89,1.98,,,
,,2009 - 2010,,,,39,75,1.92,,,
,,2011 - 2012,,,,42,103,2.45,,,
,,2013 - 2014,,,,42,53,1.26,,,
,,2014 - 2015,,,,61,54,0.89,,,
,,2015 - 2016,,,,64,67,1.05,,,
,,2016 - 2017,,,,72,97,1.35,,,
,,2017 - 2018,,,,89,65,0.73,,,
,,2018 - 2019,,,,120,263,2.19,,,
,,2019 - 2020,,,,120,263,2.19,,,
,30. Virudhunagar,2003 - 2004,,,,1,,0,,,
,,2004 - 2005,,,,1,1,1,,,
,,2005 - 2006,,,,1,1,1,,,
,,2006 - 2007,,,,1,1,1,,,
,,2007 - 2008,,,,2,4,2,,,
,,2008 - 2009,,,,1,2,2,,,
,,2009 - 2010,,,,1,2,2,,,
,,2011 - 2012,,,,1,2,2,,,
,,2013 - 2014,,,,1,1,1,,,
,,2014 - 2015,,,,1,1,1,,,
,,2015 - 2016,,,,2,3,1.5,,,
,,2016 - 2017,,,,1,2,2,,,
,,2017 - 2018,,,,1,2,2,,,
,,2018 - 2019,,,,1,2,2,,,
,,2019 - 2020,,,,1,2,2,,,
,,2020 - 2021,,,,1,2,2,,,
,,2021 - 2022,,,,2,2,1,,,
,,2022 - 2023,,,,1,2,2,,,
10. West Bengal,1. 24 paraganas north,2000 - 2001,,,,"1,405.00","2,713.00",1.93,,,
,,2001 - 2002,,,,"1,452.00","2,680.00",1.85,,,
,,2002 - 2003,,,,"1,486.00","3,856.00",2.59,,,
,,2003 - 2004,,,,"1,540.00","4,457.00",2.89,,,
,,2005 - 2006,,,,"1,597.00","8,189.00",5.13,,,
,,2006 - 2007,,,,"1,627.00","1,775.00",1.09,,,
,,2007 - 2008,,,,"1,673.00","4,454.00",2.66,,,
,,2008 - 2009,,,,"1,673.00","4,454.00",2.66,,,
,2. 24 paraganas south,2000 - 2001,,,,760,570,0.75,,,
,,2001 - 2002,,,,875,"1,575.00",1.8,,,
,,2002 - 2003,,,,889,"1,645.00",1.85,,,
,,2003 - 2004,,,,880,"1,760.00",2,,,
,,2005 - 2006,,,,777,"1,249.00",1.61,,,
,,2006 - 2007,,,,798,"1,286.00",1.61,,,
,,2007 - 2008,,,,905,"1,295.00",1.43,,,
,,2008 - 2009,,,,915,"1,295.00",1.42,,,
,3. Bankura,2000 - 2001,,,,4,8,2,,,
,,2001 - 2002,,,,4,8,2,,,
,,2002 - 2003,,,,5,92,18.4,,,
,,2003 - 2004,,,,20,58,2.9,,,
,,2005 - 2006,,,,30,31,1.03,,,
,,2006 - 2007,,,,34,28,0.82,,,
,,2007 - 2008,,,,34,28,0.82,,,
,,2008 - 2009,,,,34,28,0.82,,,
,4. Birbhum,2000 - 2001,,,,12,14,1.17,,,
,,2001 - 2002,,,,11,13,1.18,,,
,,2002 - 2003,,,,14,17,1.21,,,
,,2003 - 2004,,,,22,29,1.32,,,
,,2005 - 2006,,,,22,26,1.18,,,
,,2006 - 2007,,,,22,43,1.95,,,
,,2007 - 2008,,,,36,58,1.61,,,
,,2008 - 2009,,,,39,63,1.62,,,
,5. Coochbehar,2000 - 2001,,,,"1,000.00","1,500.00",1.5,,,
,,2001 - 2002,,,,"1,025.00","1,538.00",1.5,,,
,,2002 - 2003,,,,"1,050.00","1,575.00",1.5,,,
,,2003 - 2004,,,,"1,050.00","1,575.00",1.5,,,
,,2005 - 2006,,,,"1,146.00","5,730.00",5,,,
,,2006 - 2007,,,,"16,000.00","92,000.00",5.75,,,
,,2007 - 2008,,,,"2,670.00","3,000.00",1.12,,,
,,2008 - 2009,,,,"2,575.00","3,200.00",1.24,,,
,6. Darjeeling,2000 - 2001,,,,259,537,2.07,,,
,,2001 - 2002,,,,285,592,2.08,,,
,,2002 - 2003,,,,247,482,1.95,,,
,,2003 - 2004,,,,248,487,1.96,,,
,,2005 - 2006,,,,201,694,3.45,,,
,,2006 - 2007,,,,291,699,2.4,,,
,,2007 - 2008,,,,294,640,2.18,,,
,,2008 - 2009,,,,294,540,1.84,,,
,7. Dinajpur dakshin,2000 - 2001,,,,51,64,1.25,,,
,,2001 - 2002,,,,"1,246.00","1,520.00",1.22,,,
,,2002 - 2003,,,,51,64,1.25,,,
,,2003 - 2004,,,,60,74,1.23,,,
,,2005 - 2006,,,,64,63,0.98,,,
,,2006 - 2007,,,,73,72,0.99,,,
,,2007 - 2008,,,,74,74,1,,,
,,2008 - 2009,,,,89,78,0.88,,,
,8. Dinajpur uttar,2000 - 2001,,,,183,"1,015.00",5.55,,,
,,2001 - 2002,,,,197,917,4.65,,,
,,2002 - 2003,,,,345,"1,665.00",4.83,,,
,,2003 - 2004,,,,355,"2,143.00",6.04,,,
,,2005 - 2006,,,,356,"4,313.00",12.12,,,
,,2006 - 2007,,,,356,392,1.1,,,
,,2007 - 2008,,,,390,618,1.58,,,
,,2008 - 2009,,,,405,542,1.34,,,
,9. Hooghly,2000 - 2001,,,,178,329,1.85,,,
,,2001 - 2002,,,,178,338,1.9,,,
,,2002 - 2003,,,,180,450,2.5,,,
,,2003 - 2004,,,,180,461,2.56,,,
,,2005 - 2006,,,,122,360,2.95,,,
,,2006 - 2007,,,,146,423,2.9,,,
,,2007 - 2008,,,,150,227,1.51,,,
,,2008 - 2009,,,,150,227,1.51,,,
,10. Howrah,2000 - 2001,,,,468,981,2.1,,,
,,2001 - 2002,,,,458,"1,099.00",2.4,,,
,,2002 - 2003,,,,478,"1,031.00",2.16,,,
,,2003 - 2004,,,,489,"1,064.00",2.18,,,
,,2005 - 2006,,,,501,"1,046.00",2.09,,,
,,2006 - 2007,,,,503,"1,023.00",2.03,,,
,,2007 - 2008,,,,504,"1,050.00",2.08,,,
,,2008 - 2009,,,,524,"1,050.00",2,,,
,11. Jalpaiguri,2000 - 2001,,,,"2,080.00","2,257.00",1.09,,,
,,2001 - 2002,,,,"2,090.00","2,268.00",1.09,,,
,,2002 - 2003,,,,"2,800.00","3,080.00",1.1,,,
,,2003 - 2004,,,,"2,707.00","3,045.00",1.12,,,
,,2005 - 2006,,,,"2,856.00","5,686.00",1.99,,,
,,2006 - 2007,,,,"2,775.00","6,299.00",2.27,,,
,,2007 - 2008,,,,"2,810.00","6,399.00",2.28,,,
,,2008 - 2009,,,,"2,825.00","6,289.00",2.23,,,
,12. Maldah,2000 - 2001,,,,26,31,1.19,,,
,,2001 - 2002,,,,26,30,1.15,,,
,,2002 - 2003,,,,26,47,1.81,,,
,,2003 - 2004,,,,27,49,1.81,,,
,,2005 - 2006,,,,28,50,1.79,,,
,,2006 - 2007,,,,30,54,1.8,,,
,,2007 - 2008,,,,46,71,1.54,,,
,,2008 - 2009,,,,48,73,1.52,,,
,13. Medinipur east,2000 - 2001,,,,840,"1,386.00",1.65,,,
,,2001 - 2002,,,,893,"1,475.00",1.65,,,
,,2002 - 2003,,,,894,"1,477.00",1.65,,,
,,2003 - 2004,,,,940,"2,350.00",2.5,,,
,,2005 - 2006,,,,982,251,0.26,,,
,,2006 - 2007,,,,"1,000.00",266,0.27,,,
,,2007 - 2008,,,,"1,020.00","1,260.00",1.24,,,
,,2008 - 2009,,,,"1,025.00","1,610.00",1.57,,,
,14. Medinipur west,2000 - 2001,,,,85,109,1.28,,,
,,2001 - 2002,,,,86,111,1.29,,,
,,2002 - 2003,,,,125,299,2.39,,,
,,2003 - 2004,,,,126,202,1.6,,,
,,2005 - 2006,,,,124,131,1.06,,,
,,2006 - 2007,,,,135,157,1.16,,,
,,2007 - 2008,,,,135,170,1.26,,,
,,2008 - 2009,,,,139,175,1.26,,,
,15. Murshidabad,2000 - 2001,,,,50,100,2,,,
,,2001 - 2002,,,,53,106,2,,,
,,2002 - 2003,,,,70,124,1.77,,,
,,2003 - 2004,,,,71,113,1.59,,,
,,2005 - 2006,,,,75,130,1.73,,,
,,2006 - 2007,,,,81,142,1.75,,,
,,2007 - 2008,,,,80,160,2,,,
,,2008 - 2009,,,,82,160,1.95,,,
,16. Nadia,2000 - 2001,,,,264,264,1,,,
,,2001 - 2002,,,,282,283,1,,,
,,2002 - 2003,,,,301,304,1.01,,,
,,2003 - 2004,,,,319,321,1.01,,,
,,2005 - 2006,,,,356,981,2.76,,,
,,2006 - 2007,,,,365,"1,010.00",2.77,,,
,,2007 - 2008,,,,358,982,2.74,,,
,,2008 - 2009,,,,358,982,2.74,,,
,17. Purba bardhaman,2000 - 2001,,,,108,313,2.9,,,
,,2001 - 2002,,,,115,332,2.89,,,
,,2002 - 2003,,,,120,360,3,,,
,,2003 - 2004,,,,130,329,2.53,,,
,,2005 - 2006,,,,126,357,2.83,,,
,,2006 - 2007,,,,146,383,2.62,,,
,,2007 - 2008,,,,209,383,1.83,,,
,,2008 - 2009,,,,209,383,1.83,,,
,18. Purulia,2003 - 2004,,,,2,2,1,,,
,,2008 - 2009,,,,10,8,0.8,,,
