State,District,Year,Cotton(lint),,,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2011 - 2012,7,3,0.43,,,,,,,,,
,,2012 - 2013,34,15,0.44,,,,,,,,,
,,2013 - 2014,27,11,0.41,,,,,,,,,
,,2014 - 2015,24,10,0.42,,,,,,,,,
,,2015 - 2016,29,14,0.48,,,,,,,,,
,,2016 - 2017,16,7,0.44,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,9,3,0.33,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,7. Darrang,2000 - 2001,31,14,0.45,,,,,,,,,
,,2001 - 2002,29,13,0.45,,,,,,,,,
,,2002 - 2003,17,8,0.47,,,,,,,,,
,,2003 - 2004,7,3,0.43,,,,,,,,,
,,2004 - 2005,9,4,0.44,,,,,,,,,
,,2005 - 2006,6,3,0.5,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,4,2,0.5,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,2,5,2.5,,,,,,,,,
,,2018 - 2019,2,5,2.5,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,8. Dhemaji,2000 - 2001,8,3,0.38,,,,,,,,,
,,2001 - 2002,8,3,0.38,,,,,,,,,
,,2002 - 2003,8,3,0.38,,,,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,,,,
,,2004 - 2005,7,3,0.43,,,,,,,,,
,,2005 - 2006,8,3,0.38,,,,,,,,,
,,2006 - 2007,8,4,0.5,,,,,,,,,
,,2007 - 2008,6,3,0.5,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,,,,
,,2010 - 2011,5,2,0.4,,,,,,,,,
,,2011 - 2012,5,1,0.2,,,,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,,,,
,,2013 - 2014,9,4,0.44,,,,,,,,,
,,2014 - 2015,11,4,0.36,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,7,3,0.43,,,,,,,,,
,9. Dhubri,2000 - 2001,3,1,0.33,,,,,,,,,
,,2001 - 2002,113,46,0.41,,,,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,10. Dibrugarh,2000 - 2001,30,13,0.43,,,,,,,,,
,,2001 - 2002,24,10,0.42,,,,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,,,,
,,2003 - 2004,6,3,0.5,,,,,,,,,
,,2004 - 2005,6,3,0.5,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,
,,2006 - 2007,4,2,0.5,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,11. Dima hasao,2000 - 2001,370,174,0.47,,,,,,,,,
,,2001 - 2002,368,173,0.47,,,,,,,,,
,,2002 - 2003,354,167,0.47,,,,,,,,,
,,2003 - 2004,248,117,0.47,,,,,,,,,
,,2004 - 2005,254,120,0.47,,,,,,,,,
,,2005 - 2006,242,114,0.47,,,,,,,,,
,,2006 - 2007,238,112,0.47,,,,,,,,,
,,2007 - 2008,232,109,0.47,,,,,,,,,
,,2008 - 2009,233,110,0.47,,,,,,,,,
,,2009 - 2010,232,109,0.47,,,,,,,,,
,,2010 - 2011,220,103,0.47,,,,,,,,,
,,2011 - 2012,219,103,0.47,,,,,,,,,
,,2012 - 2013,221,104,0.47,,,,,,,,,
,,2013 - 2014,11,5,0.45,,,,,,,,,
,,2014 - 2015,57,27,0.47,,,,,,,,,
,,2015 - 2016,63,30,0.48,,,,,,,,,
,,2016 - 2017,62,31,0.5,,,,,,,,,
,,2017 - 2018,61,32,0.52,,,,,,,,,
,,2018 - 2019,52,28,0.54,,,,,,,,,
,,2019 - 2020,37,20,0.54,,,,,,,,,
,,2020 - 2021,62,33,0.53,,,,,,,,,
,,2021 - 2022,53,28,0.53,,,,,,,,,
,,2022 - 2023,53,28,0.53,,,,,,,,,
,12. Goalpara,2000 - 2001,10,4,0.4,,,,,,,,,
,,2001 - 2002,10,4,0.4,,,,,,,,,
,,2002 - 2003,10,4,0.4,,,,,,,,,
,,2003 - 2004,10,4,0.4,,,,,,,,,
,,2004 - 2005,6,2,0.33,,,,,,,,,
,,2005 - 2006,8,3,0.38,,,,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,,,,
,,2007 - 2008,9,3,0.33,,,,,,,,,
,,2008 - 2009,13,5,0.38,,,,,,,,,
,,2009 - 2010,10,4,0.4,,,,,,,,,
,,2010 - 2011,5,1,0.2,,,,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,,,,
,,2012 - 2013,10,4,0.4,,,,,,,,,
,,2013 - 2014,6,2,0.33,,,,,,,,,
,,2014 - 2015,9,3,0.33,,,,,,,,,
,,2015 - 2016,8,3,0.38,,,,,,,,,
,13. Golaghat,2000 - 2001,12,5,0.42,,,,,,,,,
,,2001 - 2002,13,5,0.38,,,,,,,,,
,,2002 - 2003,12,5,0.42,,,,,,,,,
,,2003 - 2004,12,5,0.42,,,,,,,,,
,,2004 - 2005,12,5,0.42,,,,,,,,,
,,2005 - 2006,15,7,0.47,,,,,,,,,
,,2006 - 2007,14,6,0.43,,,,,,,,,
,,2007 - 2008,11,5,0.45,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,15,6,0.4,,,,,,,,,
,,2010 - 2011,15,6,0.4,,,,,,,,,
,,2011 - 2012,26,11,0.42,,,,,,,,,
,,2012 - 2013,14,6,0.43,,,,,,,,,
,,2013 - 2014,13,5,0.38,,,,,,,,,
,,2014 - 2015,11,5,0.45,,,,,,,,,
,,2015 - 2016,13,5,0.38,,,,,,,,,
,,2016 - 2017,11,4,0.36,,,,,,,,,
,,2017 - 2018,6,2,0.33,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,,,,
,,2020 - 2021,9,4,0.44,,,,,,,,,
,,2021 - 2022,8,4,0.5,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,14. Hailakandi,2000 - 2001,90,34,0.38,,,,,,,,,
,,2001 - 2002,60,23,0.38,,,,,,,,,
,,2002 - 2003,70,27,0.39,,,,,,,,,
,,2003 - 2004,60,23,0.38,,,,,,,,,
,,2004 - 2005,55,21,0.38,,,,,,,,,
,,2005 - 2006,60,23,0.38,,,,,,,,,
,,2006 - 2007,60,23,0.38,,,,,,,,,
,,2007 - 2008,55,21,0.38,,,,,,,,,
,,2008 - 2009,55,21,0.38,,,,,,,,,
,,2009 - 2010,55,21,0.38,,,,,,,,,
,,2010 - 2011,55,20,0.36,,,,,,,,,
,,2011 - 2012,50,19,0.38,,,,,,,,,
,,2012 - 2013,40,15,0.38,,,,,,,,,
,,2013 - 2014,20,8,0.4,,,,,,,,,
,,2014 - 2015,10,4,0.4,,,,,,,,,
,,2015 - 2016,10,4,0.4,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,7,3,0.43,,,,,,,,,
,,2018 - 2019,8,4,0.5,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,15. Jorhat,2000 - 2001,5,2,0.4,,,,,,,,,
,,2001 - 2002,6,2,0.33,,,,,,,,,
,,2002 - 2003,8,3,0.38,,,,,,,,,
,,2003 - 2004,11,5,0.45,,,,,,,,,
,,2004 - 2005,9,5,0.56,,,,,,,,,
,,2005 - 2006,9,4,0.44,,,,,,,,,
,,2006 - 2007,5,3,0.6,,,,,,,,,
,,2007 - 2008,4,3,0.75,,,,,,,,,
,,2008 - 2009,6,3,0.5,,,,,,,,,
,,2009 - 2010,6,2,0.33,,,,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,,,,
,,2012 - 2013,7,3,0.43,,,,,,,,,
,,2013 - 2014,8,4,0.5,,,,,,,,,
,,2014 - 2015,15,6,0.4,,,,,,,,,
,,2015 - 2016,19,8,0.42,,,,,,,,,
,,2016 - 2017,8,3,0.38,,,,,,,,,
,,2017 - 2018,8,3,0.38,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,11,5,0.45,,,,,,,,,
,,2020 - 2021,5,2,0.4,,,,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,,,,
,,2022 - 2023,6,3,0.5,,,,,,,,,
,16. Kamrup,2000 - 2001,107,50,0.47,,,,,,,,,
,,2001 - 2002,100,47,0.47,,,,,,,,,
,,2002 - 2003,93,43,0.46,,,,,,,,,
,,2003 - 2004,64,30,0.47,,,,,,,,,
,,2004 - 2005,46,21,0.46,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,3,2,0.67,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,17. Kamrup metro,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,18. Karbi anglong,2000 - 2001,664,320,0.48,,,,,,,,,
,,2001 - 2002,800,391,0.49,,,,,,,,,
,,2002 - 2003,661,326,0.49,,,,,,,,,
,,2003 - 2004,691,339,0.49,,,,,,,,,
,,2004 - 2005,740,365,0.49,,,,,,,,,
,,2005 - 2006,771,381,0.49,,,,,,,,,
,,2006 - 2007,791,391,0.49,,,,,,,,,
,,2007 - 2008,791,391,0.49,,,,,,,,,
,,2008 - 2009,793,391,0.49,,,,,,,,,
,,2009 - 2010,"1,002.00",502,0.5,,,,,,,,,
,,2010 - 2011,822,406,0.49,,,,,,,,,
,,2011 - 2012,715,354,0.5,,,,,,,,,
,,2012 - 2013,"1,164.00",579,0.5,,,,,,,,,
,,2013 - 2014,817,405,0.5,,,,,,,,,
,,2014 - 2015,567,280,0.49,,,,,,,,,
,,2015 - 2016,576,288,0.5,,,,,,,,,
,,2016 - 2017,605,307,0.51,,,,,,,,,
,,2017 - 2018,519,266,0.51,,,,,,,,,
,,2018 - 2019,593,316,0.53,,,,,,,,,
,,2019 - 2020,580,318,0.55,,,,,,,,,
,,2020 - 2021,446,236,0.53,,,,,,,,,
,,2021 - 2022,415,222,0.53,,,,,,,,,
,,2022 - 2023,304,170,0.56,,,,,,,,,
,19. Karimganj,2000 - 2001,20,8,0.4,,,,,,,,,
,,2001 - 2002,27,11,0.41,,,,,,,,,
,,2002 - 2003,18,7,0.39,,,,,,,,,
,,2003 - 2004,27,11,0.41,,,,,,,,,
,,2004 - 2005,30,21,0.7,,,,,,,,,
,,2005 - 2006,25,10,0.4,,,,,,,,,
,,2006 - 2007,40,16,0.4,,,,,,,,,
,,2007 - 2008,43,18,0.42,,,,,,,,,
,,2008 - 2009,37,15,0.41,,,,,,,,,
,,2009 - 2010,34,17,0.5,,,,,,,,,
,,2010 - 2011,28,10,0.36,,,,,,,,,
,,2011 - 2012,28,13,0.46,,,,,,,,,
,,2012 - 2013,28,13,0.46,,,,,,,,,
,,2013 - 2014,32,14,0.44,,,,,,,,,
,,2014 - 2015,27,12,0.44,,,,,,,,,
,,2015 - 2016,25,12,0.48,,,,,,,,,
,,2016 - 2017,25,11,0.44,,,,,,,,,
,,2017 - 2018,21,6,0.29,,,,,,,,,
,,2018 - 2019,21,7,0.33,,,,,,,,,
,,2019 - 2020,22,8,0.36,,,,,,,,,
,,2020 - 2021,20,11,0.55,,,,,,,,,
,,2021 - 2022,13,5,0.38,,,,,,,,,
,,2022 - 2023,11,4,0.36,,,,,,,,,
,20. Kokrajhar,2000 - 2001,10,4,0.4,,,,,,,,,
,,2001 - 2002,10,4,0.4,,,,,,,,,
,,2002 - 2003,10,4,0.4,,,,,,,,,
,,2003 - 2004,11,5,0.45,,,,,,,,,
,,2004 - 2005,7,4,0.57,,,,,,,,,
,,2005 - 2006,7,3,0.43,,,,,,,,,
,,2006 - 2007,8,4,0.5,,,,,,,,,
,,2007 - 2008,11,4,0.36,,,,,,,,,
,,2008 - 2009,11,5,0.45,,,,,,,,,
,,2009 - 2010,15,6,0.4,,,,,,,,,
,,2010 - 2011,46,18,0.39,,,,,,,,,
,,2011 - 2012,20,9,0.45,,,,,,,,,
,,2012 - 2013,20,9,0.45,,,,,,,,,
,,2013 - 2014,22,10,0.45,,,,,,,,,
,,2014 - 2015,17,7,0.41,,,,,,,,,
,,2015 - 2016,9,3,0.33,,,,,,,,,
,,2016 - 2017,8,4,0.5,,,,,,,,,
,,2017 - 2018,9,4,0.44,,,,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,,,,
,,2019 - 2020,4,3,0.75,,,,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,,,,
,,2021 - 2022,4,3,0.75,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,
,21. Lakhimpur,2000 - 2001,54,23,0.43,,,,,,,,,
,,2001 - 2002,54,23,0.43,,,,,,,,,
,,2002 - 2003,37,16,0.43,,,,,,,,,
,,2003 - 2004,31,13,0.42,,,,,,,,,
,,2004 - 2005,15,8,0.53,,,,,,,,,
,,2005 - 2006,15,6,0.4,,,,,,,,,
,,2006 - 2007,14,6,0.43,,,,,,,,,
,,2007 - 2008,13,5,0.38,,,,,,,,,
,,2008 - 2009,13,5,0.38,,,,,,,,,
,,2009 - 2010,30,13,0.43,,,,,,,,,
,,2010 - 2011,10,4,0.4,,,,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,,,,
,,2012 - 2013,20,9,0.45,,,,,,,,,
,,2013 - 2014,18,7,0.39,,,,,,,,,
,,2014 - 2015,8,3,0.38,,,,,,,,,
,,2015 - 2016,10,4,0.4,,,,,,,,,
,,2016 - 2017,6,2,0.33,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,11,5,0.45,,,,,,,,,
,,2019 - 2020,15,7,0.47,,,,,,,,,
,,2020 - 2021,11,5,0.45,,,,,,,,,
,,2021 - 2022,13,6,0.46,,,,,,,,,
,,2022 - 2023,11,4,0.36,,,,,,,,,
,22. Majuli,2020 - 2021,5,2,0.4,,,,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,,,,
,23. Marigaon,2000 - 2001,14,6,0.43,,,,,,,,,
,,2001 - 2002,14,6,0.43,,,,,,,,,
,,2002 - 2003,14,6,0.43,,,,,,,,,
,,2003 - 2004,14,8,0.57,,,,,,,,,
,,2004 - 2005,10,5,0.5,,,,,,,,,
,,2005 - 2006,14,7,0.5,,,,,,,,,
,,2006 - 2007,12,6,0.5,,,,,,,,,
,,2007 - 2008,16,8,0.5,,,,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,,,,
,,2009 - 2010,6,3,0.5,,,,,,,,,
,,2010 - 2011,6,3,0.5,,,,,,,,,
,,2012 - 2013,7,4,0.57,,,,,,,,,
,,2013 - 2014,4,1,0.25,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,24. Nagaon,2000 - 2001,50,20,0.4,,,,,,,,,
,,2001 - 2002,48,19,0.4,,,,,,,,,
,,2002 - 2003,45,18,0.4,,,,,,,,,
,,2003 - 2004,42,17,0.4,,,,,,,,,
,,2004 - 2005,14,6,0.43,,,,,,,,,
,,2005 - 2006,12,5,0.42,,,,,,,,,
,,2006 - 2007,13,5,0.38,,,,,,,,,
,,2007 - 2008,16,6,0.38,,,,,,,,,
,,2008 - 2009,29,11,0.38,,,,,,,,,
,,2009 - 2010,22,9,0.41,,,,,,,,,
,,2010 - 2011,19,7,0.37,,,,,,,,,
,,2011 - 2012,29,11,0.38,,,,,,,,,
,,2012 - 2013,16,6,0.38,,,,,,,,,
,,2013 - 2014,16,7,0.44,,,,,,,,,
,,2014 - 2015,14,7,0.5,,,,,,,,,
,,2015 - 2016,15,7,0.47,,,,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,,,,
,,2017 - 2018,10,5,0.5,,,,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,,,,
,,2022 - 2023,6,3,0.5,,,,,,,,,
,25. Nalbari,2000 - 2001,19,8,0.42,,,,,,,,,
,,2001 - 2002,18,8,0.44,,,,,,,,,
,,2002 - 2003,18,8,0.44,,,,,,,,,
,,2003 - 2004,18,8,0.44,,,,,,,,,
,,2004 - 2005,18,8,0.44,,,,,,,,,
,,2005 - 2006,10,4,0.4,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,26. Sivasagar,2000 - 2001,8,4,0.5,,,,,,,,,
,,2001 - 2002,8,4,0.5,,,,,,,,,
,,2002 - 2003,9,4,0.44,,,,,,,,,
,,2003 - 2004,9,5,0.56,,,,,,,,,
,,2004 - 2005,9,5,0.56,,,,,,,,,
,,2005 - 2006,9,4,0.44,,,,,,,,,
,,2006 - 2007,10,5,0.5,,,,,,,,,
,,2007 - 2008,20,8,0.4,,,,,,,,,
,,2008 - 2009,9,4,0.44,,,,,,,,,
,,2009 - 2010,8,3,0.38,,,,,,,,,
,,2010 - 2011,4,3,0.75,,,,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,
,,2014 - 2015,3,3,1,,,,,,,,,
,,2015 - 2016,6,3,0.5,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,27. Sonitpur,2000 - 2001,33,15,0.45,,,,,,,,,
,,2001 - 2002,33,15,0.45,,,,,,,,,
,,2002 - 2003,26,11,0.42,,,,,,,,,
,,2003 - 2004,24,11,0.46,,,,,,,,,
,,2004 - 2005,22,10,0.45,,,,,,,,,
,,2005 - 2006,14,6,0.43,,,,,,,,,
,,2006 - 2007,17,8,0.47,,,,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,17,8,0.47,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,87,41,0.47,,,,,,,,,
,,2013 - 2014,8,3,0.38,,,,,,,,,
,,2014 - 2015,10,4,0.4,,,,,,,,,
,,2015 - 2016,9,4,0.44,,,,,,,,,
,,2016 - 2017,11,4,0.36,,,,,,,,,
,,2017 - 2018,11,4,0.36,,,,,,,,,
,,2018 - 2019,12,5,0.42,,,,,,,,,
,,2019 - 2020,8,4,0.5,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,28. Tinsukia,2000 - 2001,2,1,0.5,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,29. Udalguri,2005 - 2006,4,2,0.5,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,30. West karbi anglong,2020 - 2021,96,52,0.54,,,,,,,,,
,,2021 - 2022,98,52,0.53,,,,,,,,,
,,2022 - 2023,104,55,0.53,,,,,,,,,
3. Chhattisgarh,1. Balod,2018 - 2019,,,,,,,3,,0,,,
,,2019 - 2020,,,,,,,21,32,1.52,,,
,,2020 - 2021,,,,,,,20,32,1.6,,,
,,2021 - 2022,,,,,,,5,7,1.4,,,
,,2022 - 2023,,,,,,,7,16,2.29,,,
,2. Baloda bazar,2016 - 2017,,,,,,,6,14,2.33,,,
,,2019 - 2020,,,,,,,97,178,1.84,,,
,,2020 - 2021,,,,,,,156,296,1.9,,,
,,2021 - 2022,,,,,,,42,70,1.67,,,
,,2022 - 2023,,,,,,,193,93,0.48,,,
,3. Balrampur,2011 - 2012,6,1,0.17,,,,,,,,,
,,2012 - 2013,6,6,1,,,,,,,,,
,,2014 - 2015,,,,,,,6,1,0.17,,,
,4. Bastar,2001 - 2002,39,30,0.77,,,,,,,,,
,,2002 - 2003,39,31,0.79,,,,,,,,,
,,2003 - 2004,10,8,0.8,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,2,,0,,,
,5. Bemetara,2011 - 2012,45,68,1.51,,,,,,,,,
,,2012 - 2013,45,12,0.27,,,,,,,,,
,,2013 - 2014,,,,,,,19,23,1.21,,,
,,2014 - 2015,,,,,,,23,29,1.26,,,
,,2015 - 2016,,,,,,,16,22,1.38,,,
,,2016 - 2017,,,,,,,26,35,1.35,,,
,,2017 - 2018,,,,,,,225,334,1.48,,,
,,2018 - 2019,,,,,,,956,"1,304.00",1.36,,,
,,2019 - 2020,,,,,,,"1,417.00","2,109.00",1.49,,,
,,2020 - 2021,,,,,,,"1,894.00","3,288.00",1.74,,,
,,2021 - 2022,,,,,,,"1,754.00","3,046.00",1.74,,,
,,2022 - 2023,,,,,,,"3,639.00","2,257.00",0.62,,,
,6. Bijapur,2020 - 2021,,,,,,,2,2,1,,,
,,2021 - 2022,,,,,,,2,0,0,,,
,7. Bilaspur,2000 - 2001,13,,0,,,,,,,,,
,,2020 - 2021,,,,,,,45,71,1.58,,,
,,2021 - 2022,,,,,,,61,96,1.57,,,
,,2022 - 2023,,,,,,,90,53,0.59,,,
,8. Dantewada,2000 - 2001,5,7,1.4,,,,,,,,,
,,2001 - 2002,54,33,0.61,,,,,,,,,
,,2002 - 2003,29,10,0.34,,,,,,,,,
,,2005 - 2006,4,3,0.75,,,,,,,,,
,9. Durg,2002 - 2003,16,24,1.5,,,,,,,,,
,,2003 - 2004,46,78,1.7,,,,,,,,,
,,2004 - 2005,396,609,1.54,,,,,,,,,
,,2005 - 2006,192,295,1.54,,,,,,,,,
,,2006 - 2007,59,87,1.47,,,,,,,,,
,,2007 - 2008,38,50,1.32,,,,,,,,,
,,2008 - 2009,14,21,1.5,,,,,,,,,
,,2009 - 2010,,,,,,,7,,0,,,
,,2011 - 2012,34,51,1.5,,,,,,,,,
,,2012 - 2013,76,114,1.5,,,,,,,,,
,,2013 - 2014,,,,,,,28,42,1.5,,,
,,2014 - 2015,,,,,,,30,45,1.5,,,
,,2015 - 2016,,,,,,,15,26,1.73,,,
,,2016 - 2017,,,,,,,29,49,1.69,,,
,,2017 - 2018,,,,,,,171,254,1.49,,,
,,2018 - 2019,,,,,,,302,449,1.49,,,
,,2019 - 2020,,,,,,,624,"1,006.00",1.61,,,
,,2020 - 2021,,,,,,,982,"1,754.00",1.79,,,
,,2021 - 2022,,,,,,,982,"1,461.00",1.49,,,
,,2022 - 2023,,,,,,,"2,375.00","1,651.00",0.7,,,
,10. Gariyaband,2019 - 2020,,,,,,,1,3,3,,,
,,2020 - 2021,,,,,,,2,6,3,,,
,,2021 - 2022,,,,,,,3,1,0.33,,,
,,2022 - 2023,,,,,,,6,3,0.5,,,
,11. Kabirdham,2000 - 2001,1,,0,,,,,,,,,
,,2012 - 2013,2,5,2.5,,,,,,,,,
,,2013 - 2014,,,,,,,2,5,2.5,,,
