state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2015 - 2016,,,1.18,,,,,,,,,,,,
,,2016 - 2017,,,1.17,,,,,,,,,,,,
,,2017 - 2018,,,1.16,,,,,,,,,,,,
,,2018 - 2019,,,1.17,,,,,,,,,,,,
,,2019 - 2020,,,1.17,,,,,,,,,,,,
,,2020 - 2021,,,1.17,,,,,,,,,,,,
,,2022 - 2023,,,1.18,,,,,,,,,,,,
,Lower dibang valley,2002 - 2003,,993.0,0.75,,,,,,,,,,,,
,,2003 - 2004,,850.0,0.64,,,,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,,,,
,,2005 - 2006,,,0.75,,,,,,,,,,,,
,,2006 - 2007,,,0.75,,,,,,,,,,,,
,,2007 - 2008,,,0.75,,,,,,,,,,,,
,,2008 - 2009,,,0.75,,,,,,,,,,,,
,,2009 - 2010,,,0.75,,,,,,,,,,,,
,,2010 - 2011,,,0.7,,,,,,,,,,,,
,,2011 - 2012,,,0.76,,,,,,,,,,,,
,,2012 - 2013,,,0.8,,,,,,,,,,,,
,,2013 - 2014,,,0.8,,,,,,,,,,,,
,,2014 - 2015,,,0.88,,,,,,,,,,,,
,,2015 - 2016,,,0.88,,,,,,,,,,,,
,,2016 - 2017,,,0.87,,,,,,,,,,,,
,,2017 - 2018,,,0.87,,,,,,,,,,,,
,,2018 - 2019,,,0.87,,,,,,,,,,,,
,,2019 - 2020,,,0.87,,,,,,,,,,,,
,,2020 - 2021,,,0.87,,,,,,,,,,,,
,,2022 - 2023,,,0.89,,,,,,,,,,,,
,Lower siang,2018 - 2019,,,0.95,,,,,,,,,,,,
,,2019 - 2020,,,0.95,,,,,,,,,,,,
,,2020 - 2021,,,0.96,,,,,,,,,,,,
,,2022 - 2023,,,0.96,,,,,,,,,,,,
,Lower subansiri,2000 - 2001,,,1.1,,,,,,,,,,,,
,,2001 - 2002,,,1.17,,,,,,,,,,,,
,,2002 - 2003,,,1.13,,,,,,,,,,,,
,,2003 - 2004,,,1.29,,,,,,,,,,,,
,,2004 - 2005,,,1.29,,,,,,,,,,,,
,,2005 - 2006,,,1.44,,,,,,,,,,,,
,,2006 - 2007,,,1.44,,,,,,,,,,,,
,,2007 - 2008,,,0.72,,,,,,,,,,,,
,,2008 - 2009,,,0.72,,,,,,,,,,,,
,,2009 - 2010,,,0.75,,,,,,,,,,,,
,,2010 - 2011,,,0.94,,,,,,,,,,,,
,,2011 - 2012,,,1.05,,,,,,,,,,,,
,,2012 - 2013,,,1.05,,,,,,,,,,,,
,,2013 - 2014,,,1.05,,,,,,,,,,,,
,,2014 - 2015,,,1.04,,,,,,,,,,,,
,,2015 - 2016,,,1.04,,,,,,,,,,,,
,,2016 - 2017,,,1.03,,,,,,,,,,,,
,,2017 - 2018,,,1.03,,,,,,,,,,,,
,,2018 - 2019,,,0.82,,,,,,,,,,,,
,,2019 - 2020,,,0.82,,,,,,,,,,,,
,,2020 - 2021,,,0.83,,,,,,,,,,,,
,,2022 - 2023,,,0.82,,,,,,,,,,,,
,Namsai,2015 - 2016,87.0,89.0,1.02,,,,,,,,,,,,
,,2016 - 2017,87.0,79.0,0.91,,,,,,,,,,,,
,,2017 - 2018,100.0,92.0,0.92,,,,,,,,,,,,
,,2018 - 2019,100.0,96.0,0.96,,,,,,,,,,,,
,,2019 - 2020,100.0,98.0,0.98,,,,,,,,,,,,
,,2020 - 2021,102.0,106.0,1.04,,,,,,,,,,,,
,,2022 - 2023,108.0,113.0,1.05,,,,,,,,,,,,
,Pakke kessang,2019 - 2020,257.0,272.0,1.06,,,,,,,,,,,,
,,2020 - 2021,258.0,278.0,1.08,,,,,,,,,,,,
,,2022 - 2023,268.0,289.0,1.08,,,,,,,,,,,,
,Papum pare,2000 - 2001,509.0,545.0,1.07,,,,,,,,,,,,
,,2001 - 2002,559.0,595.0,1.06,,,,,,,,,,,,
,,2002 - 2003,550.0,650.0,1.18,,,,,,,,,,,,
,,2003 - 2004,656.0,728.0,1.11,,,,,,,,,,,,
,,2004 - 2005,600.0,738.0,1.23,,,,,,,,,,,,
,,2005 - 2006,695.0,861.0,1.24,,,,,,,,,,,,
,,2006 - 2007,695.0,904.0,1.3,,,,,,,,,,,,
,,2007 - 2008,625.0,750.0,1.2,,,,,,,,,,,,
,,2008 - 2009,627.0,815.0,1.3,,,,,,,,,,,,
,,2009 - 2010,635.0,857.0,1.35,,,,,,,,,,,,
,,2010 - 2011,639.0,848.0,1.33,,,,,,,,,,,,
,,2011 - 2012,649.0,931.0,1.43,,,,,,,,,,,,
,,2012 - 2013,641.0,857.0,1.34,,,,,,,,,,,,
,,2013 - 2014,745.0,,1.42,,,,,,,,,,,,
,,2014 - 2015,962.0,,1.32,,,,,,,,,,,,
,,2015 - 2016,995.0,,1.3,,,,,,,,,,,,
,,2016 - 2017,995.0,,1.27,,,,,,,,,,,,
,,2017 - 2018,,,1.27,,,,,,,,,,,,
,,2018 - 2019,,,1.27,,,,,,,,,,,,
,,2019 - 2020,,,1.28,,,,,,,,,,,,
,,2020 - 2021,,,1.28,,,,,,,,,,,,
,,2022 - 2023,,,1.27,,,,,,,,,,,,
,Shi yomi,2019 - 2020,188.0,158.0,0.84,,,,,,,,,,,,
,,2020 - 2021,189.0,164.0,0.87,,,,,,,,,,,,
,,2022 - 2023,221.0,246.0,1.11,,,,,,,,,,,,
,Siang,2015 - 2016,,,1.08,,,,,,,,,,,,
,,2016 - 2017,,,1.05,,,,,,,,,,,,
,,2017 - 2018,,,1.05,,,,,,,,,,,,
,,2018 - 2019,,,1.05,,,,,,,,,,,,
,,2019 - 2020,,,1.06,,,,,,,,,,,,
,,2020 - 2021,,,1.06,,,,,,,,,,,,
,,2022 - 2023,,,1.07,,,,,,,,,,,,
,Tawang,2000 - 2001,880.0,945.0,1.07,,,,,,,,,,,,
,,2001 - 2002,884.0,949.0,1.07,,,,,,,,,,,,
,,2002 - 2003,885.0,948.0,1.07,,,,,,,,,,,,
,,2003 - 2004,835.0,,1.2,,,,,,,,,,,,
,,2004 - 2005,835.0,,1.2,,,,,,,,,,,,
,,2005 - 2006,835.0,,1.2,,,,,,,,,,,,
,,2006 - 2007,835.0,,1.2,,,,,,,,,,,,
,,2007 - 2008,835.0,,1.2,,,,,,,,,,,,
,,2008 - 2009,850.0,,1.3,,,,,,,,,,,,
,,2009 - 2010,,,1.2,,,,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,,,,
,,2011 - 2012,,,1.31,,,,,,,,,,,,
,,2012 - 2013,,,1.2,,,,,,,,,,,,
,,2013 - 2014,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,1.17,,,,,,,,,,,,
,,2015 - 2016,,,1.17,,,,,,,,,,,,
,,2016 - 2017,,,1.14,,,,,,,,,,,,
,,2017 - 2018,,,1.14,,,,,,,,,,,,
,,2018 - 2019,,,1.14,,,,,,,,,,,,
,,2019 - 2020,,,1.15,,,,,,,,,,,,
,,2020 - 2021,,,1.15,,,,,,,,,,,,
,,2022 - 2023,,,1.16,,,,,,,,,,,,
,Tirap,2000 - 2001,,,0.66,,,,,,,,,,,,
,,2001 - 2002,400.0,342.0,0.86,,,,,,,,,,,,
,,2002 - 2003,,,0.67,,,,,,,,,,,,
,,2003 - 2004,,,0.81,,,,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,,,,
,,2005 - 2006,,,0.76,,,,,,,,,,,,
,,2006 - 2007,,,0.76,,,,,,,,,,,,
,,2007 - 2008,,,0.76,,,,,,,,,,,,
,,2008 - 2009,,,0.6,,,,,,,,,,,,
,,2009 - 2010,,,0.63,,,,,,,,,,,,
,,2010 - 2011,,,0.63,,,,,,,,,,,,
,,2011 - 2012,,,0.69,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,1.2,,,,,,,,,,,,
,,2014 - 2015,,,0.82,,,,,,,,,,,,
,,2015 - 2016,,,0.84,,,,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,,,,
,,2017 - 2018,,,0.83,,,,,,,,,,,,
,,2018 - 2019,,,0.83,,,,,,,,,,,,
,,2019 - 2020,,,0.83,,,,,,,,,,,,
,,2020 - 2021,,,0.84,,,,,,,,,,,,
,,2022 - 2023,,,0.84,,,,,,,,,,,,
,Upper siang,2000 - 2001,,850.0,0.68,,,,,,,,,,,,
,,2001 - 2002,530.0,503.0,0.95,,,,,,,,,,,,
,,2002 - 2003,,,0.8,,,,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,,,,
,,2004 - 2005,,,1.0,,,,,,,,,,,,
,,2005 - 2006,,,1.0,,,,,,,,,,,,
,,2006 - 2007,,,1.0,,,,,,,,,,,,
,,2007 - 2008,,860.0,0.77,,,,,,,,,,,,
,,2008 - 2009,,555.0,0.5,,,,,,,,,,,,
,,2009 - 2010,,666.0,0.6,,,,,,,,,,,,
,,2010 - 2011,,666.0,0.6,,,,,,,,,,,,
,,2011 - 2012,,731.0,0.66,,,,,,,,,,,,
,,2012 - 2013,,715.0,0.65,,,,,,,,,,,,
,,2013 - 2014,,975.0,0.86,,,,,,,,,,,,
,,2014 - 2015,,,0.87,,,,,,,,,,,,
,,2015 - 2016,,,0.94,,,,,,,,,,,,
,,2016 - 2017,,,0.92,,,,,,,,,,,,
,,2017 - 2018,,,0.92,,,,,,,,,,,,
,,2018 - 2019,,,0.92,,,,,,,,,,,,
,,2019 - 2020,,,0.92,,,,,,,,,,,,
,,2020 - 2021,,,0.93,,,,,,,,,,,,
,,2022 - 2023,,,0.94,,,,,,,,,,,,
,Upper subansiri,2000 - 2001,,,1.11,,,,,,,,,,,,
,,2001 - 2002,,,1.09,,,,,,,,,,,,
,,2002 - 2003,,,1.09,,,,,,,,,,,,
,,2003 - 2004,,,1.09,,,,,,,,,,,,
,,2004 - 2005,,,1.09,,,,,,,,,,,,
,,2005 - 2006,,,0.94,,,,,,,,,,,,
,,2006 - 2007,,,0.9,,,,,,,,,,,,
,,2007 - 2008,,,1.19,,,,,,,,,,,,
,,2008 - 2009,,,1.09,,,,,,,,,,,,
,,2009 - 2010,,,1.09,,,,,,,,,,,,
,,2010 - 2011,,,1.29,,,,,,,,,,,,
,,2011 - 2012,,,1.41,,,,,,,,,,,,
,,2012 - 2013,,,1.39,,,,,,,,,,,,
,,2013 - 2014,,,1.35,,,,,,,,,,,,
,,2014 - 2015,,,1.3,,,,,,,,,,,,
,,2015 - 2016,,,1.29,,,,,,,,,,,,
,,2016 - 2017,,,1.28,,,,,,,,,,,,
,,2017 - 2018,,,1.27,,,,,,,,,,,,
,,2018 - 2019,,,1.27,,,,,,,,,,,,
,,2019 - 2020,,,1.27,,,,,,,,,,,,
,,2020 - 2021,,,1.28,,,,,,,,,,,,
,,2022 - 2023,,,1.27,,,,,,,,,,,,
,West kameng,2000 - 2001,,,0.97,,,,,,,,,,,,
,,2001 - 2002,,,0.97,,,,,,,,,,,,
,,2002 - 2003,,,0.97,,,,,,,,,,,,
,,2003 - 2004,,,0.97,,,,,,,,,,,,
,,2004 - 2005,,,0.97,,,,,,,,,,,,
,,2005 - 2006,977.0,948.0,0.97,,,,,,,,,,,,
,,2006 - 2007,972.0,943.0,0.97,,,,,,,,,,,,
,,2007 - 2008,972.0,947.0,0.97,,,,,,,,,,,,
,,2008 - 2009,958.0,,1.05,,,,,,,,,,,,
,,2009 - 2010,,998.0,0.99,,,,,,,,,,,,
,,2010 - 2011,,990.0,0.98,,,,,,,,,,,,
,,2011 - 2012,,,1.07,,,,,,,,,,,,
,,2012 - 2013,,990.0,0.98,,,,,,,,,,,,
,,2013 - 2014,,992.0,0.98,,,,,,,,,,,,
,,2014 - 2015,,,0.98,,,,,,,,,,,,
,,2015 - 2016,,,0.98,,,,,,,,,,,,
,,2016 - 2017,,,0.96,,,,,,,,,,,,
,,2017 - 2018,,,0.96,,,,,,,,,,,,
,,2018 - 2019,,,0.96,,,,,,,,,,,,
,,2019 - 2020,,,0.96,,,,,,,,,,,,
,,2020 - 2021,,,0.97,,,,,,,,,,,,
,,2022 - 2023,,,0.97,,,,,,,,,,,,
,West siang,2000 - 2001,,,0.81,,,,,,,,,,,,
,,2001 - 2002,,,0.85,,,,,,,,,,,,
,,2002 - 2003,,,0.83,,,,,,,,,,,,
,,2003 - 2004,,,0.84,,,,,,,,,,,,
,,2004 - 2005,,,0.84,,,,,,,,,,,,
,,2005 - 2006,,,0.87,,,,,,,,,,,,
,,2006 - 2007,,,0.85,,,,,,,,,,,,
,,2007 - 2008,,,0.85,,,,,,,,,,,,
,,2008 - 2009,,,0.86,,,,,,,,,,,,
,,2009 - 2010,,,0.87,,,,,,,,,,,,
,,2010 - 2011,,,0.88,,,,,,,,,,,,
,,2011 - 2012,,,0.98,,,,,,,,,,,,
,,2012 - 2013,,,0.82,,,,,,,,,,,,
,,2013 - 2014,,,0.83,,,,,,,,,,,,
,,2014 - 2015,,,0.84,,,,,,,,,,,,
,,2015 - 2016,,,0.84,,,,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,,,,
,,2017 - 2018,,,0.83,,,,,,,,,,,,
,,2018 - 2019,837.0,697.0,0.83,,,,,,,,,,,,
,,2019 - 2020,440.0,367.0,0.83,,,,,,,,,,,,
,,2020 - 2021,441.0,373.0,0.85,,,,,,,,,,,,
,,2022 - 2023,460.0,391.0,0.85,,,,,,,,,,,,
Assam,Baksa,2005 - 2006,247.0,110.0,0.45,,,,,,,,,,,,
,,2006 - 2007,278.0,124.0,0.45,,,,,,,,,,,,
,,2007 - 2008,284.0,127.0,0.45,,,,,,,,,,,,
,,2008 - 2009,267.0,131.0,0.49,,,,,,,,,,,,
,,2009 - 2010,276.0,127.0,0.46,,,,,,,,,,,,
,,2010 - 2011,250.0,112.0,0.45,,,,,,,,,,,,
,,2011 - 2012,264.0,128.0,0.48,,,,,,,,,,,,
,,2012 - 2013,280.0,128.0,0.46,,,,,,,,,,,,
,,2013 - 2014,290.0,131.0,0.45,,,,,,,,,,,,
,,2014 - 2015,300.0,171.0,0.57,,,,,,,,,,,,
,,2015 - 2016,302.0,315.0,1.04,,,,,,,,,,,,
,,2016 - 2017,300.0,175.0,0.58,,,,,,,,,,,,
,,2017 - 2018,274.0,176.0,0.64,,,,,,,,,,,,
,,2018 - 2019,275.0,154.0,0.56,,,,,,,,,,,,
,,2019 - 2020,275.0,179.0,0.65,,,,,,,,,,,,
,,2020 - 2021,258.0,183.0,0.71,,,,,,,,,,,,
,,2021 - 2022,230.0,164.0,0.71,,,,,,,,,,,,
,,2022 - 2023,245.0,271.0,1.11,,,,,,,,,,,,
,Barpeta,2000 - 2001,,,0.5,,,,,,,,,,,,
,,2001 - 2002,,665.0,0.5,,,,,,,,,,,,
,,2002 - 2003,,665.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,665.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,660.0,0.5,,,,,,,,,,,,
,,2005 - 2006,809.0,405.0,0.5,,,,,,,,,,,,
,,2006 - 2007,863.0,432.0,0.5,,,,,,,,,,,,
,,2007 - 2008,892.0,446.0,0.5,,,,,,,,,,,,
,,2008 - 2009,674.0,349.0,0.52,,,,,,,,,,,,
,,2009 - 2010,681.0,344.0,0.51,,,,,,,,,,,,
,,2010 - 2011,667.0,338.0,0.51,,,,,,,,,,,,
,,2011 - 2012,658.0,357.0,0.54,,,,,,,,,,,,
,,2012 - 2013,572.0,296.0,0.52,,,,,,,,,,,,
,,2013 - 2014,515.0,271.0,0.53,,,,,,,,,,,,
,,2014 - 2015,514.0,332.0,0.65,,,,,,,,,,,,
,,2015 - 2016,507.0,358.0,0.71,,,,,,,,,,,,
,,2016 - 2017,500.0,301.0,0.6,,,,,,,,,,,,
,,2017 - 2018,487.0,289.0,0.59,,,,,,,,,,,,
,,2018 - 2019,501.0,295.0,0.59,,,,,,,,,,,,
,,2019 - 2020,481.0,283.0,0.59,,,,,,,,,,,,
,,2020 - 2021,470.0,278.0,0.59,,,,,,,,,,,,
,,2021 - 2022,593.0,365.0,0.62,,,,,,,,,,,,
,,2022 - 2023,526.0,328.0,0.62,,,,,,,,,,,,
,Biswanath,2020 - 2021,41.0,23.0,0.56,,,,,,,,,,,,
,,2021 - 2022,19.0,14.0,0.74,,,,,,,,,,,,
,,2022 - 2023,322.0,222.0,0.69,,,,,,,,,,,,
,Bongaigaon,2000 - 2001,853.0,463.0,0.54,,,,,,,,,,,,
,,2001 - 2002,856.0,466.0,0.54,,,,,,,,,,,,
,,2002 - 2003,782.0,432.0,0.55,,,,,,,,,,,,
,,2003 - 2004,843.0,457.0,0.54,,,,,,,,,,,,
,,2004 - 2005,822.0,443.0,0.54,,,,,,,,,,,,
,,2005 - 2006,585.0,283.0,0.48,,,,,,,,,,,,
,,2006 - 2007,592.0,287.0,0.48,,,,,,,,,,,,
,,2007 - 2008,535.0,253.0,0.47,,,,,,,,,,,,
,,2008 - 2009,533.0,261.0,0.49,,,,,,,,,,,,
,,2009 - 2010,541.0,258.0,0.48,,,,,,,,,,,,
,,2010 - 2011,539.0,256.0,0.47,,,,,,,,,,,,
,,2011 - 2012,528.0,290.0,0.55,,,,,,,,,,,,
,,2012 - 2013,485.0,233.0,0.48,,,,,,,,,,,,
,,2013 - 2014,,499.0,0.45,,,,,,,,,,,,
,,2014 - 2015,,612.0,0.57,,,,,,,,,,,,
,,2015 - 2016,,626.0,0.58,,,,,,,,,,,,
,,2016 - 2017,711.0,378.0,0.53,,,,,,,,,,,,
,,2017 - 2018,963.0,454.0,0.47,,,,,,,,,,,,
,,2018 - 2019,924.0,523.0,0.57,,,,,,,,,,,,
,,2019 - 2020,920.0,411.0,0.45,,,,,,,,,,,,
,,2020 - 2021,900.0,526.0,0.58,,,,,,,,,,,,
,,2021 - 2022,715.0,320.0,0.45,,,,,,,,,,,,
,,2022 - 2023,825.0,389.0,0.47,,,,,,,,,,,,
,Cachar,2000 - 2001,24.0,10.0,0.42,,,,,,,,,,,,
,,2001 - 2002,25.0,10.0,0.4,,,,,,,,,,,,
,,2002 - 2003,26.0,11.0,0.42,,,,,,,,,,,,
,,2003 - 2004,28.0,12.0,0.43,,,,,,,,,,,,
,,2004 - 2005,26.0,12.0,0.46,,,,,,,,,,,,
,,2005 - 2006,28.0,13.0,0.46,,,,,,,,,,,,
,,2006 - 2007,31.0,15.0,0.48,,,,,,,,,,,,
,,2007 - 2008,28.0,14.0,0.5,,,,,,,,,,,,
,,2008 - 2009,30.0,14.0,0.47,,,,,,,,,,,,
,,2009 - 2010,30.0,15.0,0.5,,,,,,,,,,,,
,,2010 - 2011,20.0,10.0,0.5,,,,,,,,,,,,
,,2011 - 2012,20.0,10.0,0.5,,,,,,,,,,,,
,,2012 - 2013,22.0,12.0,0.55,,,,,,,,,,,,
,,2013 - 2014,26.0,13.0,0.5,,,,,,,,,,,,
,,2014 - 2015,27.0,17.0,0.63,,,,,,,,,,,,
,,2015 - 2016,25.0,12.0,0.48,,,,,,,,,,,,
,,2016 - 2017,24.0,12.0,0.5,,,,,,,,,,,,
,,2017 - 2018,22.0,10.0,0.45,,,,,,,,,,,,
,,2018 - 2019,18.0,14.0,0.78,,,,,,,,,,,,
,,2019 - 2020,6.0,3.0,0.5,,,,,,,,,,,,
,,2020 - 2021,15.0,12.0,0.8,,,,,,,,,,,,
,,2021 - 2022,16.0,13.0,0.81,,,,,,,,,,,,
,,2022 - 2023,65.0,51.0,0.78,,,,,,,,,,,,
,Chirang,2005 - 2006,260.0,126.0,0.48,,,,,,,,,,,,
,,2006 - 2007,275.0,133.0,0.48,,,,,,,,,,,,
,,2007 - 2008,132.0,62.0,0.47,,,,,,,,,,,,
,,2008 - 2009,126.0,64.0,0.51,,,,,,,,,,,,
,,2009 - 2010,178.0,87.0,0.49,,,,,,,,,,,,
,,2010 - 2011,61.0,28.0,0.46,,,,,,,,,,,,
,,2011 - 2012,122.0,63.0,0.52,,,,,,,,,,,,
,,2012 - 2013,54.0,25.0,0.46,,,,,,,,,,,,
,,2013 - 2014,63.0,50.0,0.79,,,,,,,,,,,,
,,2014 - 2015,70.0,40.0,0.57,,,,,,,,,,,,
,,2015 - 2016,7.0,11.0,1.57,,,,,,,,,,,,
,,2016 - 2017,10.0,10.0,1.0,,,,,,,,,,,,
,,2017 - 2018,10.0,7.0,0.7,,,,,,,,,,,,
,,2018 - 2019,9.0,5.0,0.56,,,,,,,,,,,,
,,2019 - 2020,59.0,36.0,0.61,,,,,,,,,,,,
,,2020 - 2021,48.0,30.0,0.63,,,,,,,,,,,,
,,2021 - 2022,62.0,42.0,0.68,,,,,,,,,,,,
,,2022 - 2023,327.0,342.0,1.05,,,,,,,,,,,,
,Darrang,2000 - 2001,240.0,157.0,0.65,,,,,,,,,,,,
,,2001 - 2002,247.0,161.0,0.65,,,,,,,,,,,,
,,2002 - 2003,262.0,171.0,0.65,,,,,,,,,,,,
,,2003 - 2004,246.0,160.0,0.65,,,,,,,,,,,,
,,2004 - 2005,150.0,96.0,0.64,,,,,,,,,,,,
,,2005 - 2006,137.0,91.0,0.66,,,,,,,,,,,,
,,2006 - 2007,103.0,68.0,0.66,,,,,,,,,,,,
,,2007 - 2008,57.0,38.0,0.67,,,,,,,,,,,,
,,2009 - 2010,101.0,67.0,0.66,,,,,,,,,,,,
,,2010 - 2011,45.0,30.0,0.67,,,,,,,,,,,,
,,2011 - 2012,42.0,29.0,0.69,,,,,,,,,,,,
,,2012 - 2013,34.0,23.0,0.68,,,,,,,,,,,,
,,2013 - 2014,36.0,24.0,0.67,,,,,,,,,,,,
,,2014 - 2015,35.0,30.0,0.86,,,,,,,,,,,,
,,2015 - 2016,35.0,27.0,0.77,,,,,,,,,,,,
,,2016 - 2017,35.0,24.0,0.69,,,,,,,,,,,,
,,2017 - 2018,35.0,24.0,0.69,,,,,,,,,,,,
,,2018 - 2019,34.0,23.0,0.68,,,,,,,,,,,,
,,2019 - 2020,31.0,21.0,0.68,,,,,,,,,,,,
,,2020 - 2021,29.0,28.0,0.97,,,,,,,,,,,,
,,2021 - 2022,33.0,26.0,0.79,,,,,,,,,,,,
,,2022 - 2023,83.0,57.0,0.69,,,,,,,,,,,,
,Dhemaji,2000 - 2001,40.0,26.0,0.65,,,,,,,,,,,,
,,2001 - 2002,38.0,26.0,0.68,,,,,,,,,,,,
,,2002 - 2003,31.0,19.0,0.61,,,,,,,,,,,,
,,2003 - 2004,29.0,20.0,0.69,,,,,,,,,,,,
,,2004 - 2005,49.0,33.0,0.67,,,,,,,,,,,,
,,2005 - 2006,25.0,17.0,0.68,,,,,,,,,,,,
,,2006 - 2007,27.0,18.0,0.67,,,,,,,,,,,,
,,2007 - 2008,24.0,16.0,0.67,,,,,,,,,,,,
,,2008 - 2009,10.0,7.0,0.7,,,,,,,,,,,,
,,2009 - 2010,10.0,7.0,0.7,,,,,,,,,,,,
,,2010 - 2011,14.0,10.0,0.71,,,,,,,,,,,,
,,2011 - 2012,17.0,11.0,0.65,,,,,,,,,,,,
,,2012 - 2013,12.0,9.0,0.75,,,,,,,,,,,,
,,2013 - 2014,16.0,11.0,0.69,,,,,,,,,,,,
,,2014 - 2015,4.0,4.0,1.0,,,,,,,,,,,,
,,2015 - 2016,16.0,13.0,0.81,,,,,,,,,,,,
,,2016 - 2017,17.0,14.0,0.82,,,,,,,,,,,,
,,2017 - 2018,17.0,14.0,0.82,,,,,,,,,,,,
,,2018 - 2019,17.0,7.0,0.41,,,,,,,,,,,,
,,2019 - 2020,17.0,10.0,0.59,,,,,,,,,,,,
,,2020 - 2021,16.0,9.0,0.56,,,,,,,,,,,,
,,2021 - 2022,14.0,4.0,0.29,,,,,,,,,,,,
,,2022 - 2023,33.0,14.0,0.42,,,,,,,,,,,,
,Dhubri,2000 - 2001,,,0.55,,,,,,,,,,,,
,,2001 - 2002,,,0.55,,,,,,,,,,,,
,,2002 - 2003,,,0.55,,,,,,,,,,,,
,,2003 - 2004,,,0.55,,,,,,,,,,,,
,,2004 - 2005,,,0.55,,,,,,,,,,,,
,,2005 - 2006,,,0.55,,,,,,,,,,,,
,,2006 - 2007,,,0.55,,,,,,,,,,,,
,,2007 - 2008,,,0.55,,,,,,,,,,,,
,,2008 - 2009,,,0.57,,,,,,,,,,,,
,,2009 - 2010,,,0.56,,,,,,,,,,,,
,,2010 - 2011,,825.0,0.56,,,,,,,,,,,,
,,2011 - 2012,135.0,79.0,0.59,,,,,,,,,,,,
,,2012 - 2013,730.0,417.0,0.57,,,,,,,,,,,,
,,2013 - 2014,732.0,415.0,0.57,,,,,,,,,,,,
,,2014 - 2015,532.0,379.0,0.71,,,,,,,,,,,,
,,2015 - 2016,677.0,963.0,1.42,,,,,,,,,,,,
,,2016 - 2017,620.0,559.0,0.9,,,,,,,,,,,,
,,2017 - 2018,610.0,551.0,0.9,,,,,,,,,,,,
,,2018 - 2019,660.0,598.0,0.91,,,,,,,,,,,,
,,2019 - 2020,992.0,903.0,0.91,,,,,,,,,,,,
,,2020 - 2021,330.0,306.0,0.93,,,,,,,,,,,,
,,2021 - 2022,330.0,306.0,0.93,,,,,,,,,,,,
,,2022 - 2023,345.0,320.0,0.93,,,,,,,,,,,,
,Dibrugarh,2000 - 2001,40.0,19.0,0.48,,,,,,,,,,,,
,,2001 - 2002,46.0,22.0,0.48,,,,,,,,,,,,
,,2002 - 2003,46.0,22.0,0.48,,,,,,,,,,,,
,,2003 - 2004,46.0,22.0,0.48,,,,,,,,,,,,
,,2004 - 2005,42.0,20.0,0.48,,,,,,,,,,,,
,,2005 - 2006,26.0,12.0,0.46,,,,,,,,,,,,
,,2006 - 2007,9.0,4.0,0.44,,,,,,,,,,,,
,,2007 - 2008,9.0,4.0,0.44,,,,,,,,,,,,
,,2008 - 2009,12.0,6.0,0.5,,,,,,,,,,,,
,,2016 - 2017,4.0,2.0,0.5,,,,,,,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,,,,,,,
,,2019 - 2020,424.0,268.0,0.63,,,,,,,,,,,,
,Dima hasao,2000 - 2001,8.0,4.0,0.5,,,,,,,,,,,,
,,2001 - 2002,8.0,4.0,0.5,,,,,,,,,,,,
,,2002 - 2003,8.0,4.0,0.5,,,,,,,,,,,,
,,2003 - 2004,8.0,4.0,0.5,,,,,,,,,,,,
,,2004 - 2005,8.0,4.0,0.5,,,,,,,,,,,,
,,2005 - 2006,8.0,4.0,0.5,,,,,,,,,,,,
,,2006 - 2007,8.0,4.0,0.5,,,,,,,,,,,,
,,2007 - 2008,10.0,5.0,0.5,,,,,,,,,,,,
,,2008 - 2009,9.0,4.0,0.44,,,,,,,,,,,,
,,2009 - 2010,10.0,5.0,0.5,,,,,,,,,,,,
,,2010 - 2011,10.0,5.0,0.5,,,,,,,,,,,,
,,2011 - 2012,10.0,5.0,0.5,,,,,,,,,,,,
,,2012 - 2013,10.0,5.0,0.5,,,,,,,,,,,,
,Goalpara,2000 - 2001,725.0,287.0,0.4,,,,,,,,,,,,
,,2001 - 2002,600.0,238.0,0.4,,,,,,,,,,,,
,,2002 - 2003,510.0,203.0,0.4,,,,,,,,,,,,
,,2003 - 2004,516.0,205.0,0.4,,,,,,,,,,,,
,,2004 - 2005,478.0,190.0,0.4,,,,,,,,,,,,
