state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,,2007 - 2008,988.0,191.0,0.19,,,,,,,,,,,,,,,
,,2008 - 2009,961.0,,1.26,,,,,,,,,,,,,,,
,,2009 - 2010,756.0,624.0,0.83,,,,,,,,,,,,,,,
,,2010 - 2011,719.0,812.0,1.13,,,,,,,,,,,,,,,
,,2011 - 2012,630.0,745.0,1.18,,,,,,,,,,,,,,,
,,2012 - 2013,616.0,756.0,1.23,,,,,,,,,,,,,,,
,,2013 - 2014,604.0,714.0,1.18,,,,,,,,,,,,,,,
,,2014 - 2015,646.0,968.0,1.5,,,,,,,,,,,,,,,
,,2015 - 2016,669.0,606.0,0.91,,,,,,,,,,,,,,,
,,2016 - 2017,589.0,398.0,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,585.0,,1.85,,,,,,,,,,,,,,,
,,2018 - 2019,581.0,849.0,1.46,,,,,,,,,,,,,,,
,,2019 - 2020,424.0,378.0,0.89,,,,,,,,,,,,,,,
,,2020 - 2021,394.0,428.0,1.09,,,,,,,,,,,,,,,
,,2021 - 2022,275.0,324.0,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,260.0,288.0,1.11,,,,,,,,,,,,,,,
,Gaya,2000 - 2001,361.0,397.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,277.0,243.0,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,222.0,153.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,340.0,229.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,324.0,219.0,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,230.0,207.0,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,298.0,260.0,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,295.0,176.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,313.0,254.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,207.0,166.0,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,106.0,104.0,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,176.0,214.0,1.22,,,,,,,,,,,,,,,
,,2012 - 2013,224.0,265.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,71.0,72.0,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,166.0,245.0,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,85.0,121.0,1.42,,,,,,,,,,,,,,,
,,2016 - 2017,123.0,89.0,0.72,,,,,,,,,,,,,,,
,,2017 - 2018,91.0,90.0,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,106.0,114.0,1.08,,,,,,,,,,,,,,,
,,2019 - 2020,64.0,51.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,96.0,90.0,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,93.0,91.0,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,87.0,87.0,1.0,,,,,,,,,,,,,,,
,Gopalganj,2000 - 2001,696.0,930.0,1.34,,,,,,,,,,,,,,,
,,2001 - 2002,324.0,438.0,1.35,,,,,,,,,,,,,,,
,,2002 - 2003,433.0,334.0,0.77,,,,,,,,,,,,,,,
,,2003 - 2004,389.0,351.0,0.9,,,,,,,,,,,,,,,
,,2004 - 2005,323.0,311.0,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,497.0,421.0,0.85,,,,,,,,,,,,,,,
,,2006 - 2007,96.0,73.0,0.76,,,,,,,,,,,,,,,
,,2007 - 2008,151.0,114.0,0.75,,,,,,,,,,,,,,,
,,2008 - 2009,138.0,54.0,0.39,,,,,,,,,,,,,,,
,,2009 - 2010,134.0,42.0,0.31,,,,,,,,,,,,,,,
,,2010 - 2011,138.0,119.0,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,54.0,99.0,1.83,,,,,,,,,,,,,,,
,,2012 - 2013,61.0,74.0,1.21,,,,,,,,,,,,,,,
,,2013 - 2014,36.0,31.0,0.86,,,,,,,,,,,,,,,
,,2014 - 2015,39.0,57.0,1.46,,,,,,,,,,,,,,,
,,2015 - 2016,25.0,21.0,0.84,,,,,,,,,,,,,,,
,,2016 - 2017,40.0,39.0,0.98,,,,,,,,,,,,,,,
,,2017 - 2018,15.0,15.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,3.0,3.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2021 - 2022,4.0,3.0,0.75,,,,,,,,,,,,,,,
,,2022 - 2023,4.0,3.0,0.75,,,,,,,,,,,,,,,
,Jamui,2000 - 2001,217.0,238.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,6.0,5.0,0.83,,,,,,,,,,,,,,,
,,2002 - 2003,54.0,37.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,9.0,6.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,40.0,27.0,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,8.0,7.0,0.88,,,,,,,,,,,,,,,
,,2006 - 2007,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,4.0,2.0,0.5,,,,,,,,,,,,,,,
,Jehanabad,2000 - 2001,23.0,85.0,3.7,,,,,,,,,,,,,,,
,,2001 - 2002,53.0,47.0,0.89,,,,,,,,,,,,,,,
,,2002 - 2003,169.0,116.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,36.0,24.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,69.0,47.0,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,52.0,47.0,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,90.0,79.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,156.0,94.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,64.0,52.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,64.0,51.0,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,51.0,50.0,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,197.0,239.0,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,202.0,239.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,209.0,212.0,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,9.0,13.0,1.44,,,,,,,,,,,,,,,
,,2015 - 2016,8.0,11.0,1.38,,,,,,,,,,,,,,,
,,2016 - 2017,7.0,5.0,0.71,,,,,,,,,,,,,,,
,,2017 - 2018,17.0,17.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,16.0,17.0,1.06,,,,,,,,,,,,,,,
,,2019 - 2020,35.0,28.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,16.0,15.0,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,14.0,14.0,1.0,,,,,,,,,,,,,,,
,,2022 - 2023,9.0,9.0,1.0,,,,,,,,,,,,,,,
,Kaimur (bhabua),2000 - 2001,106.0,116.0,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,83.0,73.0,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,45.0,31.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,79.0,53.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,57.0,38.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,43.0,39.0,0.91,,,,,,,,,,,,,,,
,,2006 - 2007,42.0,37.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,3.0,2.0,0.67,,,,,,,,,,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Katihar,2000 - 2001,143.0,371.0,2.59,,,,,,,,,,,,,,,
,,2001 - 2002,98.0,73.0,0.74,,,,,,,,,,,,,,,
,,2002 - 2003,99.0,84.0,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,41.0,10.0,0.24,,,,,,,,,,,,,,,
,,2006 - 2007,,606.0,0.56,,,,,,,,,,,,,,,
,,2007 - 2008,,729.0,0.67,,,,,,,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Khagaria,2000 - 2001,40.0,44.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,38.0,33.0,0.87,,,,,,,,,,,,,,,
,,2002 - 2003,42.0,29.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,43.0,29.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,41.0,28.0,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,40.0,36.0,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,68.0,59.0,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,38.0,23.0,0.61,,,,,,,,,,,,,,,
,,2008 - 2009,45.0,37.0,0.82,,,,,,,,,,,,,,,
,,2009 - 2010,45.0,36.0,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,43.0,42.0,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,44.0,53.0,1.2,,,,,,,,,,,,,,,
,,2012 - 2013,9.0,11.0,1.22,,,,,,,,,,,,,,,
,,2013 - 2014,32.0,32.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,27.0,40.0,1.48,,,,,,,,,,,,,,,
,,2017 - 2018,91.0,90.0,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,89.0,95.0,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,85.0,68.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,82.0,77.0,0.94,,,,,,,,,,,,,,,
,Kishanganj,2000 - 2001,902.0,,2.6,,,,,,,,,,,,,,,
,,2001 - 2002,838.0,626.0,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,779.0,661.0,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,588.0,139.0,0.24,,,,,,,,,,,,,,,
,,2004 - 2005,548.0,469.0,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,519.0,401.0,0.77,,,,,,,,,,,,,,,
,,2006 - 2007,179.0,107.0,0.6,,,,,,,,,,,,,,,
,,2007 - 2008,174.0,142.0,0.82,,,,,,,,,,,,,,,
,,2008 - 2009,177.0,144.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,184.0,109.0,0.59,,,,,,,,,,,,,,,
,,2010 - 2011,137.0,129.0,0.94,,,,,,,,,,,,,,,
,,2011 - 2012,124.0,190.0,1.53,,,,,,,,,,,,,,,
,,2012 - 2013,110.0,130.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,98.0,99.0,1.01,,,,,,,,,,,,,,,
,,2014 - 2015,91.0,134.0,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,102.0,146.0,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,109.0,79.0,0.72,,,,,,,,,,,,,,,
,,2017 - 2018,113.0,112.0,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,124.0,133.0,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,133.0,106.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,103.0,96.0,0.93,,,,,,,,,,,,,,,
,,2021 - 2022,95.0,93.0,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,85.0,85.0,1.0,,,,,,,,,,,,,,,
,Lakhisarai,2003 - 2004,26.0,18.0,0.69,,,,,,,,,,,,,,,
,Madhepura,2000 - 2001,,,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,,859.0,0.61,,,,,,,,,,,,,,,
,,2002 - 2003,,733.0,0.54,,,,,,,,,,,,,,,
,,2003 - 2004,816.0,652.0,0.8,,,,,,,,,,,,,,,
,,2004 - 2005,843.0,,1.25,,,,,,,,,,,,,,,
,,2005 - 2006,800.0,448.0,0.56,,,,,,,,,,,,,,,
,,2006 - 2007,652.0,529.0,0.81,,,,,,,,,,,,,,,
,,2007 - 2008,590.0,645.0,1.09,,,,,,,,,,,,,,,
,,2008 - 2009,681.0,652.0,0.96,,,,,,,,,,,,,,,
,,2009 - 2010,403.0,334.0,0.83,,,,,,,,,,,,,,,
,,2010 - 2011,352.0,198.0,0.56,,,,,,,,,,,,,,,
,,2011 - 2012,261.0,230.0,0.88,,,,,,,,,,,,,,,
,,2012 - 2013,292.0,269.0,0.92,,,,,,,,,,,,,,,
,,2013 - 2014,206.0,191.0,0.93,,,,,,,,,,,,,,,
,,2014 - 2015,201.0,291.0,1.45,,,,,,,,,,,,,,,
,,2015 - 2016,205.0,206.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,220.0,113.0,0.51,,,,,,,,,,,,,,,
,,2017 - 2018,67.0,49.0,0.73,,,,,,,,,,,,,,,
,,2018 - 2019,20.0,50.0,2.5,,,,,,,,,,,,,,,
,,2019 - 2020,19.0,12.0,0.63,,,,,,,,,,,,,,,
,,2020 - 2021,21.0,20.0,0.95,,,,,,,,,,,,,,,
,,2022 - 2023,36.0,41.0,1.14,,,,,,,,,,,,,,,
,Madhubani,2000 - 2001,,,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,,,1.03,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.81,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,0.9,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.06,,,,,,,,,,,,,,,
,,2006 - 2007,,,1.3,,,,,,,,,,,,,,,
,,2007 - 2008,,,0.45,,,,,,,,,,,,,,,
,,2008 - 2009,,,0.61,,,,,,,,,,,,,,,
,,2009 - 2010,,,0.9,,,,,,,,,,,,,,,
,,2010 - 2011,,,0.78,,,,,,,,,,,,,,,
,,2011 - 2012,,,1.05,,,,,,,,,,,,,,,
,,2012 - 2013,,,1.23,,,,,,,,,,,,,,,
,,2013 - 2014,,,1.18,,,,,,,,,,,,,,,
,,2014 - 2015,,,0.8,,,,,,,,,,,,,,,
,,2015 - 2016,,,2.72,,,,,,,,,,,,,,,
,,2016 - 2017,63.0,43.0,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,69.0,128.0,1.86,,,,,,,,,,,,,,,
,,2018 - 2019,41.0,63.0,1.54,,,,,,,,,,,,,,,
,,2019 - 2020,54.0,62.0,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,135.0,147.0,1.09,,,,,,,,,,,,,,,
,,2021 - 2022,235.0,277.0,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,232.0,257.0,1.11,,,,,,,,,,,,,,,
,Munger,2000 - 2001,5.0,5.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,28.0,34.0,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,25.0,30.0,1.2,,,,,,,,,,,,,,,
,Muzaffarpur,2000 - 2001,932.0,,1.18,,,,,,,,,,,,,,,
,,2001 - 2002,811.0,630.0,0.78,,,,,,,,,,,,,,,
,,2002 - 2003,767.0,657.0,0.86,,,,,,,,,,,,,,,
,,2003 - 2004,693.0,368.0,0.53,,,,,,,,,,,,,,,
,,2004 - 2005,619.0,217.0,0.35,,,,,,,,,,,,,,,
,,2005 - 2006,473.0,187.0,0.4,,,,,,,,,,,,,,,
,,2006 - 2007,200.0,175.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,356.0,215.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,309.0,251.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,325.0,225.0,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,313.0,488.0,1.56,,,,,,,,,,,,,,,
,,2011 - 2012,310.0,539.0,1.74,,,,,,,,,,,,,,,
,,2012 - 2013,323.0,613.0,1.9,,,,,,,,,,,,,,,
,,2013 - 2014,141.0,132.0,0.94,,,,,,,,,,,,,,,
,,2014 - 2015,36.0,17.0,0.47,,,,,,,,,,,,,,,
,,2015 - 2016,133.0,137.0,1.03,,,,,,,,,,,,,,,
,,2016 - 2017,22.0,16.0,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Nalanda,2000 - 2001,90.0,99.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,49.0,43.0,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,54.0,37.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,55.0,37.0,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,51.0,34.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,56.0,50.0,0.89,,,,,,,,,,,,,,,
,,2006 - 2007,54.0,47.0,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,58.0,35.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,63.0,51.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,28.0,23.0,0.82,,,,,,,,,,,,,,,
,,2010 - 2011,16.0,16.0,1.0,,,,,,,,,,,,,,,
,,2011 - 2012,14.0,17.0,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,28.0,33.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,2.0,3.0,1.5,,,,,,,,,,,,,,,
,,2015 - 2016,7.0,10.0,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,5.0,4.0,0.8,,,,,,,,,,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,6.0,5.0,0.83,,,,,,,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Nawada,2000 - 2001,407.0,447.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,308.0,270.0,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,367.0,252.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,259.0,175.0,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,255.0,172.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,352.0,317.0,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,376.0,329.0,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,298.0,180.0,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,254.0,207.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,202.0,162.0,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,227.0,223.0,0.98,,,,,,,,,,,,,,,
,,2011 - 2012,262.0,318.0,1.21,,,,,,,,,,,,,,,
,,2012 - 2013,295.0,348.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,184.0,187.0,1.02,,,,,,,,,,,,,,,
,,2014 - 2015,200.0,295.0,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,153.0,219.0,1.43,,,,,,,,,,,,,,,
,,2016 - 2017,131.0,95.0,0.73,,,,,,,,,,,,,,,
,,2017 - 2018,90.0,89.0,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,108.0,116.0,1.07,,,,,,,,,,,,,,,
,,2019 - 2020,122.0,97.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,140.0,131.0,0.94,,,,,,,,,,,,,,,
,,2021 - 2022,140.0,137.0,0.98,,,,,,,,,,,,,,,
,,2022 - 2023,119.0,119.0,1.0,,,,,,,,,,,,,,,
,Pashchim champaran,2000 - 2001,30.0,27.0,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,12.0,11.0,0.92,,,,,,,,,,,,,,,
,,2002 - 2003,32.0,26.0,0.81,,,,,,,,,,,,,,,
,,2003 - 2004,33.0,24.0,0.73,,,,,,,,,,,,,,,
,,2004 - 2005,35.0,10.0,0.29,,,,,,,,,,,,,,,
,,2005 - 2006,40.0,16.0,0.4,,,,,,,,,,,,,,,
,,2006 - 2007,39.0,34.0,0.87,,,,,,,,,,,,,,,
,,2007 - 2008,39.0,24.0,0.62,,,,,,,,,,,,,,,
,,2008 - 2009,32.0,26.0,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,17.0,12.0,0.71,,,,,,,,,,,,,,,
,,2010 - 2011,9.0,14.0,1.56,,,,,,,,,,,,,,,
,,2011 - 2012,9.0,16.0,1.78,,,,,,,,,,,,,,,
,,2012 - 2013,8.0,15.0,1.88,,,,,,,,,,,,,,,
,,2013 - 2014,7.0,7.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,7.0,9.0,1.29,,,,,,,,,,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,,,,,,,,,,
,,2017 - 2018,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Patna,2000 - 2001,103.0,113.0,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,22.0,19.0,0.86,,,,,,,,,,,,,,,
,,2002 - 2003,29.0,20.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,17.0,11.0,0.65,,,,,,,,,,,,,,,
,,2004 - 2005,5.0,3.0,0.6,,,,,,,,,,,,,,,
,,2012 - 2013,72.0,85.0,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,3.0,3.0,1.0,,,,,,,,,,,,,,,
,,2014 - 2015,25.0,37.0,1.48,,,,,,,,,,,,,,,
,,2015 - 2016,25.0,36.0,1.44,,,,,,,,,,,,,,,
,,2016 - 2017,18.0,13.0,0.72,,,,,,,,,,,,,,,
,,2018 - 2019,4.0,4.0,1.0,,,,,,,,,,,,,,,
,,2019 - 2020,15.0,12.0,0.8,,,,,,,,,,,,,,,
,Purbi champaran,2000 - 2001,144.0,129.0,0.9,,,,,,,,,,,,,,,
,,2001 - 2002,248.0,232.0,0.94,,,,,,,,,,,,,,,
,,2002 - 2003,296.0,236.0,0.8,,,,,,,,,,,,,,,
,,2003 - 2004,23.0,17.0,0.74,,,,,,,,,,,,,,,
,,2004 - 2005,15.0,4.0,0.27,,,,,,,,,,,,,,,
,,2005 - 2006,16.0,6.0,0.38,,,,,,,,,,,,,,,
,,2006 - 2007,18.0,16.0,0.89,,,,,,,,,,,,,,,
,,2007 - 2008,31.0,19.0,0.61,,,,,,,,,,,,,,,
,,2008 - 2009,29.0,24.0,0.83,,,,,,,,,,,,,,,
,,2009 - 2010,36.0,25.0,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,31.0,48.0,1.55,,,,,,,,,,,,,,,
,,2011 - 2012,18.0,31.0,1.72,,,,,,,,,,,,,,,
,,2012 - 2013,13.0,25.0,1.92,,,,,,,,,,,,,,,
,Purnia,2000 - 2001,175.0,454.0,2.59,,,,,,,,,,,,,,,
,,2001 - 2002,99.0,74.0,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,31.0,26.0,0.84,,,,,,,,,,,,,,,
,,2003 - 2004,22.0,5.0,0.23,,,,,,,,,,,,,,,
,,2004 - 2005,100.0,86.0,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,36.0,28.0,0.78,,,,,,,,,,,,,,,
,,2006 - 2007,53.0,32.0,0.6,,,,,,,,,,,,,,,
,Rohtas,2000 - 2001,65.0,71.0,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,4.0,4.0,1.0,,,,,,,,,,,,,,,
,,2002 - 2003,67.0,46.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,75.0,51.0,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,49.0,33.0,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,74.0,67.0,0.91,,,,,,,,,,,,,,,
,,2006 - 2007,66.0,58.0,0.88,,,,,,,,,,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,,,,,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,,,,,,,,,,
,Saharsa,2000 - 2001,,,0.82,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.93,,,,,,,,,,,,,,,
,,2002 - 2003,,889.0,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,,973.0,0.97,,,,,,,,,,,,,,,
,,2004 - 2005,,833.0,0.74,,,,,,,,,,,,,,,
,,2005 - 2006,,,1.4,,,,,,,,,,,,,,,
,,2006 - 2007,,993.0,0.83,,,,,,,,,,,,,,,
,,2007 - 2008,990.0,760.0,0.77,,,,,,,,,,,,,,,
,,2008 - 2009,729.0,499.0,0.68,,,,,,,,,,,,,,,
,,2009 - 2010,882.0,,1.16,,,,,,,,,,,,,,,
,,2010 - 2011,874.0,852.0,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,546.0,443.0,0.81,,,,,,,,,,,,,,,
,,2012 - 2013,735.0,526.0,0.72,,,,,,,,,,,,,,,
,,2013 - 2014,560.0,455.0,0.81,,,,,,,,,,,,,,,
,,2014 - 2015,253.0,501.0,1.98,,,,,,,,,,,,,,,
,,2015 - 2016,466.0,595.0,1.28,,,,,,,,,,,,,,,
,,2016 - 2017,468.0,672.0,1.44,,,,,,,,,,,,,,,
,,2017 - 2018,447.0,420.0,0.94,,,,,,,,,,,,,,,
,,2018 - 2019,430.0,436.0,1.01,,,,,,,,,,,,,,,
,,2019 - 2020,423.0,338.0,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,365.0,281.0,0.77,,,,,,,,,,,,,,,
,,2021 - 2022,353.0,225.0,0.64,,,,,,,,,,,,,,,
,,2022 - 2023,279.0,235.0,0.84,,,,,,,,,,,,,,,
,Samastipur,2000 - 2001,129.0,144.0,1.12,,,,,,,,,,,,,,,
,,2008 - 2009,20.0,15.0,0.75,,,,,,,,,,,,,,,
,,2009 - 2010,158.0,140.0,0.89,,,,,,,,,,,,,,,
,,2010 - 2011,17.0,15.0,0.88,,,,,,,,,,,,,,,
,,2013 - 2014,9.0,11.0,1.22,,,,,,,,,,,,,,,
,,2014 - 2015,115.0,115.0,1.0,,,,,,,,,,,,,,,
,,2015 - 2016,111.0,245.0,2.21,,,,,,,,,,,,,,,
,,2016 - 2017,87.0,59.0,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,1.0,2.0,2.0,,,,,,,,,,,,,,,
,,2018 - 2019,2.0,3.0,1.5,,,,,,,,,,,,,,,
,,2019 - 2020,136.0,125.0,0.92,,,,,,,,,,,,,,,
,,2020 - 2021,124.0,135.0,1.09,,,,,,,,,,,,,,,
,Saran,2000 - 2001,674.0,,2.16,,,,,,,,,,,,,,,
,,2001 - 2002,610.0,824.0,1.35,,,,,,,,,,,,,,,
,,2002 - 2003,831.0,642.0,0.77,,,,,,,,,,,,,,,
,,2003 - 2004,762.0,687.0,0.9,,,,,,,,,,,,,,,
,,2004 - 2005,575.0,554.0,0.96,,,,,,,,,,,,,,,
,,2005 - 2006,566.0,445.0,0.79,,,,,,,,,,,,,,,
,,2006 - 2007,634.0,470.0,0.74,,,,,,,,,,,,,,,
,,2007 - 2008,367.0,293.0,0.8,,,,,,,,,,,,,,,
,,2008 - 2009,262.0,87.0,0.33,,,,,,,,,,,,,,,
,,2009 - 2010,327.0,102.0,0.31,,,,,,,,,,,,,,,
,,2010 - 2011,244.0,210.0,0.86,,,,,,,,,,,,,,,
,,2011 - 2012,273.0,499.0,1.83,,,,,,,,,,,,,,,
,,2012 - 2013,201.0,245.0,1.22,,,,,,,,,,,,,,,
,,2013 - 2014,388.0,332.0,0.86,,,,,,,,,,,,,,,
