state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2022 - 2023,,,,80.0,29.0,0.36,,,,,,
,Bhilwara,2000 - 2001,232.0,8.0,0.03,,,,,,,,,
,,2001 - 2002,210.0,81.0,0.39,,,,,,,,,
,,2002 - 2003,322.0,9.0,0.03,,,,,,,,,
,,2003 - 2004,142.0,97.0,0.68,,,,,,,,,
,,2004 - 2005,163.0,70.0,0.43,,,,,,,,,
,,2005 - 2006,251.0,38.0,0.15,,,,,,,,,
,,2006 - 2007,121.0,121.0,1.0,,,,,,,,,
,,2007 - 2008,75.0,65.0,0.87,,,,,,,,,
,,2008 - 2009,58.0,95.0,1.64,,,,,,,,,
,,2009 - 2010,200.0,62.0,0.31,,,,,,,,,
,,2010 - 2011,47.0,40.0,0.85,,,,,,,,,
,,2011 - 2012,120.0,343.0,2.86,,,,,,,,,
,,2012 - 2013,94.0,101.0,1.07,,,,,,,,,
,,2013 - 2014,52.0,110.0,2.12,,,,,,,,,
,,2015 - 2016,,,,92.0,13.0,0.14,,,,,,
,,2016 - 2017,,,,108.0,97.0,0.9,,,,,,
,,2017 - 2018,,,,104.0,67.0,0.64,,,,,,
,,2018 - 2019,,,,36.0,39.0,1.08,,,,,,
,,2019 - 2020,,,,73.0,179.0,2.45,,,,,,
,,2020 - 2021,,,,90.0,39.0,0.43,,,,,,
,,2021 - 2022,,,,92.0,56.0,0.61,,,,,,
,,2022 - 2023,,,,129.0,28.0,0.22,,,,,,
,Bikaner,2011 - 2012,11.0,11.0,1.0,,,,,,,,,
,Bundi,2000 - 2001,17.0,8.0,0.47,,,,,,,,,
,,2001 - 2002,9.0,1.0,0.11,,,,,,,,,
,,2002 - 2003,20.0,43.0,2.15,,,,,,,,,
,,2003 - 2004,13.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,13.0,,0.0,,,,,,,,,
,,2005 - 2006,8.0,16.0,2.0,,,,,,,,,
,,2006 - 2007,8.0,8.0,1.0,,,,,,,,,
,,2007 - 2008,6.0,6.0,1.0,,,,,,,,,
,,2008 - 2009,4.0,4.0,1.0,,,,,,,,,
,,2009 - 2010,13.0,14.0,1.08,,,,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,2.0,4.0,2.0,,,,,,
,Chittorgarh,2000 - 2001,179.0,21.0,0.12,,,,,,,,,
,,2001 - 2002,133.0,133.0,1.0,,,,,,,,,
,,2002 - 2003,195.0,,0.0,,,,,,,,,
,,2003 - 2004,98.0,39.0,0.4,,,,,,,,,
,,2004 - 2005,95.0,16.0,0.17,,,,,,,,,
,,2005 - 2006,83.0,24.0,0.29,,,,,,,,,
,,2006 - 2007,42.0,21.0,0.5,,,,,,,,,
,,2007 - 2008,55.0,55.0,1.0,,,,,,,,,
,,2008 - 2009,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,179.0,87.0,0.49,,,,,,,,,
,,2010 - 2011,87.0,26.0,0.3,,,,,,,,,
,,2011 - 2012,30.0,12.0,0.4,,,,,,,,,
,,2012 - 2013,54.0,72.0,1.33,,,,,,,,,
,,2013 - 2014,11.0,11.0,1.0,,,,,,,,,
,,2015 - 2016,,,,26.0,32.0,1.23,,,,,,
,,2016 - 2017,,,,34.0,32.0,0.94,,,,,,
,,2017 - 2018,,,,1.0,,,,,,,,
,,2018 - 2019,,,,10.0,9.0,0.9,,,,,,
,,2019 - 2020,,,,38.0,76.0,2.0,,,,,,
,,2020 - 2021,,,,7.0,16.0,2.29,,,,,,
,,2021 - 2022,,,,30.0,56.0,1.87,,,,,,
,,2022 - 2023,,,,18.0,18.0,1.0,,,,,,
,Churu,2000 - 2001,1.0,,0.0,,,,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,,,,
,Dausa,2000 - 2001,48.0,29.0,0.6,,,,,,,,,
,,2001 - 2002,31.0,21.0,0.68,,,,,,,,,
,,2002 - 2003,6.0,,0.0,,,,,,,,,
,,2003 - 2004,42.0,19.0,0.45,,,,,,,,,
,,2004 - 2005,37.0,2.0,0.05,,,,,,,,,
,,2005 - 2006,19.0,28.0,1.47,,,,,,,,,
,,2006 - 2007,18.0,29.0,1.61,,,,,,,,,
,,2007 - 2008,13.0,13.0,1.0,,,,,,,,,
,,2008 - 2009,22.0,19.0,0.86,,,,,,,,,
,,2009 - 2010,23.0,12.0,0.52,,,,,,,,,
,,2010 - 2011,22.0,32.0,1.45,,,,,,,,,
,,2011 - 2012,9.0,6.0,0.67,,,,,,,,,
,,2012 - 2013,10.0,21.0,2.1,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,,,,,,,,,
,Dholpur,2000 - 2001,3.0,2.0,0.67,,,,,,,,,
,,2001 - 2002,3.0,,0.0,,,,,,,,,
,,2003 - 2004,9.0,2.0,0.22,,,,,,,,,
,,2004 - 2005,4.0,,0.0,,,,,,,,,
,,2005 - 2006,5.0,3.0,0.6,,,,,,,,,
,,2006 - 2007,10.0,16.0,1.6,,,,,,,,,
,,2007 - 2008,15.0,15.0,1.0,,,,,,,,,
,,2008 - 2009,9.0,9.0,1.0,,,,,,,,,
,,2009 - 2010,791.0,8.0,0.01,,,,,,,,,
,,2010 - 2011,3.0,3.0,1.0,,,,,,,,,
,,2011 - 2012,45.0,21.0,0.47,,,,,,,,,
,,2012 - 2013,25.0,12.0,0.48,,,,,,,,,
,,2013 - 2014,4.0,2.0,0.5,,,,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,
,,2017 - 2018,,,,11.0,11.0,1.0,,,,,,
,,2018 - 2019,,,,13.0,,0.0,,,,,,
,,2019 - 2020,,,,11.0,,0.0,,,,,,
,,2020 - 2021,,,,7.0,9.0,1.29,,,,,,
,,2021 - 2022,,,,1.0,2.0,2.0,,,,,,
,,2022 - 2023,,,,1.0,2.0,2.0,,,,,,
,Dungarpur,2000 - 2001,172.0,21.0,0.12,,,,,,,,,
,,2001 - 2002,210.0,58.0,0.28,,,,,,,,,
,,2002 - 2003,110.0,13.0,0.12,,,,,,,,,
,,2003 - 2004,119.0,143.0,1.2,,,,,,,,,
,,2004 - 2005,97.0,26.0,0.27,,,,,,,,,
,,2005 - 2006,103.0,31.0,0.3,,,,,,,,,
,,2006 - 2007,62.0,7.0,0.11,,,,,,,,,
,,2007 - 2008,69.0,83.0,1.2,,,,,,,,,
,,2008 - 2009,74.0,5.0,0.07,,,,,,,,,
,,2009 - 2010,48.0,6.0,0.13,,,,,,,,,
,,2010 - 2011,67.0,26.0,0.39,,,,,,,,,
,,2011 - 2012,73.0,20.0,0.27,,,,,,,,,
,,2012 - 2013,50.0,46.0,0.92,,,,,,,,,
,,2013 - 2014,56.0,24.0,0.43,,,,,,,,,
,,2015 - 2016,,,,18.0,11.0,0.61,,,,,,
,,2016 - 2017,,,,16.0,19.0,1.19,,,,,,
,,2017 - 2018,,,,10.0,4.0,0.4,,,,,,
,,2018 - 2019,,,,3.0,4.0,1.33,,,,,,
,Ganganagar,2000 - 2001,7.0,4.0,0.57,,,,,,,,,
,,2001 - 2002,4.0,1.0,0.25,,,,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,,,,
,,2004 - 2005,2.0,1.0,0.5,,,,,,,,,
,,2005 - 2006,2.0,,0.0,,,,,,,,,
,,2006 - 2007,6.0,,0.0,,,,,,,,,
,,2008 - 2009,2.0,,0.0,,,,,,,,,
,,2009 - 2010,6.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,,2011 - 2012,17.0,6.0,0.35,,,,,,,,,
,,2012 - 2013,8.0,,0.0,,,,,,,,,
,,2017 - 2018,,,,4.0,,0.0,,,,,,
,Hanumangarh,2000 - 2001,45.0,22.0,0.49,,,,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,,,,
,,2002 - 2003,3.0,,0.0,,,,,,,,,
,,2003 - 2004,4.0,6.0,1.5,,,,,,,,,
,,2004 - 2005,2.0,,0.0,,,,,,,,,
,,2005 - 2006,7.0,,0.0,,,,,,,,,
,,2006 - 2007,2.0,,0.0,,,,,,,,,
,,2008 - 2009,3.0,,0.0,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,,,,,,,,
,,2016 - 2017,,,,8.0,4.0,0.5,,,,,,
,,2020 - 2021,,,,2.0,0.0,0.0,,,,,,
,Jaipur,2000 - 2001,8.0,,0.0,,,,,,,,,
,,2001 - 2002,6.0,2.0,0.33,,,,,,,,,
,,2002 - 2003,25.0,,0.0,,,,,,,,,
,,2003 - 2004,6.0,1.0,0.17,,,,,,,,,
,,2004 - 2005,7.0,5.0,0.71,,,,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,,,,
,,2007 - 2008,3.0,3.0,1.0,,,,,,,,,
,,2008 - 2009,4.0,3.0,0.75,,,,,,,,,
,,2009 - 2010,2.0,,0.0,,,,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,,,,
,,2012 - 2013,5.0,,0.0,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,4.0,,0.0,,,,,,
,Jalore,2000 - 2001,3.0,,0.0,,,,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,,,,
,,2002 - 2003,3.0,,0.0,,,,,,,,,
,,2004 - 2005,7.0,2.0,0.29,,,,,,,,,
,,2005 - 2006,8.0,2.0,0.25,,,,,,,,,
,,2006 - 2007,4.0,,0.0,,,,,,,,,
,,2007 - 2008,6.0,3.0,0.5,,,,,,,,,
,,2008 - 2009,8.0,2.0,0.25,,,,,,,,,
,,2009 - 2010,7.0,2.0,0.29,,,,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,1.0,,0.0,,,,,,
,,2021 - 2022,,,,18.0,14.0,0.78,,,,,,
,Jhalawar,2000 - 2001,72.0,26.0,0.36,,,,,,,,,
,,2001 - 2002,64.0,322.0,5.03,,,,,,,,,
,,2002 - 2003,63.0,26.0,0.41,,,,,,,,,
,,2003 - 2004,29.0,13.0,0.45,,,,,,,,,
,,2004 - 2005,36.0,31.0,0.86,,,,,,,,,
,,2005 - 2006,43.0,44.0,1.02,,,,,,,,,
,,2006 - 2007,16.0,13.0,0.81,,,,,,,,,
,,2009 - 2010,6.0,,0.0,,,,,,,,,
,,2010 - 2011,6.0,,0.0,,,,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2017 - 2018,,,,1.0,,0.0,,,,,,
,,2019 - 2020,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,Jhunjhunu,2000 - 2001,5.0,1.0,0.2,,,,,,,,,
,,2001 - 2002,61.0,61.0,1.0,,,,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2003 - 2004,14.0,14.0,1.0,,,,,,,,,
,,2004 - 2005,2.0,,0.0,,,,,,,,,
,,2005 - 2006,22.0,,0.0,,,,,,,,,
,,2006 - 2007,1.0,1.0,1.0,,,,,,,,,
,,2007 - 2008,3.0,3.0,1.0,,,,,,,,,
,,2008 - 2009,3.0,1.0,0.33,,,,,,,,,
,,2009 - 2010,2.0,,0.0,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,3.0,3.0,1.0,,,,,,,,,
,Karauli,2000 - 2001,26.0,5.0,0.19,,,,,,,,,
,,2001 - 2002,23.0,3.0,0.13,,,,,,,,,
,,2002 - 2003,5.0,,0.0,,,,,,,,,
,,2003 - 2004,56.0,26.0,0.46,,,,,,,,,
,,2004 - 2005,7.0,,0.0,,,,,,,,,
,,2006 - 2007,7.0,7.0,1.0,,,,,,,,,
,,2007 - 2008,4.0,4.0,1.0,,,,,,,,,
,,2008 - 2009,25.0,15.0,0.6,,,,,,,,,
,,2009 - 2010,47.0,,0.0,,,,,,,,,
,,2010 - 2011,7.0,3.0,0.43,,,,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,,,,
,,2013 - 2014,20.0,11.0,0.55,,,,,,,,,
,,2015 - 2016,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,2.0,1.0,0.5,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,Kota,2000 - 2001,49.0,49.0,1.0,,,,,,,,,
,,2001 - 2002,50.0,50.0,1.0,,,,,,,,,
,,2002 - 2003,19.0,5.0,0.26,,,,,,,,,
,,2003 - 2004,2.0,0.0,0.0,,,,,,,,,
,,2004 - 2005,6.0,,0.0,,,,,,,,,
,,2005 - 2006,15.0,,0.0,,,,,,,,,
,,2006 - 2007,4.0,,0.0,,,,,,,,,
,,2007 - 2008,3.0,3.0,1.0,,,,,,,,,
,,2009 - 2010,5.0,,0.0,,,,,,,,,
,,2010 - 2011,2.0,,0.0,,,,,,,,,
,,2011 - 2012,2.0,,0.0,,,,,,,,,
,,2012 - 2013,9.0,5.0,0.56,,,,,,,,,
,,2013 - 2014,3.0,,0.0,,,,,,,,,
,,2016 - 2017,,,,25.0,,0.0,,,,,,
,,2017 - 2018,,,,2.0,,0.0,,,,,,
,,2022 - 2023,,,,4.0,1.0,0.25,,,,,,
,Pali,2000 - 2001,28.0,,0.0,,,,,,,,,
,,2001 - 2002,51.0,29.0,0.57,,,,,,,,,
,,2002 - 2003,58.0,,0.0,,,,,,,,,
,,2003 - 2004,55.0,28.0,0.51,,,,,,,,,
,,2004 - 2005,101.0,50.0,0.5,,,,,,,,,
,,2005 - 2006,38.0,8.0,0.21,,,,,,,,,
,,2006 - 2007,55.0,24.0,0.44,,,,,,,,,
,,2007 - 2008,54.0,32.0,0.59,,,,,,,,,
,,2008 - 2009,28.0,5.0,0.18,,,,,,,,,
,,2009 - 2010,10.0,,0.0,,,,,,,,,
,,2010 - 2011,31.0,12.0,0.39,,,,,,,,,
,,2011 - 2012,23.0,23.0,1.0,,,,,,,,,
,,2012 - 2013,29.0,24.0,0.83,,,,,,,,,
,,2013 - 2014,22.0,3.0,0.14,,,,,,,,,
,,2015 - 2016,,,,8.0,7.0,0.88,,,,,,
,,2016 - 2017,,,,8.0,8.0,1.0,,,,,,
,,2017 - 2018,,,,20.0,10.0,0.5,,,,,,
,,2018 - 2019,,,,8.0,8.0,1.0,,,,,,
,,2019 - 2020,,,,13.0,13.0,1.0,,,,,,
,,2020 - 2021,,,,14.0,5.0,0.36,,,,,,
,,2021 - 2022,,,,8.0,6.0,0.75,,,,,,
,,2022 - 2023,,,,3.0,3.0,1.0,,,,,,
,Pratapgarh,2008 - 2009,48.0,43.0,0.9,,,,,,,,,
,,2009 - 2010,39.0,19.0,0.49,,,,,,,,,
,,2010 - 2011,23.0,12.0,0.52,,,,,,,,,
,,2011 - 2012,22.0,5.0,0.23,,,,,,,,,
,,2012 - 2013,15.0,8.0,0.53,,,,,,,,,
,,2013 - 2014,15.0,25.0,1.67,,,,,,,,,
,,2015 - 2016,,,,5.0,,0.0,,,,,,
,,2018 - 2019,,,,21.0,17.0,0.81,,,,,,
,Rajsamand,2000 - 2001,88.0,1.0,0.01,,,,,,,,,
,,2001 - 2002,67.0,28.0,0.42,,,,,,,,,
,,2002 - 2003,214.0,,0.0,,,,,,,,,
,,2003 - 2004,64.0,25.0,0.39,,,,,,,,,
,,2004 - 2005,52.0,12.0,0.23,,,,,,,,,
,,2005 - 2006,31.0,15.0,0.48,,,,,,,,,
,,2006 - 2007,24.0,9.0,0.38,,,,,,,,,
,,2007 - 2008,25.0,10.0,0.4,,,,,,,,,
,,2008 - 2009,31.0,14.0,0.45,,,,,,,,,
,,2009 - 2010,14.0,3.0,0.21,,,,,,,,,
,,2010 - 2011,17.0,8.0,0.47,,,,,,,,,
,,2011 - 2012,5.0,2.0,0.4,,,,,,,,,
,,2012 - 2013,13.0,13.0,1.0,,,,,,,,,
,,2013 - 2014,11.0,22.0,2.0,,,,,,,,,
,,2015 - 2016,,,,8.0,2.0,0.25,,,,,,
,,2016 - 2017,,,,17.0,34.0,2.0,,,,,,
,,2017 - 2018,,,,11.0,22.0,2.0,,,,,,
,,2018 - 2019,,,,5.0,10.0,2.0,,,,,,
,,2019 - 2020,,,,12.0,24.0,2.0,,,,,,
,,2020 - 2021,,,,7.0,14.0,2.0,,,,,,
,,2021 - 2022,,,,5.0,10.0,2.0,,,,,,
,,2022 - 2023,,,,5.0,10.0,2.0,,,,,,
,Sawai madhopur,2000 - 2001,27.0,8.0,0.3,,,,,,,,,
,,2001 - 2002,31.0,14.0,0.45,,,,,,,,,
,,2002 - 2003,14.0,2.0,0.14,,,,,,,,,
,,2003 - 2004,7.0,4.0,0.57,,,,,,,,,
,,2004 - 2005,27.0,14.0,0.52,,,,,,,,,
,,2005 - 2006,42.0,11.0,0.26,,,,,,,,,
,,2006 - 2007,43.0,11.0,0.26,,,,,,,,,
,,2007 - 2008,24.0,6.0,0.25,,,,,,,,,
,,2008 - 2009,153.0,39.0,0.25,,,,,,,,,
,,2009 - 2010,29.0,7.0,0.24,,,,,,,,,
,,2010 - 2011,80.0,20.0,0.25,,,,,,,,,
,,2011 - 2012,112.0,67.0,0.6,,,,,,,,,
,,2012 - 2013,106.0,64.0,0.6,,,,,,,,,
,,2013 - 2014,222.0,133.0,0.6,,,,,,,,,
,,2015 - 2016,,,,186.0,112.0,0.6,,,,,,
,,2016 - 2017,,,,215.0,129.0,0.6,,,,,,
,,2017 - 2018,,,,153.0,92.0,0.6,,,,,,
,,2018 - 2019,,,,11.0,7.0,0.64,,,,,,
,,2019 - 2020,,,,27.0,16.0,0.59,,,,,,
,,2020 - 2021,,,,15.0,9.0,0.6,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Sikar,2000 - 2001,8.0,1.0,0.13,,,,,,,,,
,,2001 - 2002,4.0,,0.0,,,,,,,,,
,,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2003 - 2004,6.0,6.0,1.0,,,,,,,,,
,,2004 - 2005,5.0,1.0,0.2,,,,,,,,,
,,2005 - 2006,13.0,3.0,0.23,,,,,,,,,
,,2006 - 2007,14.0,5.0,0.36,,,,,,,,,
,,2007 - 2008,9.0,5.0,0.56,,,,,,,,,
,,2008 - 2009,5.0,3.0,0.6,,,,,,,,,
,,2009 - 2010,5.0,1.0,0.2,,,,,,,,,
,,2010 - 2011,2.0,,0.0,,,,,,,,,
,,2012 - 2013,2.0,2.0,1.0,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2015 - 2016,,,,2.0,,0.0,,,,,,
,Sirohi,2000 - 2001,7.0,8.0,1.14,,,,,,,,,
,,2001 - 2002,15.0,11.0,0.73,,,,,,,,,
,,2002 - 2003,6.0,,0.0,,,,,,,,,
,,2003 - 2004,5.0,20.0,4.0,,,,,,,,,
,,2004 - 2005,19.0,68.0,3.58,,,,,,,,,
,,2005 - 2006,7.0,28.0,4.0,,,,,,,,,
,,2006 - 2007,8.0,28.0,3.5,,,,,,,,,
,,2007 - 2008,6.0,2.0,0.33,,,,,,,,,
,,2008 - 2009,6.0,15.0,2.5,,,,,,,,,
,,2009 - 2010,30.0,65.0,2.17,,,,,,,,,
,,2010 - 2011,17.0,54.0,3.18,,,,,,,,,
,,2013 - 2014,4.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,11.0,0.0,0.0,,,,,,
,,2021 - 2022,,,,2.0,0.0,0.0,,,,,,
,Tonk,2000 - 2001,8.0,1.0,0.13,,,,,,,,,
,,2001 - 2002,7.0,2.0,0.29,,,,,,,,,
,,2002 - 2003,14.0,,0.0,,,,,,,,,
,,2003 - 2004,18.0,4.0,0.22,,,,,,,,,
,,2004 - 2005,7.0,2.0,0.29,,,,,,,,,
,,2005 - 2006,5.0,5.0,1.0,,,,,,,,,
,,2006 - 2007,8.0,,0.0,,,,,,,,,
,,2007 - 2008,4.0,1.0,0.25,,,,,,,,,
,,2009 - 2010,12.0,,0.0,,,,,,,,,
,,2010 - 2011,6.0,2.0,0.33,,,,,,,,,
,Udaipur,2000 - 2001,455.0,156.0,0.34,,,,,,,,,
,,2001 - 2002,520.0,278.0,0.53,,,,,,,,,
,,2002 - 2003,408.0,77.0,0.19,,,,,,,,,
,,2003 - 2004,281.0,307.0,1.09,,,,,,,,,
,,2004 - 2005,299.0,158.0,0.53,,,,,,,,,
,,2005 - 2006,305.0,190.0,0.62,,,,,,,,,
,,2006 - 2007,182.0,182.0,1.0,,,,,,,,,
,,2007 - 2008,160.0,143.0,0.89,,,,,,,,,
,,2008 - 2009,145.0,118.0,0.81,,,,,,,,,
,,2009 - 2010,129.0,73.0,0.57,,,,,,,,,
,,2010 - 2011,60.0,56.0,0.93,,,,,,,,,
,,2011 - 2012,93.0,58.0,0.62,,,,,,,,,
,,2012 - 2013,25.0,18.0,0.72,,,,,,,,,
,,2013 - 2014,56.0,11.0,0.2,,,,,,,,,
,,2015 - 2016,,,,20.0,2.0,0.1,,,,,,
,,2016 - 2017,,,,64.0,33.0,0.52,,,,,,
,,2017 - 2018,,,,23.0,109.0,4.74,,,,,,
,,2018 - 2019,,,,55.0,93.0,1.69,,,,,,
,,2019 - 2020,,,,54.0,63.0,1.17,,,,,,
,,2020 - 2021,,,,29.0,58.0,2.0,,,,,,
,,2021 - 2022,,,,13.0,26.0,2.0,,,,,,
,,2022 - 2023,,,,44.0,69.0,1.57,,,,,,
Tamil Nadu,Coimbatore,2000 - 2001,5.0,4.0,0.8,,,,,,,,,
,Cuddalore,2000 - 2001,44.0,32.0,0.73,,,,,,,,,
,Dharmapuri,2000 - 2001,369.0,269.0,0.73,,,,,,,,,
,Dindigul,2000 - 2001,615.0,448.0,0.73,,,,,,,,,
,,2005 - 2006,,,,2.0,,0.0,,,,,,
,Erode,2000 - 2001,810.0,590.0,0.73,,,,,,,,,
,Kanchipuram,2000 - 2001,10.0,7.0,0.7,,,,,,,,,
,Karur,2000 - 2001,6.0,4.0,0.67,,,,,,,,,
,Namakkal,2000 - 2001,656.0,478.0,0.73,,,,,,,,,
,Pudukkottai,2000 - 2001,57.0,42.0,0.74,,,,,,,,,
,Salem,2000 - 2001,,,0.73,,,,,,,,,
,,2005 - 2006,,,,1.0,,0.0,,,,,,
,Thanjavur,2000 - 2001,207.0,151.0,0.73,,,,,,,,,
,Thiruvallur,2000 - 2001,33.0,24.0,0.73,,,,,,,,,
,Thiruvarur,2005 - 2006,,,,1.0,,0.0,,,,,,
,Tiruchirappalli,2000 - 2001,130.0,95.0,0.73,,,,,,,,,
,Tirunelveli,2000 - 2001,3.0,2.0,0.67,,,,,,,,,
,Vellore,2005 - 2006,,,,6.0,,0.0,,,,,,
,Villupuram,2000 - 2001,,,0.73,,,,,,,,,
,Virudhunagar,2000 - 2001,,744.0,0.73,,,,,,,,,
Uttar Pradesh,Agra,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2004 - 2005,,,,32.0,9.0,0.28,,,,,,
,,2008 - 2009,,,,161.0,51.0,0.32,,,,,,
,,2009 - 2010,,,,108.0,20.0,0.19,,,,,,
,,2013 - 2014,,,,3.0,1.0,0.33,,,,,,
,,2014 - 2015,,,,10.0,4.0,0.4,,,,,,
,,2015 - 2016,,,,73.0,21.0,0.29,,,,,,
,,2016 - 2017,,,,6.0,1.0,0.17,,,,,,
,,2017 - 2018,,,,2.0,,0.0,,,,,,
,,2018 - 2019,,,,6.0,1.0,0.17,,,,,,
,,2019 - 2020,,,,3.0,1.0,0.33,,,,,,
,,2020 - 2021,,,,3.0,1.0,0.33,,,,,,
,,2021 - 2022,,,,5.0,3.0,0.6,,,,,,
,,2022 - 2023,,,,3.0,2.0,0.67,,,,,,
,Aligarh,2004 - 2005,,,,4.0,1.0,0.25,,,,,,
,,2006 - 2007,,,,4.0,1.0,0.25,,,,,,
,Allahabad,2003 - 2004,56.0,17.0,0.3,,,,,,,,,
,,2004 - 2005,,,,54.0,15.0,0.28,,,,,,
,,2005 - 2006,,,,72.0,25.0,0.35,,,,,,
,,2006 - 2007,,,,60.0,17.0,0.28,,,,,,
,,2007 - 2008,,,,44.0,9.0,0.2,,,,,,
,,2008 - 2009,,,,41.0,13.0,0.32,,,,,,
,,2009 - 2010,,,,36.0,6.0,0.17,,,,,,
,,2010 - 2011,,,,77.0,25.0,0.32,,,,,,
,,2011 - 2012,,,,42.0,12.0,0.29,,,,,,
,,2012 - 2013,,,,25.0,9.0,0.36,,,,,,
,,2013 - 2014,,,,32.0,9.0,0.28,,,,,,
,,2014 - 2015,,,,26.0,10.0,0.38,,,,,,
,,2015 - 2016,,,,29.0,8.0,0.28,,,,,,
,,2017 - 2018,,,,27.0,5.0,0.19,,,,,,
,,2018 - 2019,,,,20.0,4.0,0.2,,,,,,
,,2019 - 2020,,,,20.0,6.0,0.3,,,,,,
,,2020 - 2021,,,,25.0,7.0,0.28,,,,,,
,,2021 - 2022,,,,32.0,19.0,0.59,,,,,,
,,2022 - 2023,,,,25.0,15.0,0.6,,,,,,
,Amroha,2003 - 2004,6.0,2.0,0.33,,,,,,,,,
,Auraiya,2007 - 2008,,,,10.0,2.0,0.2,,,,,,
,,2008 - 2009,,,,5.0,2.0,0.4,,,,,,
,,2009 - 2010,,,,2.0,,0.0,,,,,,
,,2010 - 2011,,,,1.0,,0.0,,,,,,
,,2011 - 2012,,,,5.0,1.0,0.2,,,,,,
,Azamgarh,2002 - 2003,64.0,20.0,0.31,,,,,,,,,
,,2003 - 2004,85.0,26.0,0.31,,,,,,,,,
,,2004 - 2005,,,,62.0,17.0,0.27,,,,,,
,,2005 - 2006,,,,97.0,33.0,0.34,,,,,,
,,2006 - 2007,,,,83.0,23.0,0.28,,,,,,
,,2007 - 2008,,,,37.0,7.0,0.19,,,,,,
,,2008 - 2009,,,,41.0,13.0,0.32,,,,,,
,,2009 - 2010,,,,14.0,3.0,0.21,,,,,,
,,2010 - 2011,,,,43.0,14.0,0.33,,,,,,
,,2011 - 2012,,,,39.0,11.0,0.28,,,,,,
,,2012 - 2013,,,,36.0,13.0,0.36,,,,,,
,,2013 - 2014,,,,43.0,12.0,0.28,,,,,,
,,2014 - 2015,,,,26.0,10.0,0.38,,,,,,
,,2015 - 2016,,,,30.0,9.0,0.3,,,,,,
,,2016 - 2017,,,,58.0,14.0,0.24,,,,,,
,,2017 - 2018,,,,33.0,6.0,0.18,,,,,,
,,2018 - 2019,,,,57.0,11.0,0.19,,,,,,
,,2019 - 2020,,,,34.0,10.0,0.29,,,,,,
,,2020 - 2021,,,,42.0,11.0,0.26,,,,,,
,,2021 - 2022,,,,40.0,23.0,0.58,,,,,,
,,2022 - 2023,,,,41.0,24.0,0.59,,,,,,
,Baghpat,2002 - 2003,42.0,13.0,0.31,,,,,,,,,
,Bahraich,2002 - 2003,7.0,2.0,0.29,,,,,,,,,
,,2006 - 2007,,,,3.0,1.0,0.33,,,,,,
,,2007 - 2008,,,,10.0,2.0,0.2,,,,,,
,,2008 - 2009,,,,17.0,5.0,0.29,,,,,,
