state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2003 - 2004,17.0,12.0,0.71,,,,,,
,,2004 - 2005,12.0,8.0,0.67,,,,,,
,,2005 - 2006,33.0,26.0,0.79,,,,,,
,,2016 - 2017,27.0,25.0,0.93,,,,,,
,,2017 - 2018,21.0,19.0,0.9,,,,,,
,,2018 - 2019,24.0,22.0,0.92,,,,,,
,,2019 - 2020,25.0,23.0,0.92,,,,,,
,,2020 - 2021,25.0,23.0,0.92,,,,,,
,,2021 - 2022,24.0,22.0,0.92,,,,,,
,,2022 - 2023,23.0,21.0,0.91,,,,,,
,Sitamarhi,2000 - 2001,41.0,17.0,0.41,,,,,,
,,2001 - 2002,25.0,15.0,0.6,,,,,,
,,2002 - 2003,25.0,16.0,0.64,,,,,,
,,2003 - 2004,46.0,32.0,0.7,,,,,,
,,2004 - 2005,34.0,22.0,0.65,,,,,,
,,2005 - 2006,45.0,35.0,0.78,,,,,,
,,2007 - 2008,34.0,24.0,0.71,,,,,,
,,2016 - 2017,64.0,58.0,0.91,,,,,,
,,2017 - 2018,56.0,51.0,0.91,,,,,,
,,2018 - 2019,52.0,47.0,0.9,,,,,,
,,2019 - 2020,52.0,47.0,0.9,,,,,,
,,2020 - 2021,52.0,47.0,0.9,,,,,,
,,2021 - 2022,50.0,45.0,0.9,,,,,,
,,2022 - 2023,51.0,46.0,0.9,,,,,,
,Siwan,2003 - 2004,1.0,1.0,1.0,,,,,,
,,2004 - 2005,6.0,4.0,0.67,,,,,,
,,2005 - 2006,17.0,13.0,0.76,,,,,,
,,2016 - 2017,11.0,9.0,0.82,,,,,,
,,2017 - 2018,11.0,9.0,0.82,,,,,,
,,2018 - 2019,11.0,9.0,0.82,,,,,,
,,2019 - 2020,11.0,9.0,0.82,,,,,,
,,2020 - 2021,11.0,9.0,0.82,,,,,,
,,2021 - 2022,11.0,10.0,0.91,,,,,,
,,2022 - 2023,11.0,10.0,0.91,,,,,,
,Supaul,2000 - 2001,217.0,134.0,0.62,,,,,,
,,2001 - 2002,134.0,78.0,0.58,,,,,,
,,2002 - 2003,124.0,81.0,0.65,,,,,,
,,2003 - 2004,74.0,51.0,0.69,,,,,,
,,2004 - 2005,77.0,50.0,0.65,,,,,,
,,2005 - 2006,102.0,88.0,0.86,,,,,,
,,2007 - 2008,119.0,91.0,0.76,,,,,,
,,2016 - 2017,157.0,144.0,0.92,,,,,,
,,2017 - 2018,82.0,75.0,0.91,,,,,,
,,2018 - 2019,80.0,73.0,0.91,,,,,,
,,2019 - 2020,79.0,72.0,0.91,,,,,,
,,2020 - 2021,79.0,72.0,0.91,,,,,,
,,2021 - 2022,76.0,70.0,0.92,,,,,,
,,2022 - 2023,79.0,72.0,0.91,,,,,,
,Vaishali,2000 - 2001,255.0,104.0,0.41,,,,,,
,,2001 - 2002,187.0,108.0,0.58,,,,,,
,,2002 - 2003,170.0,111.0,0.65,,,,,,
,,2003 - 2004,179.0,124.0,0.69,,,,,,
,,2004 - 2005,177.0,116.0,0.66,,,,,,
,,2005 - 2006,166.0,130.0,0.78,,,,,,
,,2007 - 2008,208.0,154.0,0.74,,,,,,
,,2016 - 2017,12.0,11.0,0.92,,,,,,
,,2017 - 2018,9.0,8.0,0.89,,,,,,
,,2018 - 2019,8.0,7.0,0.88,,,,,,
,,2019 - 2020,7.0,6.0,0.86,,,,,,
,,2020 - 2021,7.0,6.0,0.86,,,,,,
,,2021 - 2022,8.0,7.0,0.88,,,,,,
,,2022 - 2023,9.0,8.0,0.89,,,,,,
Chhattisgarh,Balod,2011 - 2012,284.0,78.0,0.27,,,,,,
,,2012 - 2013,233.0,62.0,0.27,,,,,,
,,2013 - 2014,249.0,66.0,0.27,,,,,,
,,2014 - 2015,306.0,83.0,0.27,,,,,,
,,2015 - 2016,125.0,28.0,0.22,,,,,,
,,2016 - 2017,169.0,38.0,0.22,,,,,,
,,2017 - 2018,93.0,31.0,0.33,,,,,,
,,2018 - 2019,82.0,26.0,0.32,,,,,,
,,2019 - 2020,115.0,32.0,0.28,,,,,,
,,2020 - 2021,85.0,11.0,0.13,,,,,,
,,2021 - 2022,104.0,28.0,0.27,,,,,,
,,2022 - 2023,118.0,32.0,0.27,,,,,,
,Baloda bazar,2011 - 2012,128.0,61.0,0.48,,,,,,
,,2012 - 2013,122.0,54.0,0.44,,,,,,
,,2013 - 2014,105.0,50.0,0.48,,,,,,
,,2014 - 2015,116.0,55.0,0.47,,,,,,
,,2015 - 2016,125.0,46.0,0.37,,,,,,
,,2016 - 2017,86.0,33.0,0.38,,,,,,
,,2017 - 2018,41.0,14.0,0.34,,,,,,
,,2018 - 2019,11.0,4.0,0.36,,,,,,
,,2019 - 2020,94.0,33.0,0.35,,,,,,
,,2020 - 2021,176.0,65.0,0.37,,,,,,
,,2021 - 2022,30.0,12.0,0.4,,,,,,
,,2022 - 2023,13.0,5.0,0.38,,,,,,
,Balrampur,2011 - 2012,292.0,53.0,0.18,,,,,,
,,2012 - 2013,216.0,47.0,0.22,,,,,,
,,2013 - 2014,122.0,23.0,0.19,,,,17.0,9.0,0.53
,,2014 - 2015,95.0,19.0,0.2,,,,,,
,,2015 - 2016,329.0,72.0,0.22,,,,,,
,,2016 - 2017,252.0,50.0,0.2,,,,,,
,,2017 - 2018,264.0,55.0,0.21,,,,,,
,,2018 - 2019,373.0,75.0,0.2,,,,,,
,,2019 - 2020,220.0,41.0,0.19,,,,,,
,,2020 - 2021,158.0,34.0,0.22,,,,,,
,,2021 - 2022,61.0,12.0,0.2,,,,,,
,,2022 - 2023,8.0,2.0,0.25,,,,,,
,Bastar,2000 - 2001,31.0,8.0,0.26,,,,,,
,,2001 - 2002,41.0,11.0,0.27,,,,,,
,,2002 - 2003,25.0,6.0,0.24,,,,,,
,,2003 - 2004,26.0,6.0,0.23,,,,,,
,,2004 - 2005,34.0,8.0,0.24,,,,,,
,,2005 - 2006,37.0,10.0,0.27,,,,,,
,,2006 - 2007,53.0,13.0,0.25,,,,,,
,,2007 - 2008,57.0,15.0,0.26,,,,,,
,,2008 - 2009,68.0,18.0,0.26,,,,,,
,,2009 - 2010,43.0,9.0,0.21,,,,,,
,,2010 - 2011,73.0,20.0,0.27,,,,,,
,,2011 - 2012,19.0,5.0,0.26,,,,,,
,,2012 - 2013,12.0,3.0,0.25,,,,,,
,,2013 - 2014,12.0,3.0,0.25,,,,,,
,,2014 - 2015,11.0,3.0,0.27,,,,,,
,,2015 - 2016,14.0,4.0,0.29,,,,,,
,,2016 - 2017,9.0,3.0,0.33,,,,,,
,,2017 - 2018,7.0,1.0,0.14,,,,,,
,,2018 - 2019,7.0,2.0,0.29,,,,,,
,,2019 - 2020,5.0,1.0,0.2,,,,,,
,,2020 - 2021,5.0,1.0,0.2,,,,,,
,,2021 - 2022,7.0,2.0,0.29,,,,,,
,,2022 - 2023,7.0,2.0,0.29,,,,,,
,Bemetara,2011 - 2012,421.0,116.0,0.28,,,,,,
,,2012 - 2013,137.0,36.0,0.26,,,,,,
,,2013 - 2014,278.0,68.0,0.24,,,,,,
,,2014 - 2015,124.0,31.0,0.25,,,,,,
,,2015 - 2016,28.0,7.0,0.25,,,,,,
,,2016 - 2017,177.0,49.0,0.28,,,,,,
,,2017 - 2018,158.0,44.0,0.28,,,,,,
,,2018 - 2019,101.0,30.0,0.3,,,,,,
,,2019 - 2020,60.0,16.0,0.27,,,,,,
,,2020 - 2021,202.0,60.0,0.3,,,,,,
,,2021 - 2022,520.0,167.0,0.32,,,,,,
,,2022 - 2023,638.0,204.0,0.32,,,,,,
,Bijapur,2006 - 2007,10.0,,0.0,,,,,,
,,2007 - 2008,6.0,2.0,0.33,,,,,,
,,2009 - 2010,2.0,,0.0,,,,,,
,,2012 - 2013,2.0,1.0,0.5,,,,,,
,,2014 - 2015,1.0,,0.0,,,,,,
,,2015 - 2016,1.0,,0.0,,,,,,
,,2016 - 2017,1.0,,0.0,,,,,,
,,2017 - 2018,1.0,,0.0,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,
,Bilaspur,2000 - 2001,621.0,156.0,0.25,,,,,,
,,2001 - 2002,607.0,154.0,0.25,,,,,,
,,2002 - 2003,549.0,137.0,0.25,,,,,,
,,2003 - 2004,615.0,153.0,0.25,,,,,,
,,2004 - 2005,657.0,170.0,0.26,,,,,,
,,2005 - 2006,580.0,150.0,0.26,,,,,,
,,2006 - 2007,505.0,131.0,0.26,,,,,,
,,2007 - 2008,566.0,144.0,0.25,,,,,,
,,2008 - 2009,450.0,120.0,0.27,,,,,,
,,2009 - 2010,484.0,129.0,0.27,,,,,,
,,2010 - 2011,410.0,108.0,0.26,,,,,,
,,2011 - 2012,240.0,65.0,0.27,,,,,,
,,2012 - 2013,243.0,66.0,0.27,,,,,,
,,2013 - 2014,236.0,66.0,0.28,,,,,,
,,2014 - 2015,11.0,3.0,0.27,,,,,,
,,2015 - 2016,11.0,3.0,0.27,,,,,,
,,2016 - 2017,27.0,7.0,0.26,,,,,,
,,2017 - 2018,11.0,3.0,0.27,,,,,,
,,2018 - 2019,32.0,9.0,0.28,,,,,,
,,2019 - 2020,105.0,28.0,0.27,,,,,,
,,2020 - 2021,9.0,2.0,0.22,,,,,,
,,2021 - 2022,64.0,17.0,0.27,,,,,,
,,2022 - 2023,42.0,11.0,0.26,,,,,,
,Dantewada,2000 - 2001,8.0,2.0,0.25,,,,,,
,,2001 - 2002,13.0,3.0,0.23,,,,,,
,,2003 - 2004,8.0,1.0,0.13,,,,,,
,,2004 - 2005,8.0,1.0,0.13,,,,,,
,,2005 - 2006,15.0,3.0,0.2,,,,,,
,,2006 - 2007,10.0,5.0,0.5,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,
,,2008 - 2009,6.0,18.0,3.0,,,,,,
,,2009 - 2010,8.0,,0.0,,,,,,
,,2010 - 2011,8.0,1.0,0.13,,,,,,
,,2011 - 2012,6.0,2.0,0.33,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,,,,
,,2013 - 2014,3.0,1.0,0.33,,,,,,
,,2014 - 2015,5.0,1.0,0.2,,,,,,
,,2015 - 2016,2.0,,0.0,,,,,,
,,2016 - 2017,11.0,3.0,0.27,,,,,,
,,2017 - 2018,2.0,1.0,0.5,,,,,,
,,2018 - 2019,3.0,1.0,0.33,,,,,,
,,2019 - 2020,6.0,2.0,0.33,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,
,Dhamtari,2000 - 2001,141.0,52.0,0.37,,,,,,
,,2001 - 2002,147.0,61.0,0.41,,,,,,
,,2002 - 2003,184.0,62.0,0.34,,,,,,
,,2003 - 2004,411.0,166.0,0.4,,,,,,
,,2004 - 2005,301.0,122.0,0.41,,,,,,
,,2005 - 2006,323.0,130.0,0.4,,,,,,
,,2006 - 2007,331.0,134.0,0.4,,,,,,
,,2007 - 2008,255.0,103.0,0.4,,,,,,
,,2008 - 2009,226.0,92.0,0.41,,,,,,
,,2009 - 2010,354.0,143.0,0.4,,,,,,
,,2010 - 2011,226.0,92.0,0.41,,,,,,
,,2011 - 2012,459.0,186.0,0.41,,,,,,
,,2012 - 2013,224.0,91.0,0.41,,,,,,
,,2013 - 2014,182.0,74.0,0.41,,,,,,
,,2014 - 2015,184.0,74.0,0.4,,,,,,
,,2015 - 2016,204.0,83.0,0.41,,,,,,
,,2016 - 2017,179.0,73.0,0.41,,,,,,
,,2017 - 2018,86.0,35.0,0.41,,,,,,
,,2018 - 2019,59.0,25.0,0.42,,,,,,
,,2019 - 2020,39.0,17.0,0.44,,,,,,
,,2020 - 2021,68.0,29.0,0.43,,,,,,
,,2021 - 2022,36.0,15.0,0.42,,,,,,
,,2022 - 2023,36.0,18.0,0.5,,,,,,
,Durg,2000 - 2001,,311.0,0.24,,,,,,
,,2001 - 2002,,347.0,0.24,,,,,,
,,2002 - 2003,,369.0,0.26,,,,,,
,,2003 - 2004,,397.0,0.31,,,,,,
,,2004 - 2005,,279.0,0.2,,,,,,
,,2005 - 2006,,331.0,0.28,,,,,,
,,2006 - 2007,936.0,253.0,0.27,,,,,,
,,2007 - 2008,904.0,249.0,0.28,,,,,,
,,2008 - 2009,742.0,204.0,0.27,,,,,,
,,2009 - 2010,627.0,178.0,0.28,,,,,,
,,2010 - 2011,613.0,179.0,0.29,,,,,,
,,2011 - 2012,71.0,20.0,0.28,,,,,,
,,2012 - 2013,113.0,35.0,0.31,,,,,,
,,2013 - 2014,92.0,30.0,0.33,,,,,,
,,2014 - 2015,4.0,1.0,0.25,,,,,,
,,2015 - 2016,120.0,38.0,0.32,,,,,,
,,2016 - 2017,80.0,27.0,0.34,,,,,,
,,2017 - 2018,29.0,8.0,0.28,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,
,,2019 - 2020,40.0,8.0,0.2,,,,,,
,,2020 - 2021,70.0,16.0,0.23,,,,,,
,,2021 - 2022,71.0,18.0,0.25,,,,,,
,,2022 - 2023,63.0,17.0,0.27,,,,,,
,Gariyaband,2011 - 2012,54.0,26.0,0.48,,,,,,
,,2012 - 2013,58.0,25.0,0.43,,,,,,
,,2013 - 2014,74.0,34.0,0.46,,,,,,
,,2014 - 2015,62.0,25.0,0.4,,,,,,
,,2015 - 2016,69.0,30.0,0.43,,,,,,
,,2016 - 2017,85.0,46.0,0.54,,,,,,
,,2017 - 2018,35.0,13.0,0.37,,,,,,
,,2018 - 2019,43.0,17.0,0.4,,,,,,
,,2019 - 2020,21.0,13.0,0.62,,,,,,
,,2020 - 2021,9.0,5.0,0.56,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,
,,2022 - 2023,9.0,9.0,1.0,,,,,,
,Gaurella-pendra-marwahi,2019 - 2020,4.0,1.0,0.25,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,
,,2022 - 2023,16.0,5.0,0.31,,,,,,
,Janjgir-champa,2000 - 2001,48.0,11.0,0.23,,,,,,
,,2001 - 2002,31.0,7.0,0.23,,,,,,
,,2002 - 2003,100.0,27.0,0.27,,,,,,
,,2003 - 2004,75.0,20.0,0.27,,,,,,
,,2004 - 2005,110.0,28.0,0.25,,,,,,
,,2005 - 2006,58.0,15.0,0.26,,,,,,
,,2006 - 2007,11.0,3.0,0.27,,,,,,
,,2007 - 2008,13.0,3.0,0.23,,,,,,
,,2008 - 2009,16.0,4.0,0.25,,,,,,
,,2009 - 2010,10.0,3.0,0.3,,,,,,
,,2010 - 2011,72.0,22.0,0.31,,,,,,
,,2011 - 2012,35.0,10.0,0.29,,,,,,
,,2012 - 2013,38.0,11.0,0.29,,,,,,
,,2013 - 2014,38.0,12.0,0.32,,,,,,
,,2014 - 2015,40.0,11.0,0.28,,,,,,
,,2015 - 2016,139.0,44.0,0.32,,,,,,
,,2016 - 2017,23.0,7.0,0.3,,,,,,
,,2017 - 2018,12.0,4.0,0.33,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,
,,2020 - 2021,7.0,2.0,0.29,,,,,,
,,2021 - 2022,5.0,2.0,0.4,,,,,,
,,2022 - 2023,3.0,1.0,0.33,,,,,,
,Jashpur,2000 - 2001,33.0,7.0,0.21,,,,,,
,,2001 - 2002,24.0,5.0,0.21,,,,,,
,,2002 - 2003,25.0,5.0,0.2,,,,,,
,,2003 - 2004,27.0,6.0,0.22,,,,,,
,,2004 - 2005,29.0,6.0,0.21,,,,,,
,,2005 - 2006,28.0,6.0,0.21,,,,,,
,,2006 - 2007,35.0,8.0,0.23,,,,,,
,,2007 - 2008,28.0,6.0,0.21,,,,,,
,,2008 - 2009,29.0,6.0,0.21,,,,,,
,,2009 - 2010,37.0,8.0,0.22,,,,,,
,,2010 - 2011,39.0,8.0,0.21,,,,,,
,,2011 - 2012,39.0,7.0,0.18,,,,,,
,,2012 - 2013,38.0,7.0,0.18,,,,,,
,,2013 - 2014,33.0,8.0,0.24,,,,,,
,,2014 - 2015,44.0,9.0,0.2,,,,,,
,,2015 - 2016,40.0,6.0,0.15,,,,,,
,,2016 - 2017,40.0,9.0,0.23,,,,,,
,,2017 - 2018,39.0,9.0,0.23,,,,,,
,,2018 - 2019,38.0,9.0,0.24,,,,,,
,,2019 - 2020,48.0,10.0,0.21,,,,,,
,,2020 - 2021,50.0,11.0,0.22,,,,,,
,,2021 - 2022,46.0,10.0,0.22,,,,,,
,,2022 - 2023,46.0,10.0,0.22,,,,,,
,Kabirdham,2000 - 2001,79.0,9.0,0.11,,,,,,
,,2001 - 2002,78.0,18.0,0.23,,,,,,
,,2002 - 2003,104.0,21.0,0.2,,,,,,
,,2003 - 2004,95.0,24.0,0.25,,,,,,
,,2004 - 2005,123.0,25.0,0.2,,,,,,
,,2005 - 2006,123.0,26.0,0.21,,,,,,
,,2006 - 2007,115.0,24.0,0.21,,,,,,
,,2007 - 2008,111.0,27.0,0.24,,,,,,
,,2008 - 2009,109.0,22.0,0.2,,,,,,
,,2009 - 2010,80.0,17.0,0.21,,,,,,
,,2010 - 2011,88.0,22.0,0.25,,,,,,
,,2011 - 2012,70.0,18.0,0.26,,,,,,
,,2012 - 2013,59.0,14.0,0.24,,,,,,
,,2013 - 2014,91.0,22.0,0.24,,,,,,
,,2014 - 2015,108.0,29.0,0.27,,,,,,
,,2015 - 2016,76.0,23.0,0.3,,,,,,
,,2016 - 2017,34.0,8.0,0.24,,,,,,
,,2018 - 2019,19.0,6.0,0.32,,,,,,
,,2019 - 2020,16.0,5.0,0.31,,,,,,
,,2020 - 2021,15.0,5.0,0.33,,,,,,
,,2021 - 2022,15.0,4.0,0.27,,,,,,
,,2022 - 2023,17.0,5.0,0.29,,,,,,
,Kanker,2000 - 2001,44.0,9.0,0.2,,,,,,
,,2001 - 2002,49.0,16.0,0.33,,,,,,
,,2002 - 2003,60.0,10.0,0.17,,,,,,
,,2003 - 2004,81.0,23.0,0.28,,,,,,
,,2004 - 2005,111.0,29.0,0.26,,,,,,
,,2005 - 2006,86.0,21.0,0.24,,,,,,
,,2006 - 2007,76.0,19.0,0.25,,,,,,
,,2007 - 2008,54.0,14.0,0.26,,,,,,
,,2008 - 2009,54.0,11.0,0.2,,,,,,
,,2009 - 2010,54.0,12.0,0.22,,,,,,
,,2010 - 2011,94.0,27.0,0.29,,,,,,
,,2011 - 2012,125.0,30.0,0.24,,,,,,
,,2012 - 2013,115.0,26.0,0.23,,,,,,
,,2013 - 2014,12.0,2.0,0.17,,,,,,
,,2014 - 2015,139.0,22.0,0.16,,,,,,
,,2015 - 2016,151.0,31.0,0.21,,,,,,
,,2016 - 2017,138.0,30.0,0.22,,,,,,
,,2017 - 2018,114.0,32.0,0.28,,,,,,
,,2018 - 2019,77.0,17.0,0.22,,,,,,
,,2019 - 2020,40.0,9.0,0.23,,,,,,
,,2020 - 2021,30.0,10.0,0.33,,,,,,
,,2021 - 2022,14.0,4.0,0.29,,,,,,
,,2022 - 2023,11.0,3.0,0.27,,,,,,
,Khairgarh chhuikhadan gandai,2022 - 2023,4.0,1.0,0.25,,,,,,
,Kondagaon,2011 - 2012,25.0,6.0,0.24,,,,,,
,,2012 - 2013,21.0,5.0,0.24,,,,,,
,,2013 - 2014,23.0,6.0,0.26,,,,,,
,,2014 - 2015,28.0,6.0,0.21,,,,,,
,,2015 - 2016,33.0,7.0,0.21,,,,,,
,,2016 - 2017,23.0,6.0,0.26,,,,,,
,,2017 - 2018,12.0,2.0,0.17,,,,,,
,,2018 - 2019,16.0,4.0,0.25,,,,,,
,,2019 - 2020,7.0,2.0,0.29,,,,,,
,,2020 - 2021,5.0,1.0,0.2,,,,,,
,,2021 - 2022,14.0,5.0,0.36,,,,,,
,,2022 - 2023,15.0,4.0,0.27,,,,,,
,Korba,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2004 - 2005,8.0,2.0,0.25,,,,,,
,,2006 - 2007,18.0,5.0,0.28,,,,,,
,,2007 - 2008,8.0,2.0,0.25,,,,,,
,,2008 - 2009,9.0,2.0,0.22,,,,,,
,,2009 - 2010,37.0,9.0,0.24,,,,,,
,,2010 - 2011,9.0,3.0,0.33,,,,,,
,,2011 - 2012,31.0,7.0,0.23,,,,,,
,,2012 - 2013,31.0,8.0,0.26,,,,,,
,,2013 - 2014,31.0,8.0,0.26,,,,,,
,,2014 - 2015,15.0,4.0,0.27,,,,,,
,,2015 - 2016,12.0,3.0,0.25,,,,,,
,,2016 - 2017,9.0,3.0,0.33,,,,,,
,,2017 - 2018,14.0,3.0,0.21,,,,,,
,,2018 - 2019,38.0,10.0,0.26,,,,,,
,,2019 - 2020,16.0,4.0,0.25,,,,,,
,,2020 - 2021,14.0,4.0,0.29,,,,,,
,,2021 - 2022,7.0,2.0,0.29,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Korea,2000 - 2001,40.0,9.0,0.23,,,,,,
,,2001 - 2002,21.0,5.0,0.24,,,,,,
,,2002 - 2003,32.0,6.0,0.19,,,,,,
,,2003 - 2004,39.0,9.0,0.23,,,,,,
,,2004 - 2005,33.0,6.0,0.18,,,,,,
,,2005 - 2006,41.0,7.0,0.17,,,,,,
,,2006 - 2007,46.0,8.0,0.17,,,,,,
,,2007 - 2008,26.0,4.0,0.15,,,,,,
,,2008 - 2009,37.0,8.0,0.22,,,,,,
,,2009 - 2010,30.0,6.0,0.2,,,,,,
,,2010 - 2011,36.0,7.0,0.19,,,,,,
,,2011 - 2012,46.0,8.0,0.17,,,,,,
,,2012 - 2013,69.0,13.0,0.19,,,,,,
,,2013 - 2014,48.0,10.0,0.21,,,,,,
,,2014 - 2015,54.0,10.0,0.19,,,,,,
,,2015 - 2016,52.0,9.0,0.17,,,,,,
,,2016 - 2017,65.0,13.0,0.2,,,,,,
,,2017 - 2018,63.0,13.0,0.21,,,,,,
,,2018 - 2019,76.0,14.0,0.18,,,,,,
,,2019 - 2020,60.0,13.0,0.22,,,,,,
,,2020 - 2021,40.0,8.0,0.2,,,,,,
,,2021 - 2022,44.0,8.0,0.18,,,,,,
,,2022 - 2023,19.0,4.0,0.21,,,,,,
,Mahasamund,2000 - 2001,150.0,70.0,0.47,,,,,,
,,2001 - 2002,64.0,28.0,0.44,,,,,,
,,2002 - 2003,169.0,59.0,0.35,,,,,,
,,2003 - 2004,78.0,29.0,0.37,,,,,,
,,2004 - 2005,63.0,23.0,0.37,,,,,,
,,2005 - 2006,94.0,32.0,0.34,,,,,,
,,2006 - 2007,83.0,30.0,0.36,,,,,,
,,2007 - 2008,65.0,24.0,0.37,,,,,,
,,2008 - 2009,79.0,27.0,0.34,,,,,,
,,2009 - 2010,66.0,23.0,0.35,,,,,,
,,2010 - 2011,52.0,19.0,0.37,,,,,,
,,2011 - 2012,45.0,21.0,0.47,,,,,,
,,2012 - 2013,140.0,61.0,0.44,,,,,,
,,2013 - 2014,160.0,67.0,0.42,,,,,,
,,2014 - 2015,49.0,20.0,0.41,,,,,,
,,2015 - 2016,36.0,15.0,0.42,,,,,,
,,2016 - 2017,18.0,7.0,0.39,,,,,,
,,2017 - 2018,56.0,23.0,0.41,,,,,,
,,2018 - 2019,40.0,16.0,0.4,,,,,,
,,2019 - 2020,19.0,8.0,0.42,,,,,,
,,2020 - 2021,3.0,1.0,0.33,,,,,,
,,2021 - 2022,4.0,2.0,0.5,,,,,,
,,2022 - 2023,18.0,8.0,0.44,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,26.0,6.0,0.23,,,,,,
,Mohla manpur ambagarh chouki,2022 - 2023,6.0,2.0,0.33,,,,,,
,Mungeli,2011 - 2012,165.0,44.0,0.27,,,,,,
,,2012 - 2013,196.0,57.0,0.29,,,,,,
,,2013 - 2014,228.0,66.0,0.29,,,,,,
,,2014 - 2015,288.0,77.0,0.27,,,,,,
,,2015 - 2016,232.0,67.0,0.29,,,,,,
,,2016 - 2017,326.0,94.0,0.29,,,,,,
,,2017 - 2018,115.0,26.0,0.23,,,,,,
,,2018 - 2019,33.0,8.0,0.24,,,,,,
,,2019 - 2020,81.0,30.0,0.37,,,,,,
,,2020 - 2021,18.0,5.0,0.28,,,,,,
,,2021 - 2022,174.0,46.0,0.26,,,,,,
,,2022 - 2023,297.0,79.0,0.27,,,,,,
,Narayanpur,2006 - 2007,1.0,,0.0,,,,,,
,,2007 - 2008,5.0,1.0,0.2,,,,,,
,,2008 - 2009,4.0,12.0,3.0,,,,,,
,,2009 - 2010,8.0,2.0,0.25,,,,,,
,,2010 - 2011,7.0,2.0,0.29,,,,,,
,,2011 - 2012,6.0,1.0,0.17,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2014 - 2015,7.0,2.0,0.29,,,,,,
,,2015 - 2016,4.0,1.0,0.25,,,,,,
,,2016 - 2017,4.0,1.0,0.25,,,,,,
,,2017 - 2018,2.0,,0.0,,,,,,
,,2018 - 2019,5.0,2.0,0.4,,,,,,
,,2019 - 2020,1.0,,0.0,,,,,,
,,2020 - 2021,2.0,1.0,0.5,,,,,,
,Raigarh,2000 - 2001,49.0,10.0,0.2,,,,,,
,,2001 - 2002,104.0,22.0,0.21,,,,,,
,,2002 - 2003,75.0,15.0,0.2,,,,,,
,,2003 - 2004,89.0,20.0,0.22,,,,,,
,,2004 - 2005,138.0,28.0,0.2,,,,,,
,,2005 - 2006,159.0,35.0,0.22,,,,,,
,,2006 - 2007,177.0,40.0,0.23,,,,,,
,,2007 - 2008,183.0,40.0,0.22,,,,,,
,,2008 - 2009,146.0,32.0,0.22,,,,,,
,,2009 - 2010,179.0,32.0,0.18,,,,,,
,,2010 - 2011,199.0,39.0,0.2,,,,,,
,,2011 - 2012,215.0,39.0,0.18,,,,,,
,,2012 - 2013,218.0,49.0,0.22,,,,,,
,,2013 - 2014,225.0,40.0,0.18,,,,,,
,,2015 - 2016,7.0,2.0,0.29,,,,,,
,,2017 - 2018,75.0,18.0,0.24,,,,,,
,,2019 - 2020,91.0,27.0,0.3,,,,,,
,,2020 - 2021,78.0,18.0,0.23,,,,,,
,,2021 - 2022,73.0,16.0,0.22,,,,,,
,,2022 - 2023,41.0,9.0,0.22,,,,,,
,Raipur,2000 - 2001,295.0,108.0,0.37,,,,,,
,,2001 - 2002,325.0,125.0,0.38,,,,,,
,,2002 - 2003,358.0,123.0,0.34,,,,,,
,,2003 - 2004,367.0,136.0,0.37,,,,,,
,,2004 - 2005,339.0,121.0,0.36,,,,,,
,,2005 - 2006,451.0,162.0,0.36,,,,,,
,,2006 - 2007,446.0,165.0,0.37,,,,,,
,,2007 - 2008,362.0,134.0,0.37,,,,,,
,,2008 - 2009,402.0,147.0,0.37,,,,,,
,,2009 - 2010,425.0,158.0,0.37,,,,,,
,,2010 - 2011,572.0,247.0,0.43,,,,,,
,,2011 - 2012,218.0,105.0,0.48,,,,,,
,,2012 - 2013,199.0,87.0,0.44,,,,,,
,,2013 - 2014,180.0,85.0,0.47,,,,,,
,,2014 - 2015,180.0,85.0,0.47,,,,,,
,,2015 - 2016,172.0,76.0,0.44,,,,,,
,,2016 - 2017,139.0,70.0,0.5,,,,,,
,,2017 - 2018,106.0,46.0,0.43,,,,,,
,,2018 - 2019,53.0,27.0,0.51,,,,,,
,,2019 - 2020,90.0,37.0,0.41,,,,,,
,,2020 - 2021,61.0,35.0,0.57,,,,,,
,,2021 - 2022,55.0,32.0,0.58,,,,,,
,,2022 - 2023,51.0,30.0,0.59,,,,,,
,Rajnandgaon,2000 - 2001,155.0,35.0,0.23,,,,,,
