state,district,year,sweet_potato_whole_year_area_hectare,sweet_potato_whole_year_production_tonne,sweet_potato_whole_year_yield_tonne_per_hectare,sweet_potato_rabi_area_hectare,sweet_potato_rabi_production_tonne,sweet_potato_rabi_yield_tonne_per_hectare,sweet_potato_kharif_area_hectare,sweet_potato_kharif_production_tonne,sweet_potato_kharif_yield_tonne_per_hectare
,,2014 - 2015,,,2.59,,,,,,
,,2015 - 2016,943.0,,2.6,,,,,,
,,2016 - 2017,,,2.8,,,,,,
,,2017 - 2018,,,2.82,,,,,,
,,2018 - 2019,,,3.16,,,,,,
,,2019 - 2020,945.0,,3.19,,,,,,
,,2020 - 2021,220.0,,5.01,,,,,,
,,2021 - 2022,220.0,,5.01,,,,,,
,,2022 - 2023,229.0,,5.14,,,,,,
,Dibrugarh,2000 - 2001,165.0,361.0,2.19,,,,,,
,,2001 - 2002,100.0,29.0,0.29,,,,,,
,,2002 - 2003,105.0,230.0,2.19,,,,,,
,,2003 - 2004,110.0,241.0,2.19,,,,,,
,,2004 - 2005,55.0,120.0,2.18,,,,,,
,,2005 - 2006,113.0,247.0,2.19,,,,,,
,,2006 - 2007,71.0,155.0,2.18,,,,,,
,,2007 - 2008,103.0,226.0,2.19,,,,,,
,,2008 - 2009,97.0,212.0,2.19,,,,,,
,,2009 - 2010,111.0,243.0,2.19,,,,,,
,,2010 - 2011,120.0,263.0,2.19,,,,,,
,,2011 - 2012,121.0,392.0,3.24,,,,,,
,,2012 - 2013,118.0,404.0,3.42,,,,,,
,,2013 - 2014,122.0,417.0,3.42,,,,,,
,,2014 - 2015,119.0,408.0,3.43,,,,,,
,,2015 - 2016,75.0,257.0,3.43,,,,,,
,,2016 - 2017,94.0,343.0,3.65,,,,,,
,,2017 - 2018,96.0,351.0,3.66,,,,,,
,,2018 - 2019,88.0,405.0,4.6,,,,,,
,,2019 - 2020,90.0,426.0,4.73,,,,,,
,,2020 - 2021,90.0,426.0,4.73,,,,,,
,,2021 - 2022,86.0,407.0,4.73,,,,,,
,,2022 - 2023,83.0,399.0,4.81,,,,,,
,Dima hasao,2000 - 2001,39.0,191.0,4.9,,,,,,
,,2001 - 2002,41.0,201.0,4.9,,,,,,
,,2002 - 2003,44.0,216.0,4.91,,,,,,
,,2003 - 2004,45.0,216.0,4.8,,,,,,
,,2004 - 2005,45.0,221.0,4.91,,,,,,
,,2005 - 2006,46.0,221.0,4.8,,,,,,
,,2006 - 2007,49.0,240.0,4.9,,,,,,
,,2007 - 2008,57.0,279.0,4.89,,,,,,
,,2008 - 2009,55.0,270.0,4.91,,,,,,
,,2009 - 2010,60.0,294.0,4.9,,,,,,
,,2010 - 2011,73.0,358.0,4.9,,,,,,
,,2011 - 2012,76.0,380.0,5.0,,,,,,
,,2012 - 2013,97.0,489.0,5.04,,,,,,
,,2013 - 2014,107.0,539.0,5.04,,,,,,
,,2014 - 2015,107.0,541.0,5.06,,,,,,
,,2015 - 2016,104.0,527.0,5.07,,,,,,
,,2016 - 2017,106.0,565.0,5.33,,,,,,
,,2017 - 2018,117.0,624.0,5.33,,,,,,
,,2018 - 2019,109.0,761.0,6.98,,,,,,
,,2019 - 2020,111.0,731.0,6.59,,,,,,
,,2020 - 2021,102.0,673.0,6.6,,,,,,
,,2021 - 2022,102.0,673.0,6.6,,,,,,
,,2022 - 2023,102.0,685.0,6.72,,,,,,
,Goalpara,2000 - 2001,425.0,,3.27,,,,,,
,,2001 - 2002,265.0,868.0,3.28,,,,,,
,,2002 - 2003,265.0,861.0,3.25,,,,,,
,,2003 - 2004,270.0,882.0,3.27,,,,,,
,,2004 - 2005,350.0,,3.26,,,,,,
,,2005 - 2006,340.0,,3.26,,,,,,
,,2006 - 2007,350.0,,3.26,,,,,,
,,2007 - 2008,355.0,,3.26,,,,,,
,,2008 - 2009,380.0,,3.26,,,,,,
,,2009 - 2010,410.0,,3.26,,,,,,
,,2010 - 2011,450.0,,3.26,,,,,,
,,2011 - 2012,450.0,,5.66,,,,,,
,,2012 - 2013,468.0,,5.87,,,,,,
,,2013 - 2014,446.0,,5.87,,,,,,
,,2014 - 2015,500.0,,5.87,,,,,,
,,2015 - 2016,230.0,,5.87,,,,,,
,,2016 - 2017,237.0,,5.96,,,,,,
,,2017 - 2018,175.0,,5.97,,,,,,
,,2018 - 2019,169.0,,7.91,,,,,,
,,2019 - 2020,168.0,,7.98,,,,,,
,,2020 - 2021,173.0,,7.99,,,,,,
,,2021 - 2022,182.0,,7.86,,,,,,
,,2022 - 2023,176.0,,7.88,,,,,,
,Golaghat,2000 - 2001,108.0,270.0,2.5,,,,,,
,,2001 - 2002,109.0,273.0,2.5,,,,,,
,,2002 - 2003,109.0,273.0,2.5,,,,,,
,,2003 - 2004,115.0,288.0,2.5,,,,,,
,,2004 - 2005,113.0,283.0,2.5,,,,,,
,,2005 - 2006,110.0,276.0,2.51,,,,,,
,,2006 - 2007,105.0,263.0,2.5,,,,,,
,,2007 - 2008,93.0,233.0,2.51,,,,,,
,,2008 - 2009,135.0,337.0,2.5,,,,,,
,,2009 - 2010,89.0,224.0,2.52,,,,,,
,,2010 - 2011,76.0,190.0,2.5,,,,,,
,,2011 - 2012,92.0,308.0,3.35,,,,,,
,,2012 - 2013,100.0,346.0,3.46,,,,,,
,,2013 - 2014,98.0,339.0,3.46,,,,,,
,,2014 - 2015,99.0,343.0,3.46,,,,,,
,,2015 - 2016,98.0,340.0,3.47,,,,,,
,,2016 - 2017,100.0,365.0,3.65,,,,,,
,,2017 - 2018,98.0,360.0,3.67,,,,,,
,,2018 - 2019,96.0,500.0,5.21,,,,,,
,,2019 - 2020,96.0,512.0,5.33,,,,,,
,,2020 - 2021,88.0,469.0,5.33,,,,,,
,,2021 - 2022,106.0,566.0,5.34,,,,,,
,,2022 - 2023,84.0,454.0,5.4,,,,,,
,Hailakandi,2000 - 2001,5.0,19.0,3.8,,,,,,
,,2001 - 2002,80.0,247.0,3.09,,,,,,
,,2002 - 2003,80.0,247.0,3.09,,,,,,
,,2003 - 2004,70.0,235.0,3.36,,,,,,
,,2004 - 2005,80.0,254.0,3.18,,,,,,
,,2005 - 2006,60.0,192.0,3.2,,,,,,
,,2006 - 2007,65.0,211.0,3.25,,,,,,
,,2007 - 2008,50.0,160.0,3.2,,,,,,
,,2008 - 2009,40.0,129.0,3.23,,,,,,
,,2009 - 2010,52.0,168.0,3.23,,,,,,
,,2010 - 2011,50.0,161.0,3.22,,,,,,
,,2011 - 2012,45.0,151.0,3.36,,,,,,
,,2012 - 2013,50.0,182.0,3.64,,,,,,
,,2013 - 2014,45.0,163.0,3.62,,,,,,
,,2014 - 2015,40.0,146.0,3.65,,,,,,
,,2015 - 2016,35.0,128.0,3.66,,,,,,
,,2016 - 2017,40.0,96.0,2.4,,,,,,
,,2017 - 2018,35.0,85.0,2.43,,,,,,
,,2018 - 2019,32.0,274.0,8.56,,,,,,
,,2019 - 2020,36.0,312.0,8.67,,,,,,
,,2020 - 2021,31.0,269.0,8.68,,,,,,
,,2021 - 2022,28.0,215.0,7.68,,,,,,
,,2022 - 2023,26.0,228.0,8.77,,,,,,
,Hojai,2020 - 2021,22.0,213.0,9.68,,,,,,
,,2021 - 2022,25.0,242.0,9.68,,,,,,
,,2022 - 2023,25.0,245.0,9.8,,,,,,
,Jorhat,2000 - 2001,67.0,194.0,2.9,,,,,,
,,2001 - 2002,79.0,228.0,2.89,,,,,,
,,2002 - 2003,77.0,221.0,2.87,,,,,,
,,2003 - 2004,75.0,214.0,2.85,,,,,,
,,2004 - 2005,65.0,187.0,2.88,,,,,,
,,2005 - 2006,53.0,151.0,2.85,,,,,,
,,2006 - 2007,36.0,102.0,2.83,,,,,,
,,2007 - 2008,42.0,118.0,2.81,,,,,,
,,2008 - 2009,55.0,155.0,2.82,,,,,,
,,2009 - 2010,67.0,190.0,2.84,,,,,,
,,2010 - 2011,63.0,179.0,2.84,,,,,,
,,2011 - 2012,74.0,244.0,3.3,,,,,,
,,2012 - 2013,70.0,238.0,3.4,,,,,,
,,2013 - 2014,63.0,214.0,3.4,,,,,,
,,2014 - 2015,58.0,197.0,3.4,,,,,,
,,2015 - 2016,68.0,233.0,3.43,,,,,,
,,2016 - 2017,68.0,252.0,3.71,,,,,,
,,2017 - 2018,66.0,360.0,5.45,,,,,,
,,2018 - 2019,66.0,340.0,5.15,,,,,,
,,2019 - 2020,66.0,349.0,5.29,,,,,,
,,2020 - 2021,40.0,211.0,5.28,,,,,,
,,2021 - 2022,40.0,212.0,5.3,,,,,,
,,2022 - 2023,38.0,201.0,5.29,,,,,,
,Kamrup,2000 - 2001,617.0,,2.49,,,,,,
,,2001 - 2002,624.0,,2.49,,,,,,
,,2002 - 2003,608.0,,2.49,,,,,,
,,2003 - 2004,592.0,,2.48,,,,,,
,,2004 - 2005,423.0,,2.48,,,,,,
,,2005 - 2006,292.0,720.0,2.47,,,,,,
,,2006 - 2007,657.0,,2.49,,,,,,
,,2007 - 2008,160.0,396.0,2.48,,,,,,
,,2008 - 2009,185.0,456.0,2.46,,,,,,
,,2009 - 2010,164.0,409.0,2.49,,,,,,
,,2010 - 2011,159.0,396.0,2.49,,,,,,
,,2011 - 2012,165.0,425.0,2.58,,,,,,
,,2012 - 2013,177.0,681.0,3.85,,,,,,
,,2013 - 2014,171.0,658.0,3.85,,,,,,
,,2014 - 2015,176.0,679.0,3.86,,,,,,
,,2015 - 2016,175.0,676.0,3.86,,,,,,
,,2016 - 2017,175.0,701.0,4.01,,,,,,
,,2017 - 2018,180.0,724.0,4.02,,,,,,
,,2018 - 2019,176.0,796.0,4.52,,,,,,
,,2019 - 2020,177.0,819.0,4.63,,,,,,
,,2020 - 2021,403.0,,4.63,,,,,,
,,2021 - 2022,262.0,,4.63,,,,,,
,,2022 - 2023,225.0,,4.64,,,,,,
,Kamrup metro,2005 - 2006,17.0,43.0,2.53,,,,,,
,,2006 - 2007,10.0,25.0,2.5,,,,,,
,,2007 - 2008,28.0,69.0,2.46,,,,,,
,,2008 - 2009,16.0,40.0,2.5,,,,,,
,,2009 - 2010,24.0,60.0,2.5,,,,,,
,,2010 - 2011,24.0,60.0,2.5,,,,,,
,,2011 - 2012,24.0,64.0,2.67,,,,,,
,,2012 - 2013,25.0,89.0,3.56,,,,,,
,,2013 - 2014,26.0,93.0,3.58,,,,,,
,,2014 - 2015,28.0,100.0,3.57,,,,,,
,,2015 - 2016,27.0,97.0,3.59,,,,,,
,,2016 - 2017,24.0,89.0,3.71,,,,,,
,,2017 - 2018,26.0,97.0,3.73,,,,,,
,,2018 - 2019,15.0,73.0,4.87,,,,,,
,,2019 - 2020,22.0,110.0,5.0,,,,,,
,,2020 - 2021,17.0,85.0,5.0,,,,,,
,,2021 - 2022,32.0,161.0,5.03,,,,,,
,,2022 - 2023,23.0,124.0,5.39,,,,,,
,Karbi anglong,2000 - 2001,246.0,775.0,3.15,,,,,,
,,2001 - 2002,248.0,782.0,3.15,,,,,,
,,2002 - 2003,256.0,809.0,3.16,,,,,,
,,2003 - 2004,258.0,809.0,3.14,,,,,,
,,2004 - 2005,269.0,878.0,3.26,,,,,,
,,2005 - 2006,239.0,764.0,3.2,,,,,,
,,2006 - 2007,373.0,,3.21,,,,,,
,,2007 - 2008,373.0,,3.21,,,,,,
,,2008 - 2009,311.0,988.0,3.18,,,,,,
,,2009 - 2010,305.0,972.0,3.19,,,,,,
,,2010 - 2011,265.0,846.0,3.19,,,,,,
,,2011 - 2012,309.0,,3.38,,,,,,
,,2012 - 2013,314.0,,3.48,,,,,,
,,2013 - 2014,296.0,,3.49,,,,,,
,,2014 - 2015,306.0,,5.58,,,,,,
,,2015 - 2016,303.0,,5.59,,,,,,
,,2016 - 2017,390.0,,5.67,,,,,,
,,2017 - 2018,387.0,,5.68,,,,,,
,,2018 - 2019,398.0,,5.45,,,,,,
,,2019 - 2020,416.0,,5.54,,,,,,
,,2020 - 2021,295.0,,5.55,,,,,,
,,2021 - 2022,270.0,,5.54,,,,,,
,,2022 - 2023,336.0,,5.64,,,,,,
,Karimganj,2000 - 2001,65.0,247.0,3.8,,,,,,
,,2001 - 2002,66.0,251.0,3.8,,,,,,
,,2002 - 2003,75.0,285.0,3.8,,,,,,
,,2003 - 2004,100.0,380.0,3.8,,,,,,
,,2004 - 2005,125.0,475.0,3.8,,,,,,
,,2005 - 2006,120.0,456.0,3.8,,,,,,
,,2006 - 2007,130.0,494.0,3.8,,,,,,
,,2007 - 2008,130.0,494.0,3.8,,,,,,
,,2008 - 2009,143.0,601.0,4.2,,,,,,
,,2009 - 2010,157.0,618.0,3.94,,,,,,
,,2010 - 2011,167.0,665.0,3.98,,,,,,
,,2011 - 2012,137.0,582.0,4.25,,,,,,
,,2012 - 2013,138.0,627.0,4.54,,,,,,
,,2013 - 2014,136.0,618.0,4.54,,,,,,
,,2014 - 2015,121.0,552.0,4.56,,,,,,
,,2015 - 2016,109.0,498.0,4.57,,,,,,
,,2016 - 2017,110.0,521.0,4.74,,,,,,
,,2017 - 2018,102.0,484.0,4.75,,,,,,
,,2018 - 2019,110.0,876.0,7.96,,,,,,
,,2019 - 2020,105.0,327.0,3.11,,,,,,
,,2020 - 2021,100.0,807.0,8.07,,,,,,
,,2021 - 2022,110.0,887.0,8.06,,,,,,
,,2022 - 2023,107.0,876.0,8.19,,,,,,
,Kokrajhar,2000 - 2001,393.0,,3.72,,,,,,
,,2001 - 2002,350.0,,3.81,,,,,,
,,2002 - 2003,357.0,,3.8,,,,,,
,,2003 - 2004,363.0,,3.79,,,,,,
,,2004 - 2005,361.0,,3.8,,,,,,
,,2005 - 2006,539.0,,3.78,,,,,,
,,2006 - 2007,540.0,,3.77,,,,,,
,,2007 - 2008,453.0,,3.77,,,,,,
,,2008 - 2009,371.0,,3.77,,,,,,
,,2009 - 2010,418.0,,3.72,,,,,,
,,2010 - 2011,485.0,,3.78,,,,,,
,,2011 - 2012,473.0,,3.79,,,,,,
,,2012 - 2013,475.0,,3.98,,,,,,
,,2013 - 2014,344.0,,3.97,,,,,,
,,2014 - 2015,329.0,,3.98,,,,,,
,,2015 - 2016,308.0,,3.98,,,,,,
,,2016 - 2017,295.0,,4.04,,,,,,
,,2017 - 2018,244.0,990.0,4.06,,,,,,
,,2018 - 2019,240.0,,4.47,,,,,,
,,2019 - 2020,237.0,,4.56,,,,,,
,,2020 - 2021,120.0,645.0,5.38,,,,,,
,,2021 - 2022,65.0,350.0,5.38,,,,,,
,,2022 - 2023,121.0,657.0,5.43,,,,,,
,Lakhimpur,2000 - 2001,360.0,,3.1,,,,,,
,,2001 - 2002,367.0,,3.1,,,,,,
,,2002 - 2003,362.0,,3.1,,,,,,
,,2003 - 2004,368.0,,3.1,,,,,,
,,2004 - 2005,368.0,,3.1,,,,,,
,,2005 - 2006,74.0,230.0,3.11,,,,,,
,,2006 - 2007,174.0,540.0,3.1,,,,,,
,,2007 - 2008,210.0,652.0,3.1,,,,,,
,,2008 - 2009,117.0,363.0,3.1,,,,,,
,,2009 - 2010,93.0,289.0,3.11,,,,,,
,,2010 - 2011,125.0,388.0,3.1,,,,,,
,,2011 - 2012,245.0,798.0,3.26,,,,,,
,,2012 - 2013,245.0,887.0,3.62,,,,,,
,,2013 - 2014,178.0,645.0,3.62,,,,,,
,,2014 - 2015,230.0,835.0,3.63,,,,,,
,,2015 - 2016,225.0,819.0,3.64,,,,,,
,,2016 - 2017,140.0,536.0,3.83,,,,,,
,,2017 - 2018,147.0,566.0,3.85,,,,,,
,,2018 - 2019,148.0,665.0,4.49,,,,,,
,,2019 - 2020,145.0,668.0,4.61,,,,,,
,,2020 - 2021,142.0,655.0,4.61,,,,,,
,,2021 - 2022,133.0,613.0,4.61,,,,,,
,,2022 - 2023,138.0,644.0,4.67,,,,,,
,Majuli,2020 - 2021,25.0,135.0,5.4,,,,,,
,,2021 - 2022,25.0,160.0,6.4,,,,,,
,,2022 - 2023,25.0,141.0,5.64,,,,,,
,Marigaon,2000 - 2001,300.0,960.0,3.2,,,,,,
,,2001 - 2002,250.0,800.0,3.2,,,,,,
,,2002 - 2003,250.0,800.0,3.2,,,,,,
,,2003 - 2004,250.0,813.0,3.25,,,,,,
,,2004 - 2005,250.0,804.0,3.22,,,,,,
,,2005 - 2006,230.0,741.0,3.22,,,,,,
,,2006 - 2007,227.0,733.0,3.23,,,,,,
,,2007 - 2008,200.0,645.0,3.23,,,,,,
,,2008 - 2009,227.0,732.0,3.22,,,,,,
,,2009 - 2010,193.0,620.0,3.21,,,,,,
,,2010 - 2011,190.0,612.0,3.22,,,,,,
,,2011 - 2012,205.0,666.0,3.25,,,,,,
,,2012 - 2013,211.0,707.0,3.35,,,,,,
,,2013 - 2014,183.0,613.0,3.35,,,,,,
,,2014 - 2015,179.0,604.0,3.37,,,,,,
,,2015 - 2016,174.0,589.0,3.39,,,,,,
,,2016 - 2017,146.0,512.0,3.51,,,,,,
,,2017 - 2018,166.0,586.0,3.53,,,,,,
,,2018 - 2019,139.0,600.0,4.32,,,,,,
,,2019 - 2020,141.0,624.0,4.43,,,,,,
,,2020 - 2021,140.0,620.0,4.43,,,,,,
,,2021 - 2022,105.0,465.0,4.43,,,,,,
,,2022 - 2023,67.0,300.0,4.48,,,,,,
,Nagaon,2000 - 2001,503.0,,3.2,,,,,,
,,2001 - 2002,501.0,,3.2,,,,,,
,,2002 - 2003,466.0,,3.19,,,,,,
,,2003 - 2004,431.0,,3.19,,,,,,
,,2004 - 2005,449.0,,3.19,,,,,,
,,2005 - 2006,327.0,,3.14,,,,,,
,,2006 - 2007,305.0,963.0,3.16,,,,,,
,,2007 - 2008,458.0,,3.19,,,,,,
,,2008 - 2009,411.0,,3.19,,,,,,
,,2009 - 2010,374.0,,3.16,,,,,,
,,2010 - 2011,251.0,801.0,3.19,,,,,,
,,2011 - 2012,434.0,,3.16,,,,,,
,,2012 - 2013,433.0,,3.27,,,,,,
,,2013 - 2014,465.0,,11.51,,,,,,
,,2014 - 2015,502.0,,11.52,,,,,,
,,2015 - 2016,439.0,,11.53,,,,,,
,,2016 - 2017,352.0,,11.59,,,,,,
,,2017 - 2018,431.0,,11.72,,,,,,
,,2018 - 2019,259.0,,9.65,,,,,,
,,2019 - 2020,244.0,,9.69,,,,,,
,,2020 - 2021,225.0,,9.69,,,,,,
,,2021 - 2022,234.0,,9.69,,,,,,
,,2022 - 2023,316.0,,9.75,,,,,,
,Nalbari,2000 - 2001,120.0,676.0,5.63,,,,,,
,,2001 - 2002,120.0,676.0,5.63,,,,,,
,,2002 - 2003,110.0,619.0,5.63,,,,,,
,,2003 - 2004,110.0,619.0,5.63,,,,,,
,,2004 - 2005,112.0,631.0,5.63,,,,,,
,,2005 - 2006,64.0,360.0,5.63,,,,,,
,,2006 - 2007,80.0,450.0,5.63,,,,,,
,,2007 - 2008,80.0,450.0,5.63,,,,,,
,,2008 - 2009,50.0,282.0,5.64,,,,,,
,,2009 - 2010,80.0,450.0,5.63,,,,,,
,,2010 - 2011,80.0,450.0,5.63,,,,,,
,,2011 - 2012,81.0,467.0,5.77,,,,,,
,,2012 - 2013,80.0,541.0,6.76,,,,,,
,,2013 - 2014,100.0,677.0,6.77,,,,,,
,,2014 - 2015,78.0,528.0,6.77,,,,,,
,,2015 - 2016,78.0,973.0,12.47,,,,,,
,,2016 - 2017,78.0,987.0,12.65,,,,,,
,,2017 - 2018,78.0,989.0,12.68,,,,,,
,,2018 - 2019,78.0,563.0,7.22,,,,,,
,,2019 - 2020,75.0,550.0,7.33,,,,,,
,,2020 - 2021,73.0,536.0,7.34,,,,,,
,,2021 - 2022,45.0,330.0,7.33,,,,,,
,,2022 - 2023,40.0,296.0,7.4,,,,,,
,Sivasagar,2000 - 2001,153.0,575.0,3.76,,,,,,
,,2001 - 2002,162.0,609.0,3.76,,,,,,
,,2002 - 2003,163.0,610.0,3.74,,,,,,
,,2003 - 2004,145.0,542.0,3.74,,,,,,
,,2004 - 2005,137.0,513.0,3.74,,,,,,
,,2005 - 2006,130.0,487.0,3.75,,,,,,
,,2006 - 2007,98.0,373.0,3.81,,,,,,
,,2007 - 2008,130.0,459.0,3.53,,,,,,
,,2008 - 2009,80.0,296.0,3.7,,,,,,
,,2009 - 2010,74.0,277.0,3.74,,,,,,
,,2010 - 2011,99.0,362.0,3.66,,,,,,
,,2011 - 2012,110.0,423.0,3.85,,,,,,
,,2012 - 2013,90.0,437.0,4.86,,,,,,
,,2013 - 2014,88.0,427.0,4.85,,,,,,
,,2014 - 2015,91.0,442.0,4.86,,,,,,
,,2015 - 2016,94.0,458.0,4.87,,,,,,
,,2016 - 2017,96.0,489.0,5.09,,,,,,
,,2017 - 2018,97.0,333.0,3.43,,,,,,
,,2018 - 2019,72.0,322.0,4.47,,,,,,
,,2019 - 2020,80.0,366.0,4.58,,,,,,
,,2020 - 2021,40.0,184.0,4.6,,,,,,
,,2021 - 2022,40.0,184.0,4.6,,,,,,
,,2022 - 2023,33.0,158.0,4.79,,,,,,
,Sonitpur,2000 - 2001,538.0,,3.4,,,,,,
,,2001 - 2002,560.0,,3.39,,,,,,
,,2002 - 2003,560.0,,3.39,,,,,,
,,2003 - 2004,561.0,,3.39,,,,,,
,,2004 - 2005,545.0,,3.38,,,,,,
,,2005 - 2006,530.0,,3.39,,,,,,
,,2006 - 2007,521.0,,3.39,,,,,,
,,2007 - 2008,479.0,,3.41,,,,,,
,,2008 - 2009,455.0,,3.42,,,,,,
,,2009 - 2010,452.0,,3.42,,,,,,
,,2010 - 2011,440.0,,3.42,,,,,,
,,2011 - 2012,385.0,,5.15,,,,,,
,,2012 - 2013,228.0,,5.36,,,,,,
,,2013 - 2014,218.0,,12.0,,,,,,
,,2014 - 2015,361.0,,12.02,,,,,,
,,2015 - 2016,381.0,,12.03,,,,,,
,,2016 - 2017,341.0,,12.08,,,,,,
,,2017 - 2018,355.0,,11.46,,,,,,
,,2018 - 2019,356.0,,9.2,,,,,,
,,2019 - 2020,319.0,,9.24,,,,,,
,,2020 - 2021,245.0,,5.93,,,,,,
,,2021 - 2022,270.0,,5.93,,,,,,
,,2022 - 2023,305.0,,5.96,,,,,,
,South salmara mancachar,2020 - 2021,735.0,,5.01,,,,,,
,,2021 - 2022,735.0,,5.01,,,,,,
,,2022 - 2023,150.0,753.0,5.02,,,,,,
,Tinsukia,2000 - 2001,158.0,522.0,3.3,,,,,,
,,2001 - 2002,164.0,541.0,3.3,,,,,,
,,2002 - 2003,156.0,515.0,3.3,,,,,,
,,2003 - 2004,156.0,515.0,3.3,,,,,,
,,2004 - 2005,157.0,518.0,3.3,,,,,,
,,2005 - 2006,160.0,529.0,3.31,,,,,,
,,2006 - 2007,160.0,529.0,3.31,,,,,,
,,2007 - 2008,163.0,539.0,3.31,,,,,,
,,2008 - 2009,150.0,509.0,3.39,,,,,,
,,2009 - 2010,163.0,549.0,3.37,,,,,,
,,2010 - 2011,83.0,285.0,3.43,,,,,,
,,2011 - 2012,87.0,207.0,2.38,,,,,,
,,2012 - 2013,88.0,298.0,3.39,,,,,,
,,2013 - 2014,94.0,318.0,3.38,,,,,,
,,2014 - 2015,99.0,336.0,3.39,,,,,,
,,2015 - 2016,104.0,352.0,3.38,,,,,,
,,2016 - 2017,105.0,373.0,3.55,,,,,,
,,2017 - 2018,102.0,364.0,3.57,,,,,,
,,2018 - 2019,103.0,460.0,4.47,,,,,,
,,2019 - 2020,109.0,515.0,4.72,,,,,,
,,2020 - 2021,113.0,520.0,4.6,,,,,,
,,2021 - 2022,142.0,653.0,4.6,,,,,,
,,2022 - 2023,135.0,630.0,4.67,,,,,,
,Udalguri,2005 - 2006,260.0,653.0,2.51,,,,,,
,,2006 - 2007,325.0,813.0,2.5,,,,,,
,,2007 - 2008,255.0,638.0,2.5,,,,,,
,,2008 - 2009,154.0,385.0,2.5,,,,,,
,,2009 - 2010,236.0,590.0,2.5,,,,,,
,,2010 - 2011,218.0,545.0,2.5,,,,,,
,,2011 - 2012,203.0,,8.29,,,,,,
,,2012 - 2013,231.0,,8.39,,,,,,
,,2013 - 2014,207.0,,8.4,,,,,,
,,2014 - 2015,207.0,,8.48,,,,,,
,,2015 - 2016,129.0,,8.49,,,,,,
,,2016 - 2017,132.0,,8.64,,,,,,
,,2017 - 2018,156.0,,8.65,,,,,,
,,2018 - 2019,139.0,617.0,4.44,,,,,,
,,2019 - 2020,134.0,901.0,6.72,,,,,,
,,2020 - 2021,144.0,969.0,6.73,,,,,,
,,2021 - 2022,359.0,,6.73,,,,,,
,,2022 - 2023,348.0,,6.76,,,,,,
,West karbi anglong,2020 - 2021,112.0,621.0,5.54,,,,,,
,,2021 - 2022,110.0,610.0,5.55,,,,,,
,,2022 - 2023,103.0,582.0,5.65,,,,,,
Bihar,Araria,2000 - 2001,182.0,,11.36,,,,,,
,,2001 - 2002,632.0,,11.26,,,,,,
,,2002 - 2003,642.0,,12.36,,,,,,
,,2003 - 2004,845.0,,14.51,,,,,,
,,2004 - 2005,706.0,,12.04,,,,,,
,,2005 - 2006,665.0,,15.66,,,,,,
,,2007 - 2008,693.0,,12.74,,,,,,
,,2008 - 2009,,,,416.0,,14.71,300.0,,13.57
,Arwal,2003 - 2004,10.0,81.0,8.1,,,,,,
,,2004 - 2005,5.0,41.0,8.2,,,,,,
,,2005 - 2006,3.0,45.0,15.0,,,,,,
,,2007 - 2008,1.0,13.0,13.0,,,,,,
,,2008 - 2009,,,,,,,1.0,14.0,14.0
,Aurangabad,2000 - 2001,9.0,108.0,12.0,,,,,,
,,2001 - 2002,11.0,129.0,11.73,,,,,,
,,2002 - 2003,51.0,591.0,11.59,,,,,,
,,2003 - 2004,1.0,8.0,8.0,,,,,,
,,2004 - 2005,4.0,38.0,9.5,,,,,,
,,2005 - 2006,4.0,60.0,15.0,,,,,,
,,2007 - 2008,3.0,39.0,13.0,,,,,,
,,2008 - 2009,,,,3.0,44.0,14.67,,,
,Banka,2002 - 2003,10.0,147.0,14.7,,,,,,
,,2004 - 2005,10.0,159.0,15.9,,,,,,
,Begusarai,2000 - 2001,100.0,,12.08,,,,,,
,,2001 - 2002,52.0,626.0,12.04,,,,,,
,,2002 - 2003,49.0,721.0,14.71,,,,,,
,,2003 - 2004,72.0,,13.94,,,,,,
,,2004 - 2005,95.0,,15.48,,,,,,
,,2005 - 2006,236.0,,15.7,,,,,,
,,2007 - 2008,41.0,546.0,13.32,,,,,,
,Bhagalpur,2000 - 2001,42.0,507.0,12.07,,,,,,
,,2001 - 2002,45.0,505.0,11.22,,,,,,
,,2002 - 2003,22.0,324.0,14.73,,,,,,
,,2003 - 2004,39.0,539.0,13.82,,,,,,
,,2004 - 2005,32.0,507.0,15.84,,,,,,
,,2005 - 2006,31.0,463.0,14.94,,,,,,
,,2007 - 2008,32.0,426.0,13.31,,,,,,
,,2008 - 2009,,,,1.0,15.0,15.0,27.0,366.0,13.56
,Bhojpur,2005 - 2006,13.0,195.0,15.0,,,,,,
,,2007 - 2008,10.0,148.0,14.8,,,,,,
,,2008 - 2009,,,,1.0,15.0,15.0,44.0,640.0,14.55
,Buxar,2000 - 2001,7.0,85.0,12.14,,,,,,
,,2001 - 2002,12.0,124.0,10.33,,,,,,
,Darbhanga,2000 - 2001,206.0,,12.61,,,,,,
,,2001 - 2002,209.0,,7.38,,,,,,
,,2002 - 2003,38.0,386.0,10.16,,,,,,
,,2003 - 2004,81.0,,13.77,,,,,,
,,2004 - 2005,68.0,,15.9,,,,,,
,,2005 - 2006,57.0,926.0,16.25,,,,,,
,,2007 - 2008,8.0,105.0,13.13,,,,,,
,,2008 - 2009,,,,8.0,39.0,4.88,,,
,Gaya,2000 - 2001,13.0,158.0,12.15,,,,,,
,,2002 - 2003,7.0,74.0,10.57,,,,,,
,,2003 - 2004,11.0,94.0,8.55,,,,,,
