state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,Mysore,2000 - 2001,,,21.59,,,,,,,,,
,,2002 - 2003,,,20.29,,,,,,,,,
,,2003 - 2004,,,13.4,,,,,,,,,
,,2004 - 2005,,,21.96,,,,,,,,,
,,2005 - 2006,,,19.11,,,,,,,,,
,,2006 - 2007,,,21.99,,,,,,,,,
,,2007 - 2008,,,23.53,,,,,,,,,
,,2008 - 2009,,,16.27,,,,,,,,,
,,2009 - 2010,,,29.42,,,,,,,,,
,,2010 - 2011,,,26.06,,,,,,,,,
,,2011 - 2012,,,27.57,,,,,,,,,
,Raichur,2000 - 2001,23.0,423.0,18.39,,,,,,,,,
,,2002 - 2003,36.0,616.0,17.11,,,,,,,,,
,,2003 - 2004,25.0,325.0,13.0,,,,,,,,,
,,2004 - 2005,22.0,276.0,12.55,,,,,,,,,
,,2005 - 2006,8.0,95.0,11.88,,,,,,,,,
,,2006 - 2007,8.0,160.0,20.0,,,,,,,,,
,,2007 - 2008,93.0,,17.69,,,,,,,,,
,,2008 - 2009,59.0,,17.37,,,,,,,,,
,,2009 - 2010,65.0,,22.18,,,,,,,,,
,,2010 - 2011,79.0,,23.48,,,,,,,,,
,,2011 - 2012,71.0,,24.99,,,,,,,,,
,Ramanagara,2007 - 2008,,,24.99,,,,,,,,,
,,2008 - 2009,,,37.39,,,,,,,,,
,,2009 - 2010,,,29.88,,,,,,,,,
,,2010 - 2011,,,30.11,,,,,,,,,
,,2011 - 2012,,,32.86,,,,,,,,,
,Shimoga,2000 - 2001,,,15.25,,,,,,,,,
,,2002 - 2003,,,13.07,,,,,,,,,
,,2003 - 2004,602.0,,3.72,,,,,,,,,
,,2004 - 2005,,,6.07,,,,,,,,,
,,2005 - 2006,,,5.92,,,,,,,,,
,,2006 - 2007,,,6.3,,,,,,,,,
,,2007 - 2008,,,12.37,,,,,,,,,
,,2008 - 2009,,,10.85,,,,,,,,,
,,2009 - 2010,,,17.79,,,,,,,,,
,,2010 - 2011,,,18.12,,,,,,,,,
,,2011 - 2012,,,19.43,,,,,,,,,
,Tumkur,2000 - 2001,,,18.19,,,,,,,,,
,,2002 - 2003,,,12.63,,,,,,,,,
,,2003 - 2004,,,13.34,,,,,,,,,
,,2004 - 2005,,,6.79,,,,,,,,,
,,2005 - 2006,,,8.78,,,,,,,,,
,,2006 - 2007,,,7.93,,,,,,,,,
,,2007 - 2008,,,11.61,,,,,,,,,
,,2008 - 2009,,,8.42,,,,,,,,,
,,2009 - 2010,,,19.19,,,,,,,,,
,,2010 - 2011,,,19.88,,,,,,,,,
,,2011 - 2012,,,20.48,,,,,,,,,
,Udupi,2000 - 2001,,,18.61,,,,,,,,,
,,2002 - 2003,,,16.5,,,,,,,,,
,,2003 - 2004,,,2.5,,,,,,,,,
,,2004 - 2005,,922.0,0.9,,,,,,,,,
,,2005 - 2006,838.0,482.0,0.58,,,,,,,,,
,,2006 - 2007,,,1.11,,,,,,,,,
,,2007 - 2008,,,4.95,,,,,,,,,
,,2008 - 2009,,,8.39,,,,,,,,,
,,2009 - 2010,,,18.26,,,,,,,,,
,,2010 - 2011,,,19.46,,,,,,,,,
,,2011 - 2012,,,21.02,,,,,,,,,
,Uttar kannad,2000 - 2001,,,18.37,,,,,,,,,
,,2002 - 2003,,,15.24,,,,,,,,,
,,2003 - 2004,,,1.0,,,,,,,,,
,,2004 - 2005,,,3.75,,,,,,,,,
,,2005 - 2006,,,1.2,,,,,,,,,
,,2006 - 2007,,,2.13,,,,,,,,,
,,2007 - 2008,,,2.75,,,,,,,,,
,,2008 - 2009,,,4.83,,,,,,,,,
,,2009 - 2010,,,10.21,,,,,,,,,
,,2010 - 2011,,,11.25,,,,,,,,,
,,2011 - 2012,,,12.2,,,,,,,,,
Kerala,Alappuzha,2000 - 2001,595.0,,6.95,,,,,,,,,
,,2001 - 2002,553.0,,6.1,,,,,,,,,
,,2002 - 2003,470.0,,8.12,,,,,,,,,
,,2003 - 2004,553.0,,6.72,,,,,,,,,
,,2004 - 2005,564.0,,6.6,,,,,,,,,
,,2005 - 2006,578.0,,6.79,,,,,,,,,
,,2006 - 2007,601.0,,7.17,,,,,,,,,
,,2007 - 2008,635.0,,6.41,,,,,,,,,
,,2008 - 2009,563.0,,6.73,,,,,,,,,
,,2009 - 2010,538.0,,8.03,,,,,,,,,
,,2010 - 2011,660.15,,7.88,,,,,,,,,
,,2011 - 2012,454.95,,7.92,,,,,,,,,
,,2012 - 2013,631.0,,7.93,,,,,,,,,
,,2013 - 2014,472.0,,9.49,,,,,,,,,
,,2014 - 2015,450.0,,8.3,,,,,,,,,
,,2015 - 2016,475.87,,8.69,,,,,,,,,
,,2016 - 2017,519.0,,7.21,,,,,,,,,
,,2017 - 2018,577.0,,7.6,,,,,,,,,
,,2018 - 2019,318.45,,6.09,,,,,,,,,
,,2019 - 2020,377.0,,6.22,,,,,,,,,
,,2020 - 2021,325.8,,7.08,,,,,,,,,
,,2021 - 2022,402.0,,6.9,,,,,,,,,
,,2022 - 2023,405.87,,8.23,,,,,,,,,
,Ernakulam,2000 - 2001,,,6.73,,,,,,,,,
,,2001 - 2002,,,7.1,,,,,,,,,
,,2002 - 2003,,,7.3,,,,,,,,,
,,2003 - 2004,,,9.43,,,,,,,,,
,,2004 - 2005,,,8.49,,,,,,,,,
,,2005 - 2006,,,7.59,,,,,,,,,
,,2006 - 2007,,,8.74,,,,,,,,,
,,2007 - 2008,,,8.1,,,,,,,,,
,,2008 - 2009,,,9.52,,,,,,,,,
,,2009 - 2010,,,9.04,,,,,,,,,
,,2010 - 2011,,,9.49,,,,,,,,,
,,2011 - 2012,,,9.6,,,,,,,,,
,,2012 - 2013,,,9.08,,,,,,,,,
,,2013 - 2014,,,9.59,,,,,,,,,
,,2014 - 2015,,,9.17,,,,,,,,,
,,2015 - 2016,,,9.36,,,,,,,,,
,,2016 - 2017,,,9.26,,,,,,,,,
,,2017 - 2018,,,9.38,,,,,,,,,
,,2018 - 2019,,,7.05,,,,,,,,,
,,2019 - 2020,,,8.67,,,,,,,,,
,,2020 - 2021,,,9.64,,,,,,,,,
,,2021 - 2022,,,9.43,,,,,,,,,
,,2022 - 2023,,,10.03,,,,,,,,,
,Idukki,2000 - 2001,,,9.47,,,,,,,,,
,,2001 - 2002,,,8.46,,,,,,,,,
,,2002 - 2003,,,8.49,,,,,,,,,
,,2003 - 2004,,,8.78,,,,,,,,,
,,2004 - 2005,,,6.55,,,,,,,,,
,,2005 - 2006,,,7.59,,,,,,,,,
,,2006 - 2007,,,7.43,,,,,,,,,
,,2007 - 2008,,,7.32,,,,,,,,,
,,2008 - 2009,,,8.75,,,,,,,,,
,,2009 - 2010,,,7.68,,,,,,,,,
,,2010 - 2011,,,8.73,,,,,,,,,
,,2011 - 2012,,,8.74,,,,,,,,,
,,2012 - 2013,,,9.36,,,,,,,,,
,,2013 - 2014,,,9.24,,,,,,,,,
,,2014 - 2015,,,9.19,,,,,,,,,
,,2015 - 2016,,,8.64,,,,,,,,,
,,2016 - 2017,,,8.4,,,,,,,,,
,,2017 - 2018,,,9.7,,,,,,,,,
,,2018 - 2019,,,8.92,,,,,,,,,
,,2019 - 2020,,,9.92,,,,,,,,,
,,2020 - 2021,,,9.39,,,,,,,,,
,,2021 - 2022,,,10.73,,,,,,,,,
,,2022 - 2023,,,10.9,,,,,,,,,
,Kannur,2000 - 2001,,,8.08,,,,,,,,,
,,2001 - 2002,,,7.15,,,,,,,,,
,,2002 - 2003,,,8.29,,,,,,,,,
,,2003 - 2004,,,8.73,,,,,,,,,
,,2004 - 2005,,,8.86,,,,,,,,,
,,2005 - 2006,,,10.78,,,,,,,,,
,,2006 - 2007,,,9.21,,,,,,,,,
,,2007 - 2008,,,6.58,,,,,,,,,
,,2008 - 2009,,,7.77,,,,,,,,,
,,2009 - 2010,,,7.26,,,,,,,,,
,,2010 - 2011,,,8.13,,,,,,,,,
,,2011 - 2012,,,8.69,,,,,,,,,
,,2012 - 2013,,,8.6,,,,,,,,,
,,2013 - 2014,,,8.89,,,,,,,,,
,,2014 - 2015,,,8.53,,,,,,,,,
,,2015 - 2016,,,9.66,,,,,,,,,
,,2016 - 2017,,,9.07,,,,,,,,,
,,2017 - 2018,,,8.46,,,,,,,,,
,,2018 - 2019,,,9.18,,,,,,,,,
,,2019 - 2020,,,10.33,,,,,,,,,
,,2020 - 2021,,,9.91,,,,,,,,,
,,2021 - 2022,,,10.03,,,,,,,,,
,,2022 - 2023,,,9.78,,,,,,,,,
,Kasaragod,2000 - 2001,983.0,,8.64,,,,,,,,,
,,2001 - 2002,750.0,,8.59,,,,,,,,,
,,2002 - 2003,764.0,,10.07,,,,,,,,,
,,2003 - 2004,717.0,,10.14,,,,,,,,,
,,2004 - 2005,780.0,,8.34,,,,,,,,,
,,2005 - 2006,789.0,,9.04,,,,,,,,,
,,2006 - 2007,778.0,,9.62,,,,,,,,,
,,2007 - 2008,685.0,,11.25,,,,,,,,,
,,2008 - 2009,401.0,,8.06,,,,,,,,,
,,2009 - 2010,475.0,,7.82,,,,,,,,,
,,2010 - 2011,384.46,,11.39,,,,,,,,,
,,2011 - 2012,509.32,,6.26,,,,,,,,,
,,2012 - 2013,529.0,,8.83,,,,,,,,,
,,2013 - 2014,487.0,,7.02,,,,,,,,,
,,2014 - 2015,665.0,,7.35,,,,,,,,,
,,2015 - 2016,645.12,,10.87,,,,,,,,,
,,2016 - 2017,664.0,,10.54,,,,,,,,,
,,2017 - 2018,687.0,,9.87,,,,,,,,,
,,2018 - 2019,658.12,,8.7,,,,,,,,,
,,2019 - 2020,639.0,,11.05,,,,,,,,,
,,2020 - 2021,692.77,,9.6,,,,,,,,,
,,2021 - 2022,464.0,,10.86,,,,,,,,,
,,2022 - 2023,364.48,,10.1,,,,,,,,,
,Kollam,2000 - 2001,,,5.88,,,,,,,,,
,,2001 - 2002,,,7.69,,,,,,,,,
,,2002 - 2003,,,8.11,,,,,,,,,
,,2003 - 2004,,,7.61,,,,,,,,,
,,2004 - 2005,,,6.94,,,,,,,,,
,,2005 - 2006,,,7.25,,,,,,,,,
,,2006 - 2007,,,6.14,,,,,,,,,
,,2007 - 2008,,,6.41,,,,,,,,,
,,2008 - 2009,,,6.89,,,,,,,,,
,,2009 - 2010,,,6.59,,,,,,,,,
,,2010 - 2011,,,7.74,,,,,,,,,
,,2011 - 2012,,,7.28,,,,,,,,,
,,2012 - 2013,,,6.98,,,,,,,,,
,,2013 - 2014,,,6.93,,,,,,,,,
,,2014 - 2015,,,6.97,,,,,,,,,
,,2015 - 2016,,,7.07,,,,,,,,,
,,2016 - 2017,,,7.1,,,,,,,,,
,,2017 - 2018,,,6.95,,,,,,,,,
,,2018 - 2019,,,7.52,,,,,,,,,
,,2019 - 2020,,,6.83,,,,,,,,,
,,2020 - 2021,,,6.42,,,,,,,,,
,,2021 - 2022,,,6.96,,,,,,,,,
,,2022 - 2023,,,7.29,,,,,,,,,
,Kottayam,2000 - 2001,,,8.78,,,,,,,,,
,,2001 - 2002,,,7.92,,,,,,,,,
,,2002 - 2003,,,9.54,,,,,,,,,
,,2003 - 2004,,,9.76,,,,,,,,,
,,2004 - 2005,,,9.33,,,,,,,,,
,,2005 - 2006,,,8.62,,,,,,,,,
,,2006 - 2007,,,9.09,,,,,,,,,
,,2007 - 2008,,,9.31,,,,,,,,,
,,2008 - 2009,,,9.44,,,,,,,,,
,,2009 - 2010,,,9.05,,,,,,,,,
,,2010 - 2011,,,8.86,,,,,,,,,
,,2011 - 2012,,,8.78,,,,,,,,,
,,2012 - 2013,,,8.37,,,,,,,,,
,,2013 - 2014,,,9.05,,,,,,,,,
,,2014 - 2015,,,8.47,,,,,,,,,
,,2015 - 2016,,,8.01,,,,,,,,,
,,2016 - 2017,,,7.91,,,,,,,,,
,,2017 - 2018,,,8.4,,,,,,,,,
,,2018 - 2019,,,8.97,,,,,,,,,
,,2019 - 2020,,,9.8,,,,,,,,,
,,2020 - 2021,,,9.33,,,,,,,,,
,,2021 - 2022,,,9.98,,,,,,,,,
,,2022 - 2023,,,9.47,,,,,,,,,
,Kozhikode,2000 - 2001,,,8.43,,,,,,,,,
,,2001 - 2002,,,7.65,,,,,,,,,
,,2002 - 2003,,,8.48,,,,,,,,,
,,2003 - 2004,,,8.63,,,,,,,,,
,,2004 - 2005,,,8.95,,,,,,,,,
,,2005 - 2006,,,7.21,,,,,,,,,
,,2006 - 2007,,,8.2,,,,,,,,,
,,2007 - 2008,,,7.55,,,,,,,,,
,,2008 - 2009,,,7.46,,,,,,,,,
,,2009 - 2010,,,7.52,,,,,,,,,
,,2010 - 2011,,,7.39,,,,,,,,,
,,2011 - 2012,,,8.14,,,,,,,,,
,,2012 - 2013,,,8.01,,,,,,,,,
,,2013 - 2014,,,7.13,,,,,,,,,
,,2014 - 2015,,,7.93,,,,,,,,,
,,2015 - 2016,,,9.14,,,,,,,,,
,,2016 - 2017,,,9.26,,,,,,,,,
,,2017 - 2018,,,8.39,,,,,,,,,
,,2018 - 2019,,,8.92,,,,,,,,,
,,2019 - 2020,,,7.86,,,,,,,,,
,,2020 - 2021,,,11.44,,,,,,,,,
,,2021 - 2022,,,11.62,,,,,,,,,
,,2022 - 2023,,,12.79,,,,,,,,,
,Malappuram,2000 - 2001,,,6.79,,,,,,,,,
,,2001 - 2002,,,6.63,,,,,,,,,
,,2002 - 2003,,,6.93,,,,,,,,,
,,2003 - 2004,,,7.94,,,,,,,,,
,,2004 - 2005,,,7.55,,,,,,,,,
,,2005 - 2006,,,7.07,,,,,,,,,
,,2006 - 2007,,,7.71,,,,,,,,,
,,2007 - 2008,,,7.1,,,,,,,,,
,,2008 - 2009,,,7.48,,,,,,,,,
,,2009 - 2010,,,7.0,,,,,,,,,
,,2010 - 2011,,,7.29,,,,,,,,,
,,2011 - 2012,,,9.03,,,,,,,,,
,,2012 - 2013,,,8.3,,,,,,,,,
,,2013 - 2014,,,8.68,,,,,,,,,
,,2014 - 2015,,,8.33,,,,,,,,,
,,2015 - 2016,,,8.37,,,,,,,,,
,,2016 - 2017,,,8.23,,,,,,,,,
,,2017 - 2018,,,8.04,,,,,,,,,
,,2018 - 2019,,,7.13,,,,,,,,,
,,2019 - 2020,,,8.75,,,,,,,,,
,,2020 - 2021,,,6.02,,,,,,,,,
,,2021 - 2022,,,9.03,,,,,,,,,
,,2022 - 2023,,,9.29,,,,,,,,,
,Palakkad,2000 - 2001,,,6.81,,,,,,,,,
,,2001 - 2002,,,8.91,,,,,,,,,
,,2002 - 2003,,,7.97,,,,,,,,,
,,2003 - 2004,,,7.39,,,,,,,,,
,,2004 - 2005,,,8.04,,,,,,,,,
,,2005 - 2006,,,7.35,,,,,,,,,
,,2006 - 2007,,,7.29,,,,,,,,,
,,2007 - 2008,,,7.2,,,,,,,,,
,,2008 - 2009,,,8.97,,,,,,,,,
,,2009 - 2010,,,7.56,,,,,,,,,
,,2010 - 2011,,,8.64,,,,,,,,,
,,2011 - 2012,,,8.86,,,,,,,,,
,,2012 - 2013,,,9.19,,,,,,,,,
,,2013 - 2014,,,8.45,,,,,,,,,
,,2014 - 2015,,,9.4,,,,,,,,,
,,2015 - 2016,,,9.67,,,,,,,,,
,,2016 - 2017,,,9.16,,,,,,,,,
,,2017 - 2018,,,11.16,,,,,,,,,
,,2018 - 2019,,,8.57,,,,,,,,,
,,2019 - 2020,,,8.97,,,,,,,,,
,,2020 - 2021,,,11.2,,,,,,,,,
,,2021 - 2022,,,9.84,,,,,,,,,
,,2022 - 2023,,,10.63,,,,,,,,,
,Pathanamthitta,2000 - 2001,,,6.76,,,,,,,,,
,,2001 - 2002,,,7.28,,,,,,,,,
,,2002 - 2003,,,8.95,,,,,,,,,
,,2003 - 2004,,,7.71,,,,,,,,,
,,2004 - 2005,,,7.11,,,,,,,,,
,,2005 - 2006,,,9.02,,,,,,,,,
,,2006 - 2007,,,8.25,,,,,,,,,
,,2007 - 2008,,,8.07,,,,,,,,,
,,2008 - 2009,,,7.88,,,,,,,,,
,,2009 - 2010,,,8.3,,,,,,,,,
,,2010 - 2011,,,7.92,,,,,,,,,
,,2011 - 2012,,,7.95,,,,,,,,,
,,2012 - 2013,,,7.53,,,,,,,,,
,,2013 - 2014,,,7.28,,,,,,,,,
,,2014 - 2015,,,7.83,,,,,,,,,
,,2015 - 2016,,,7.95,,,,,,,,,
,,2016 - 2017,,,7.96,,,,,,,,,
,,2017 - 2018,,,7.5,,,,,,,,,
,,2018 - 2019,,,7.82,,,,,,,,,
,,2019 - 2020,,,8.05,,,,,,,,,
,,2020 - 2021,,,8.57,,,,,,,,,
,,2021 - 2022,,,7.69,,,,,,,,,
,,2022 - 2023,,,7.91,,,,,,,,,
,Thiruvananthapuram,2000 - 2001,,,6.36,,,,,,,,,
,,2001 - 2002,,,5.85,,,,,,,,,
,,2002 - 2003,,,6.71,,,,,,,,,
,,2003 - 2004,,,8.02,,,,,,,,,
,,2004 - 2005,,,6.34,,,,,,,,,
,,2005 - 2006,,,6.91,,,,,,,,,
,,2006 - 2007,,,6.71,,,,,,,,,
,,2007 - 2008,,,6.33,,,,,,,,,
,,2008 - 2009,,,7.01,,,,,,,,,
,,2009 - 2010,,,7.34,,,,,,,,,
,,2010 - 2011,,,5.62,,,,,,,,,
,,2011 - 2012,,,6.05,,,,,,,,,
,,2012 - 2013,,,6.81,,,,,,,,,
,,2013 - 2014,,,8.0,,,,,,,,,
,,2014 - 2015,,,6.87,,,,,,,,,
,,2015 - 2016,,,6.85,,,,,,,,,
,,2016 - 2017,,,7.14,,,,,,,,,
,,2017 - 2018,,,7.28,,,,,,,,,
,,2018 - 2019,,,8.93,,,,,,,,,
,,2019 - 2020,,,9.13,,,,,,,,,
,,2020 - 2021,,,8.86,,,,,,,,,
,,2021 - 2022,,,7.46,,,,,,,,,
,,2022 - 2023,,,8.3,,,,,,,,,
,Thrissur,2000 - 2001,,,7.17,,,,,,,,,
,,2001 - 2002,,,6.14,,,,,,,,,
,,2002 - 2003,,,7.02,,,,,,,,,
,,2003 - 2004,,,7.37,,,,,,,,,
,,2004 - 2005,,,7.35,,,,,,,,,
,,2005 - 2006,,,8.66,,,,,,,,,
,,2006 - 2007,,,8.87,,,,,,,,,
,,2007 - 2008,,,6.39,,,,,,,,,
,,2008 - 2009,,,9.05,,,,,,,,,
,,2009 - 2010,,,7.9,,,,,,,,,
,,2010 - 2011,,,7.87,,,,,,,,,
,,2011 - 2012,,,9.23,,,,,,,,,
,,2012 - 2013,,,9.64,,,,,,,,,
,,2013 - 2014,,,9.03,,,,,,,,,
,,2014 - 2015,,,8.26,,,,,,,,,
,,2015 - 2016,,,9.15,,,,,,,,,
,,2016 - 2017,,,8.62,,,,,,,,,
,,2017 - 2018,,,8.91,,,,,,,,,
,,2018 - 2019,,,4.82,,,,,,,,,
,,2019 - 2020,,,8.1,,,,,,,,,
,,2020 - 2021,,,9.99,,,,,,,,,
,,2021 - 2022,,,10.05,,,,,,,,,
,,2022 - 2023,,,11.05,,,,,,,,,
,Wayanad,2000 - 2001,,,7.56,,,,,,,,,
,,2001 - 2002,,,7.4,,,,,,,,,
,,2002 - 2003,,,6.8,,,,,,,,,
,,2003 - 2004,,,6.78,,,,,,,,,
,,2004 - 2005,,,8.8,,,,,,,,,
,,2005 - 2006,,,8.97,,,,,,,,,
,,2006 - 2007,,,7.41,,,,,,,,,
,,2007 - 2008,,,7.46,,,,,,,,,
,,2008 - 2009,,,6.01,,,,,,,,,
,,2009 - 2010,,,8.61,,,,,,,,,
,,2010 - 2011,,,8.4,,,,,,,,,
,,2011 - 2012,,,8.68,,,,,,,,,
,,2012 - 2013,,,7.86,,,,,,,,,
,,2013 - 2014,,,8.51,,,,,,,,,
,,2014 - 2015,,,9.36,,,,,,,,,
,,2015 - 2016,,,9.48,,,,,,,,,
,,2016 - 2017,,,8.34,,,,,,,,,
,,2017 - 2018,,,8.35,,,,,,,,,
,,2018 - 2019,,,8.41,,,,,,,,,
,,2019 - 2020,,,9.73,,,,,,,,,
,,2020 - 2021,,,9.91,,,,,,,,,
,,2021 - 2022,,,9.49,,,,,,,,,
,,2022 - 2023,,,9.85,,,,,,,,,
Madhya Pradesh,Anuppur,2003 - 2004,2.0,35.0,17.5,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,
,,2007 - 2008,1.0,20.0,20.0,,,,,,,,,
,,2009 - 2010,2.0,45.0,22.5,,,,,,,,,
,,2012 - 2013,2.0,,0.0,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,,2019 - 2020,1.5,45.0,30.0,,,,,,,,,
,Balaghat,2001 - 2002,16.0,168.0,10.5,,,,,,,,,
,,2002 - 2003,23.0,769.0,33.43,,,,,,,,,
,,2003 - 2004,25.0,479.0,19.16,,,,,,,,,
,,2006 - 2007,25.0,863.0,34.52,,,,,,,,,
,,2007 - 2008,11.0,527.0,47.91,,,,,,,,,
,,2008 - 2009,24.0,923.0,38.46,,,,,,,,,
,,2009 - 2010,5.0,298.0,59.6,,,,,,,,,
,,2010 - 2011,4.0,190.0,47.5,,,,,,,,,
,,2011 - 2012,16.0,760.0,47.5,,,,,,,,,
,,2012 - 2013,11.0,141.0,12.82,,,,,,,,,
,,2013 - 2014,16.0,,108.88,,,,,,,,,
,,2015 - 2016,112.0,,31.96,,,,,,,,,
,,2016 - 2017,132.0,,27.39,,,,,,,,,
,,2017 - 2018,139.0,,38.32,,,,,,,,,
,,2018 - 2019,146.5,,38.5,,,,,,,,,
,,2019 - 2020,146.5,,38.5,,,,,,,,,
,Barwani,2001 - 2002,660.0,,19.2,,,,,,,,,
,,2002 - 2003,656.0,,20.53,,,,,,,,,
,,2003 - 2004,585.0,,20.04,,,,,,,,,
,,2006 - 2007,403.0,,12.73,,,,,,,,,
,,2007 - 2008,260.0,,30.42,,,,,,,,,
,,2008 - 2009,114.0,,25.32,,,,,,,,,
,,2009 - 2010,215.0,,33.01,,,,,,,,,
,,2010 - 2011,158.0,,25.52,,,,,,,,,
,,2011 - 2012,386.0,,20.47,,,,,,,,,
,,2012 - 2013,500.0,,34.25,,,,,,,,,
,,2013 - 2014,546.0,,55.53,,,,,,,,,
,,2015 - 2016,,,72.0,,,,,,,,,
,,2016 - 2017,,,75.0,,,,,,,,,
,,2017 - 2018,,,75.0,,,,,,,,,
,,2018 - 2019,,,75.0,,,,,,,,,
,,2019 - 2020,,,75.0,,,,,,,,,
,Betul,2001 - 2002,3.0,39.0,13.0,,,,,,,,,
,,2002 - 2003,4.0,74.0,18.5,,,,,,,,,
,,2003 - 2004,2.0,38.0,19.0,,,,,,,,,
,,2012 - 2013,2.0,,0.0,,,,,,,,,
,,2015 - 2016,166.0,,12.0,,,,,,,,,
,,2016 - 2017,109.0,,12.0,,,,,,,,,
,,2017 - 2018,109.0,,12.0,,,,,,,,,
,,2018 - 2019,5.0,60.0,12.0,,,,,,,,,
,,2019 - 2020,7.0,80.0,11.43,,,,,,,,,
,Burhanpur,2003 - 2004,,,29.53,,,,,,,,,
,,2006 - 2007,,,32.57,,,,,,,,,
,,2007 - 2008,,,64.13,,,,,,,,,
,,2008 - 2009,,,51.49,,,,,,,,,
,,2009 - 2010,,,63.79,,,,,,,,,
,,2010 - 2011,,,54.6,,,,,,,,,
,,2011 - 2012,,,35.83,,,,,,,,,
,,2012 - 2013,,,36.61,,,,,,,,,
,,2013 - 2014,,,83.21,,,,,,,,,
,,2015 - 2016,,,70.0,,,,,,,,,
,,2016 - 2017,,,70.0,,,,,,,,,
,,2017 - 2018,,,70.0,,,,,,,,,
,,2018 - 2019,,,70.0,,,,,,,,,
,,2019 - 2020,,,70.0,,,,,,,,,
,Chhatarpur,2001 - 2002,6.0,169.0,28.17,,,,,,,,,
,,2002 - 2003,6.0,166.0,27.67,,,,,,,,,
,,2003 - 2004,4.0,0.0,0.0,,,,,,,,,
,,2006 - 2007,5.0,,0.0,,,,,,,,,
,,2010 - 2011,1.0,27.0,27.0,,,,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,,2015 - 2016,38.0,,67.0,,,,,,,,,
,,2016 - 2017,40.0,,67.0,,,,,,,,,
,,2017 - 2018,5.0,310.0,62.0,,,,,,,,,
,,2018 - 2019,4.5,286.0,63.56,,,,,,,,,
,,2019 - 2020,4.5,281.0,62.44,,,,,,,,,
,Chhindwara,2001 - 2002,2.0,177.0,88.5,,,,,,,,,
,,2002 - 2003,1.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,1.0,84.0,84.0,,,,,,,,,
,,2006 - 2007,5.0,368.0,73.6,,,,,,,,,
,,2007 - 2008,3.0,198.0,66.0,,,,,,,,,
,,2011 - 2012,3.0,151.0,50.33,,,,,,,,,
,,2012 - 2013,2.0,,0.0,,,,,,,,,
,,2015 - 2016,32.0,160.0,5.0,,,,,,,,,
,,2016 - 2017,7.0,210.0,30.0,,,,,,,,,
,,2017 - 2018,7.0,210.0,30.0,,,,,,,,,
,,2018 - 2019,7.0,175.0,25.0,,,,,,,,,
,,2019 - 2020,7.0,175.0,25.0,,,,,,,,,
,Damoh,2002 - 2003,4.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,4.0,0.0,0.0,,,,,,,,,
,,2007 - 2008,2.0,64.0,32.0,,,,,,,,,
,,2009 - 2010,3.0,139.0,46.33,,,,,,,,,
,,2010 - 2011,1.0,18.0,18.0,,,,,,,,,
,,2011 - 2012,1.0,26.0,26.0,,,,,,,,,
,,2012 - 2013,1.0,32.0,32.0,,,,,,,,,
,,2016 - 2017,9.5,190.0,20.0,,,,,,,,,
,,2017 - 2018,15.0,525.0,35.0,,,,,,,,,
,,2018 - 2019,15.0,525.0,35.0,,,,,,,,,
,,2019 - 2020,15.0,525.0,35.0,,,,,,,,,
,Dewas,2003 - 2004,7.0,0.0,0.0,,,,,,,,,
,,2006 - 2007,2.0,61.0,30.5,,,,,,,,,
,,2015 - 2016,60.0,,30.0,,,,,,,,,
,,2016 - 2017,15.0,488.0,32.53,,,,,,,,,
,,2017 - 2018,20.0,650.0,32.5,,,,,,,,,
,,2018 - 2019,20.0,650.0,32.5,,,,,,,,,
,,2019 - 2020,25.0,815.0,32.6,,,,,,,,,
,Dhar,2001 - 2002,500.0,,26.19,,,,,,,,,
,,2002 - 2003,564.0,,22.79,,,,,,,,,
,,2003 - 2004,629.0,,25.57,,,,,,,,,
,,2006 - 2007,464.0,,30.05,,,,,,,,,
,,2007 - 2008,222.0,,57.64,,,,,,,,,
,,2008 - 2009,202.0,,46.28,,,,,,,,,
,,2009 - 2010,309.0,,57.33,,,,,,,,,
,,2010 - 2011,123.0,,44.48,,,,,,,,,
,,2011 - 2012,476.0,,37.5,,,,,,,,,
,,2012 - 2013,593.0,,12.58,,,,,,,,,
,,2013 - 2014,648.0,,81.13,,,,,,,,,
,,2015 - 2016,,,58.0,,,,,,,,,
,,2016 - 2017,,,70.8,,,,,,,,,
,,2017 - 2018,,,70.8,,,,,,,,,
,,2018 - 2019,,,72.41,,,,,,,,,
,,2019 - 2020,,,71.45,,,,,,,,,
,Dindori,2019 - 2020,2.0,66.0,33.0,,,,,,,,,
,Harda,2002 - 2003,6.0,256.0,42.67,,,,,,,,,
,,2003 - 2004,8.0,0.0,0.0,,,,,,,,,
,,2006 - 2007,5.0,103.0,20.6,,,,,,,,,
