state,district,year,barley_rabi_area_hectare,barley_rabi_production_tonne,barley_rabi_yield_tonne_per_hectare,barley_kharif_area_hectare,barley_kharif_production_tonne,barley_kharif_yield_tonne_per_hectare,barley_summer_area_hectare,barley_summer_production_tonne,barley_summer_yield_tonne_per_hectare,barley_whole_year_area_hectare,barley_whole_year_production_tonne,barley_whole_year_yield_tonne_per_hectare
,,2009 - 2010,187.0,151.0,0.81,,,,,,,,,
,,2010 - 2011,8.0,7.0,0.88,,,,,,,,,
,,2011 - 2012,45.0,41.0,0.91,,,,,,,,,
,,2012 - 2013,41.0,55.0,1.34,,,,,,,,,
,,2013 - 2014,34.0,38.0,1.12,,,,,,,,,
,,2014 - 2015,22.0,24.0,1.09,,,,,,,,,
,,2016 - 2017,7.0,9.0,1.29,,,,,,,,,
,,2017 - 2018,57.0,99.0,1.74,,,,,,,,,
,,2018 - 2019,59.0,82.0,1.39,,,,,,,,,
,,2019 - 2020,43.0,56.0,1.3,,,,,,,,,
,,2020 - 2021,39.0,52.0,1.33,,,,,,,,,
,Pashchim champaran,2000 - 2001,939.0,809.0,0.86,,,,,,,,,
,,2001 - 2002,957.0,,2.1,,,,,,,,,
,,2002 - 2003,8.0,13.0,1.63,,,,,,,,,
,,2003 - 2004,79.0,122.0,1.54,,,,,,,,,
,,2004 - 2005,78.0,100.0,1.28,,,,,,,,,
,,2005 - 2006,83.0,61.0,0.73,,,,,,,,,
,,2006 - 2007,92.0,92.0,1.0,,,,,,,,,
,,2007 - 2008,756.0,786.0,1.04,,,,,,,,,
,,2008 - 2009,803.0,874.0,1.09,,,,,,,,,
,,2009 - 2010,755.0,942.0,1.25,,,,,,,,,
,,2010 - 2011,806.0,,1.31,,,,,,,,,
,,2011 - 2012,164.0,337.0,2.05,,,,,,,,,
,,2012 - 2013,127.0,194.0,1.53,,,,,,,,,
,,2013 - 2014,120.0,174.0,1.45,,,,,,,,,
,,2014 - 2015,,,1.9,,,,,,,,,
,,2015 - 2016,360.0,469.0,1.3,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,Patna,2000 - 2001,846.0,,1.67,,,,,,,,,
,,2001 - 2002,785.0,,1.8,,,,,,,,,
,,2002 - 2003,564.0,931.0,1.65,,,,,,,,,
,,2003 - 2004,582.0,588.0,1.01,,,,,,,,,
,,2004 - 2005,375.0,628.0,1.67,,,,,,,,,
,,2005 - 2006,,,1.96,,,,,,,,,
,,2006 - 2007,540.0,383.0,0.71,,,,,,,,,
,,2007 - 2008,425.0,434.0,1.02,,,,,,,,,
,,2008 - 2009,359.0,504.0,1.4,,,,,,,,,
,,2009 - 2010,187.0,269.0,1.44,,,,,,,,,
,,2010 - 2011,83.0,101.0,1.22,,,,,,,,,
,,2011 - 2012,153.0,258.0,1.69,,,,,,,,,
,,2012 - 2013,224.0,367.0,1.64,,,,,,,,,
,,2013 - 2014,154.0,220.0,1.43,,,,,,,,,
,,2014 - 2015,180.0,175.0,0.97,,,,,,,,,
,,2015 - 2016,185.0,261.0,1.41,,,,,,,,,
,,2016 - 2017,172.0,285.0,1.66,,,,,,,,,
,,2017 - 2018,104.0,181.0,1.74,,,,,,,,,
,,2018 - 2019,111.0,249.0,2.24,,,,,,,,,
,,2019 - 2020,192.0,297.0,1.55,,,,,,,,,
,,2020 - 2021,150.0,311.0,2.07,,,,,,,,,
,,2021 - 2022,121.0,273.0,2.26,,,,,,,,,
,,2022 - 2023,117.0,258.0,2.21,,,,,,,,,
,Purbi champaran,2000 - 2001,546.0,621.0,1.14,,,,,,,,,
,,2001 - 2002,497.0,609.0,1.23,,,,,,,,,
,,2002 - 2003,391.0,361.0,0.92,,,,,,,,,
,,2003 - 2004,500.0,535.0,1.07,,,,,,,,,
,,2004 - 2005,626.0,799.0,1.28,,,,,,,,,
,,2005 - 2006,611.0,403.0,0.66,,,,,,,,,
,,2006 - 2007,580.0,655.0,1.13,,,,,,,,,
,,2007 - 2008,587.0,569.0,0.97,,,,,,,,,
,,2008 - 2009,452.0,492.0,1.09,,,,,,,,,
,,2009 - 2010,629.0,785.0,1.25,,,,,,,,,
,,2010 - 2011,143.0,377.0,2.64,,,,,,,,,
,,2011 - 2012,19.0,39.0,2.05,,,,,,,,,
,,2014 - 2015,302.0,516.0,1.71,,,,,,,,,
,Purnia,2000 - 2001,14.0,16.0,1.14,,,,,,,,,
,,2001 - 2002,225.0,282.0,1.25,,,,,,,,,
,,2002 - 2003,10.0,12.0,1.2,,,,,,,,,
,,2003 - 2004,10.0,11.0,1.1,,,,,,,,,
,,2004 - 2005,13.0,14.0,1.08,,,,,,,,,
,,2005 - 2006,7.0,7.0,1.0,,,,,,,,,
,,2006 - 2007,18.0,19.0,1.06,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,Rohtas,2000 - 2001,,,0.98,,,,,,,,,
,,2001 - 2002,,,1.1,,,,,,,,,
,,2002 - 2003,,,2.02,,,,,,,,,
,,2003 - 2004,,,1.05,,,,,,,,,
,,2004 - 2005,,,0.99,,,,,,,,,
,,2005 - 2006,,,1.32,,,,,,,,,
,,2006 - 2007,,,1.18,,,,,,,,,
,,2007 - 2008,886.0,,1.79,,,,,,,,,
,,2008 - 2009,830.0,,1.73,,,,,,,,,
,,2009 - 2010,784.0,554.0,0.71,,,,,,,,,
,,2010 - 2011,895.0,,1.47,,,,,,,,,
,,2011 - 2012,,,1.81,,,,,,,,,
,,2012 - 2013,,,2.33,,,,,,,,,
,,2013 - 2014,781.0,,1.8,,,,,,,,,
,,2014 - 2015,761.0,825.0,1.08,,,,,,,,,
,,2015 - 2016,560.0,971.0,1.73,,,,,,,,,
,,2016 - 2017,694.0,,2.18,,,,,,,,,
,,2017 - 2018,694.0,,1.79,,,,,,,,,
,,2018 - 2019,694.0,,2.39,,,,,,,,,
,,2019 - 2020,691.0,,1.63,,,,,,,,,
,,2020 - 2021,211.0,302.0,1.43,,,,,,,,,
,,2021 - 2022,219.0,293.0,1.34,,,,,,,,,
,,2022 - 2023,40.0,81.0,2.03,,,,,,,,,
,Saharsa,2000 - 2001,13.0,15.0,1.15,,,,,,,,,
,,2001 - 2002,93.0,117.0,1.26,,,,,,,,,
,,2002 - 2003,81.0,93.0,1.15,,,,,,,,,
,,2003 - 2004,24.0,27.0,1.13,,,,,,,,,
,,2004 - 2005,7.0,7.0,1.0,,,,,,,,,
,,2005 - 2006,13.0,13.0,1.0,,,,,,,,,
,,2006 - 2007,3.0,3.0,1.0,,,,,,,,,
,,2014 - 2015,70.0,78.0,1.11,,,,,,,,,
,,2015 - 2016,62.0,81.0,1.31,,,,,,,,,
,,2016 - 2017,59.0,89.0,1.51,,,,,,,,,
,,2017 - 2018,45.0,71.0,1.58,,,,,,,,,
,Samastipur,2000 - 2001,96.0,113.0,1.18,,,,,,,,,
,,2001 - 2002,72.0,90.0,1.25,,,,,,,,,
,,2002 - 2003,109.0,126.0,1.16,,,,,,,,,
,,2003 - 2004,113.0,126.0,1.12,,,,,,,,,
,,2004 - 2005,111.0,117.0,1.05,,,,,,,,,
,,2005 - 2006,106.0,110.0,1.04,,,,,,,,,
,,2006 - 2007,103.0,110.0,1.07,,,,,,,,,
,,2007 - 2008,111.0,133.0,1.2,,,,,,,,,
,,2008 - 2009,223.0,244.0,1.09,,,,,,,,,
,,2009 - 2010,17.0,19.0,1.12,,,,,,,,,
,,2010 - 2011,18.0,24.0,1.33,,,,,,,,,
,,2011 - 2012,132.0,204.0,1.55,,,,,,,,,
,,2012 - 2013,132.0,193.0,1.46,,,,,,,,,
,,2013 - 2014,725.0,,1.4,,,,,,,,,
,,2014 - 2015,20.0,22.0,1.1,,,,,,,,,
,,2015 - 2016,77.0,100.0,1.3,,,,,,,,,
,,2016 - 2017,69.0,104.0,1.51,,,,,,,,,
,,2017 - 2018,20.0,32.0,1.6,,,,,,,,,
,,2018 - 2019,19.0,38.0,2.0,,,,,,,,,
,,2019 - 2020,148.0,203.0,1.37,,,,,,,,,
,,2020 - 2021,296.0,563.0,1.9,,,,,,,,,
,,2021 - 2022,304.0,541.0,1.78,,,,,,,,,
,,2022 - 2023,306.0,528.0,1.73,,,,,,,,,
,Saran,2000 - 2001,233.0,392.0,1.68,,,,,,,,,
,,2001 - 2002,820.0,876.0,1.07,,,,,,,,,
,,2002 - 2003,250.0,304.0,1.22,,,,,,,,,
,,2003 - 2004,318.0,539.0,1.69,,,,,,,,,
,,2004 - 2005,285.0,426.0,1.49,,,,,,,,,
,,2005 - 2006,207.0,375.0,1.81,,,,,,,,,
,,2006 - 2007,277.0,296.0,1.07,,,,,,,,,
,,2007 - 2008,256.0,377.0,1.47,,,,,,,,,
,,2008 - 2009,233.0,255.0,1.09,,,,,,,,,
,,2009 - 2010,154.0,174.0,1.13,,,,,,,,,
,,2011 - 2012,66.0,102.0,1.55,,,,,,,,,
,,2012 - 2013,7.0,10.0,1.43,,,,,,,,,
,,2013 - 2014,8.0,11.0,1.38,,,,,,,,,
,,2014 - 2015,16.0,18.0,1.13,,,,,,,,,
,,2015 - 2016,13.0,17.0,1.31,,,,,,,,,
,,2017 - 2018,21.0,33.0,1.57,,,,,,,,,
,,2018 - 2019,64.0,127.0,1.98,,,,,,,,,
,,2019 - 2020,52.0,71.0,1.37,,,,,,,,,
,,2020 - 2021,51.0,97.0,1.9,,,,,,,,,
,,2021 - 2022,47.0,84.0,1.79,,,,,,,,,
,,2022 - 2023,48.0,83.0,1.73,,,,,,,,,
,Sheikhpura,2000 - 2001,136.0,129.0,0.95,,,,,,,,,
,,2005 - 2006,1.0,1.0,1.0,,,,,,,,,
,,2007 - 2008,96.0,109.0,1.14,,,,,,,,,
,,2008 - 2009,97.0,64.0,0.66,,,,,,,,,
,,2009 - 2010,6.0,5.0,0.83,,,,,,,,,
,,2010 - 2011,5.0,5.0,1.0,,,,,,,,,
,,2011 - 2012,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,3.0,5.0,1.67,,,,,,,,,
,Sheohar,2000 - 2001,11.0,12.0,1.09,,,,,,,,,
,,2005 - 2006,2.0,1.0,0.5,,,,,,,,,
,,2006 - 2007,5.0,5.0,1.0,,,,,,,,,
,,2007 - 2008,6.0,6.0,1.0,,,,,,,,,
,,2008 - 2009,7.0,8.0,1.14,,,,,,,,,
,,2009 - 2010,3.0,4.0,1.33,,,,,,,,,
,,2011 - 2012,257.0,528.0,2.05,,,,,,,,,
,,2012 - 2013,3.0,5.0,1.67,,,,,,,,,
,,2013 - 2014,2.0,3.0,1.5,,,,,,,,,
,,2017 - 2018,2.0,3.0,1.5,,,,,,,,,
,Sitamarhi,2000 - 2001,61.0,69.0,1.13,,,,,,,,,
,,2001 - 2002,114.0,205.0,1.8,,,,,,,,,
,,2002 - 2003,110.0,132.0,1.2,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,
,,2004 - 2005,180.0,230.0,1.28,,,,,,,,,
,,2005 - 2006,140.0,104.0,0.74,,,,,,,,,
,,2006 - 2007,136.0,137.0,1.01,,,,,,,,,
,,2007 - 2008,144.0,150.0,1.04,,,,,,,,,
,,2008 - 2009,154.0,168.0,1.09,,,,,,,,,
,,2009 - 2010,152.0,190.0,1.25,,,,,,,,,
,,2010 - 2011,152.0,230.0,1.51,,,,,,,,,
,,2011 - 2012,29.0,60.0,2.07,,,,,,,,,
,,2012 - 2013,34.0,52.0,1.53,,,,,,,,,
,,2013 - 2014,33.0,48.0,1.45,,,,,,,,,
,,2014 - 2015,9.0,15.0,1.67,,,,,,,,,
,,2015 - 2016,9.0,12.0,1.33,,,,,,,,,
,,2016 - 2017,9.0,13.0,1.44,,,,,,,,,
,,2017 - 2018,9.0,14.0,1.56,,,,,,,,,
,,2018 - 2019,9.0,8.0,0.89,,,,,,,,,
,,2019 - 2020,9.0,4.0,0.44,,,,,,,,,
,,2020 - 2021,8.0,15.0,1.88,,,,,,,,,
,,2021 - 2022,8.0,14.0,1.75,,,,,,,,,
,,2022 - 2023,7.0,12.0,1.71,,,,,,,,,
,Siwan,2000 - 2001,799.0,,1.68,,,,,,,,,
,,2001 - 2002,704.0,752.0,1.07,,,,,,,,,
,,2002 - 2003,664.0,807.0,1.22,,,,,,,,,
,,2003 - 2004,642.0,,1.69,,,,,,,,,
,,2004 - 2005,373.0,558.0,1.5,,,,,,,,,
,,2005 - 2006,383.0,525.0,1.37,,,,,,,,,
,,2006 - 2007,,,1.07,,,,,,,,,
,,2007 - 2008,178.0,262.0,1.47,,,,,,,,,
,,2008 - 2009,157.0,172.0,1.1,,,,,,,,,
,,2009 - 2010,181.0,205.0,1.13,,,,,,,,,
,,2010 - 2011,116.0,154.0,1.33,,,,,,,,,
,,2011 - 2012,90.0,139.0,1.54,,,,,,,,,
,,2012 - 2013,117.0,171.0,1.46,,,,,,,,,
,,2013 - 2014,124.0,173.0,1.4,,,,,,,,,
,,2014 - 2015,123.0,136.0,1.11,,,,,,,,,
,,2015 - 2016,126.0,164.0,1.3,,,,,,,,,
,,2016 - 2017,125.0,188.0,1.5,,,,,,,,,
,,2017 - 2018,129.0,205.0,1.59,,,,,,,,,
,,2018 - 2019,128.0,255.0,1.99,,,,,,,,,
,,2019 - 2020,128.0,175.0,1.37,,,,,,,,,
,,2020 - 2021,128.0,244.0,1.91,,,,,,,,,
,,2021 - 2022,128.0,228.0,1.78,,,,,,,,,
,,2022 - 2023,128.0,221.0,1.73,,,,,,,,,
,Supaul,2000 - 2001,192.0,225.0,1.17,,,,,,,,,
,,2001 - 2002,81.0,102.0,1.26,,,,,,,,,
,,2002 - 2003,33.0,38.0,1.15,,,,,,,,,
,,2003 - 2004,27.0,30.0,1.11,,,,,,,,,
,,2004 - 2005,4.0,4.0,1.0,,,,,,,,,
,,2005 - 2006,149.0,154.0,1.03,,,,,,,,,
,,2006 - 2007,5.0,5.0,1.0,,,,,,,,,
,,2007 - 2008,18.0,22.0,1.22,,,,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,,,,
,Vaishali,2000 - 2001,407.0,459.0,1.13,,,,,,,,,
,,2001 - 2002,252.0,453.0,1.8,,,,,,,,,
,,2002 - 2003,250.0,300.0,1.2,,,,,,,,,
,,2003 - 2004,201.0,271.0,1.35,,,,,,,,,
,,2004 - 2005,452.0,577.0,1.28,,,,,,,,,
,,2005 - 2006,210.0,155.0,0.74,,,,,,,,,
,,2006 - 2007,220.0,221.0,1.0,,,,,,,,,
,,2007 - 2008,228.0,237.0,1.04,,,,,,,,,
,,2008 - 2009,232.0,253.0,1.09,,,,,,,,,
,,2009 - 2010,30.0,37.0,1.23,,,,,,,,,
,,2010 - 2011,18.0,27.0,1.5,,,,,,,,,
,,2011 - 2012,121.0,249.0,2.06,,,,,,,,,
,,2012 - 2013,56.0,86.0,1.54,,,,,,,,,
,,2013 - 2014,19.0,28.0,1.47,,,,,,,,,
,,2014 - 2015,37.0,63.0,1.7,,,,,,,,,
,,2015 - 2016,26.0,34.0,1.31,,,,,,,,,
,,2016 - 2017,27.0,40.0,1.48,,,,,,,,,
,,2017 - 2018,24.0,38.0,1.58,,,,,,,,,
,,2018 - 2019,24.0,22.0,0.92,,,,,,,,,
,,2019 - 2020,24.0,11.0,0.46,,,,,,,,,
,,2020 - 2021,21.0,40.0,1.9,,,,,,,,,
,,2021 - 2022,22.0,39.0,1.77,,,,,,,,,
,,2022 - 2023,21.0,36.0,1.71,,,,,,,,,
Chhattisgarh,Balod,2011 - 2012,3.0,3.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,Baloda bazar,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,Balrampur,2011 - 2012,,,0.75,,,,,,,,,
,,2012 - 2013,,360.0,0.26,,,,,,,,,
,,2013 - 2014,,,0.92,,,,,,,,,
,,2014 - 2015,,,1.12,,,,,,,,,
,,2016 - 2017,,,0.9,,,,,,,,,
,,2017 - 2018,,,1.06,,,,,,,,,
,,2018 - 2019,,894.0,0.8,,,,,,,,,
,,2019 - 2020,847.0,439.0,0.52,,,,,,,,,
,,2020 - 2021,569.0,400.0,0.7,,,,,,,,,
,,2021 - 2022,502.0,274.0,0.55,,,,,,,,,
,,2022 - 2023,139.0,147.0,1.06,,,,,,,,,
,Bemetara,2011 - 2012,74.0,65.0,0.88,,,,,,,,,
,,2012 - 2013,74.0,41.0,0.55,,,,,,,,,
,,2013 - 2014,196.0,77.0,0.39,,,,,,,,,
,,2014 - 2015,105.0,61.0,0.58,,,,,,,,,
,,2015 - 2016,25.0,16.0,0.64,,,,,,,,,
,,2019 - 2020,7.0,4.0,0.57,,,,,,,,,
,,2020 - 2021,11.0,9.0,0.82,,,,,,,,,
,,2021 - 2022,4.0,6.0,1.5,,,,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Bilaspur,2000 - 2001,11.0,9.0,0.82,,,,,,,,,
,,2001 - 2002,7.0,6.0,0.86,,,,,,,,,
,,2002 - 2003,8.0,3.0,0.38,,,,,,,,,
,,2003 - 2004,12.0,10.0,0.83,,,,,,,,,
,,2005 - 2006,11.0,9.0,0.82,,,,,,,,,
,,2006 - 2007,9.0,11.0,1.22,,,,,,,,,
,,2007 - 2008,9.0,11.0,1.22,,,,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,,,,
,,2009 - 2010,2.0,2.0,1.0,,,,,,,,,
,,2010 - 2011,6.0,3.0,0.5,,,,,,,,,
,,2011 - 2012,3.0,2.0,0.67,,,,,,,,,
,,2012 - 2013,3.0,2.0,0.67,,,,,,,,,
,,2013 - 2014,3.0,3.0,1.0,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,,,,
,,2015 - 2016,2.0,2.0,1.0,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
,,2017 - 2018,18.0,10.0,0.56,,,,,,,,,
,,2018 - 2019,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,12.0,17.0,1.42,,,,,,,,,
,Durg,2000 - 2001,4.0,2.0,0.5,,,,,,,,,
,,2001 - 2002,12.0,7.0,0.58,,,,,,,,,
,,2002 - 2003,14.0,8.0,0.57,,,,,,,,,
,,2003 - 2004,16.0,16.0,1.0,,,,,,,,,
,,2004 - 2005,3.0,3.0,1.0,,,,,,,,,
,,2005 - 2006,3.0,3.0,1.0,,,,,,,,,
,,2006 - 2007,59.0,30.0,0.51,,,,,,,,,
,,2007 - 2008,63.0,72.0,1.14,,,,,,,,,
,,2008 - 2009,53.0,53.0,1.0,,,,,,,,,
,,2009 - 2010,48.0,12.0,0.25,,,,,,,,,
,,2010 - 2011,61.0,37.0,0.61,,,,,,,,,
,,2011 - 2012,13.0,11.0,0.85,,,,,,,,,
,,2012 - 2013,110.0,60.0,0.55,,,,,,,,,
,,2013 - 2014,16.0,43.0,2.69,,,,,,,,,
,,2014 - 2015,5.0,7.0,1.4,,,,,,,,,
,,2019 - 2020,34.0,15.0,0.44,,,,,,,,,
,,2020 - 2021,61.0,40.0,0.66,,,,,,,,,
,,2021 - 2022,7.0,11.0,1.57,,,,,,,,,
,,2022 - 2023,3.0,3.0,1.0,,,,,,,,,
,Gariyaband,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,,2022 - 2023,2.0,3.0,1.5,,,,,,,,,
,Jashpur,2000 - 2001,17.0,16.0,0.94,,,,,,,,,
,,2001 - 2002,18.0,17.0,0.94,,,,,,,,,
,,2002 - 2003,19.0,14.0,0.74,,,,,,,,,
,,2003 - 2004,18.0,15.0,0.83,,,,,,,,,
,,2004 - 2005,20.0,16.0,0.8,,,,,,,,,
,,2005 - 2006,18.0,17.0,0.94,,,,,,,,,
,,2006 - 2007,19.0,12.0,0.63,,,,,,,,,
,,2007 - 2008,20.0,21.0,1.05,,,,,,,,,
,,2008 - 2009,22.0,22.0,1.0,,,,,,,,,
,,2009 - 2010,20.0,20.0,1.0,,,,,,,,,
,,2010 - 2011,18.0,9.0,0.5,,,,,,,,,
,,2011 - 2012,18.0,16.0,0.89,,,,,,,,,
,,2012 - 2013,14.0,9.0,0.64,,,,,,,,,
,,2013 - 2014,18.0,18.0,1.0,,,,,,,,,
,,2014 - 2015,15.0,19.0,1.27,,,,,,,,,
,,2015 - 2016,8.0,5.0,0.63,,,,,,,,,
,Korba,2000 - 2001,213.0,177.0,0.83,,,,,,,,,
,,2001 - 2002,212.0,182.0,0.86,,,,,,,,,
,,2002 - 2003,249.0,174.0,0.7,,,,,,,,,
,,2003 - 2004,247.0,207.0,0.84,,,,,,,,,
,,2004 - 2005,230.0,150.0,0.65,,,,,,,,,
,,2005 - 2006,228.0,186.0,0.82,,,,,,,,,
,,2006 - 2007,227.0,145.0,0.64,,,,,,,,,
,,2007 - 2008,222.0,222.0,1.0,,,,,,,,,
,,2008 - 2009,170.0,154.0,0.91,,,,,,,,,
,,2009 - 2010,226.0,178.0,0.79,,,,,,,,,
,,2010 - 2011,228.0,121.0,0.53,,,,,,,,,
,,2011 - 2012,243.0,170.0,0.7,,,,,,,,,
,,2012 - 2013,233.0,108.0,0.46,,,,,,,,,
,,2013 - 2014,233.0,199.0,0.85,,,,,,,,,
,,2014 - 2015,228.0,287.0,1.26,,,,,,,,,
,,2015 - 2016,213.0,114.0,0.54,,,,,,,,,
,,2016 - 2017,162.0,149.0,0.92,,,,,,,,,
,,2017 - 2018,162.0,167.0,1.03,,,,,,,,,
,,2018 - 2019,53.0,41.0,0.77,,,,,,,,,
,,2019 - 2020,39.0,19.0,0.49,,,,,,,,,
,,2020 - 2021,9.0,5.0,0.56,,,,,,,,,
,,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,,,,
,Korea,2000 - 2001,639.0,559.0,0.87,,,,,,,,,
,,2001 - 2002,578.0,479.0,0.83,,,,,,,,,
,,2002 - 2003,373.0,155.0,0.42,,,,,,,,,
,,2003 - 2004,423.0,408.0,0.96,,,,,,,,,
,,2004 - 2005,353.0,269.0,0.76,,,,,,,,,
,,2005 - 2006,310.0,222.0,0.72,,,,,,,,,
,,2006 - 2007,268.0,180.0,0.67,,,,,,,,,
,,2007 - 2008,201.0,183.0,0.91,,,,,,,,,
,,2008 - 2009,167.0,150.0,0.9,,,,,,,,,
,,2009 - 2010,164.0,113.0,0.69,,,,,,,,,
,,2010 - 2011,138.0,67.0,0.49,,,,,,,,,
,,2011 - 2012,152.0,106.0,0.7,,,,,,,,,
,,2012 - 2013,163.0,66.0,0.4,,,,,,,,,
,,2013 - 2014,168.0,135.0,0.8,,,,,,,,,
,,2014 - 2015,167.0,182.0,1.09,,,,,,,,,
,,2015 - 2016,138.0,65.0,0.47,,,,,,,,,
,,2016 - 2017,137.0,91.0,0.66,,,,,,,,,
,,2017 - 2018,104.0,79.0,0.76,,,,,,,,,
,,2018 - 2019,89.0,54.0,0.61,,,,,,,,,
,,2019 - 2020,62.0,30.0,0.48,,,,,,,,,
,,2020 - 2021,52.0,24.0,0.46,,,,,,,,,
,,2021 - 2022,46.0,67.0,1.46,,,,,,,,,
,,2022 - 2023,8.0,7.0,0.88,,,,,,,,,
,Mahasamund,2012 - 2013,1.0,1.0,1.0,,,,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,5.0,10.0,2.0,,,,,,,,,
,,2022 - 2023,2.0,3.0,1.5,,,,,,,,,
,Manendragarh chirimiri bharatpur,2022 - 2023,25.0,21.0,0.84,,,,,,,,,
,Mungeli,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Raigarh,2020 - 2021,3.0,2.0,0.67,,,,,,,,,
,Raipur,2019 - 2020,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,2.0,2.0,,,,,,,,,
,Rajnandgaon,2000 - 2001,5.0,3.0,0.6,,,,,,,,,
,,2001 - 2002,1.0,1.0,1.0,,,,,,,,,
,,2003 - 2004,5.0,4.0,0.8,,,,,,,,,
,,2004 - 2005,8.0,6.0,0.75,,,,,,,,,
,,2005 - 2006,4.0,4.0,1.0,,,,,,,,,
,,2006 - 2007,4.0,4.0,1.0,,,,,,,,,
,,2007 - 2008,1.0,1.0,1.0,,,,,,,,,
,,2008 - 2009,5.0,5.0,1.0,,,,,,,,,
,,2009 - 2010,12.0,,0.0,,,,,,,,,
,,2010 - 2011,32.0,29.0,0.91,,,,,,,,,
,,2011 - 2012,71.0,90.0,1.27,,,,,,,,,
,,2012 - 2013,9.0,8.0,0.89,,,,,,,,,
,,2013 - 2014,2.0,3.0,1.5,,,,,,,,,
,,2014 - 2015,18.0,40.0,2.22,,,,,,,,,
,,2015 - 2016,12.0,12.0,1.0,,,,,,,,,
,,2016 - 2017,6.0,8.0,1.33,,,,,,,,,
,,2017 - 2018,2.0,2.0,1.0,,,,,,,,,
,,2018 - 2019,4.0,5.0,1.25,,,,,,,,,
,,2019 - 2020,4.0,4.0,1.0,,,,,,,,,
,,2020 - 2021,4.0,6.0,1.5,,,,,,,,,
,,2021 - 2022,4.0,11.0,2.75,,,,,,,,,
,,2022 - 2023,4.0,7.0,1.75,,,,,,,,,
,Sukma,2019 - 2020,344.0,285.0,0.83,,,,,,,,,
,Surajpur,2011 - 2012,745.0,560.0,0.75,,,,,,,,,
,,2012 - 2013,665.0,609.0,0.92,,,,,,,,,
,,2013 - 2014,618.0,625.0,1.01,,,,,,,,,
,,2014 - 2015,629.0,651.0,1.03,,,,,,,,,
,,2015 - 2016,553.0,382.0,0.69,,,,,,,,,
,,2016 - 2017,558.0,536.0,0.96,,,,,,,,,
,,2017 - 2018,379.0,426.0,1.12,,,,,,,,,
,,2018 - 2019,365.0,310.0,0.85,,,,,,,,,
,,2019 - 2020,359.0,228.0,0.64,,,,,,,,,
,,2020 - 2021,375.0,271.0,0.72,,,,,,,,,
,,2021 - 2022,241.0,308.0,1.28,,,,,,,,,
,,2022 - 2023,47.0,56.0,1.19,,,,,,,,,
,Surguja,2000 - 2001,,,0.83,,,,,,,,,
,,2001 - 2002,,,0.82,,,,,,,,,
,,2002 - 2003,,,0.83,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2004 - 2005,,,0.93,,,,,,,,,
,,2005 - 2006,,,0.84,,,,,,,,,
,,2006 - 2007,,,0.85,,,,,,,,,
,,2007 - 2008,,,1.19,,,,,,,,,
,,2008 - 2009,,,0.9,,,,,,,,,
,,2009 - 2010,,,0.78,,,,,,,,,
,,2010 - 2011,,930.0,0.53,,,,,,,,,
,,2011 - 2012,146.0,110.0,0.75,,,,,,,,,
,,2012 - 2013,141.0,68.0,0.48,,,,,,,,,
,,2013 - 2014,117.0,107.0,0.91,,,,,,,,,
,,2014 - 2015,121.0,100.0,0.83,,,,,,,,,
,,2015 - 2016,106.0,70.0,0.66,,,,,,,,,
,,2016 - 2017,96.0,94.0,0.98,,,,,,,,,
,,2017 - 2018,77.0,74.0,0.96,,,,,,,,,
,,2018 - 2019,66.0,51.0,0.77,,,,,,,,,
,,2019 - 2020,87.0,61.0,0.7,,,,,,,,,
,,2020 - 2021,50.0,32.0,0.64,,,,,,,,,
,,2021 - 2022,32.0,56.0,1.75,,,,,,,,,
,,2022 - 2023,46.0,46.0,1.0,,,,,,,,,
Delhi,Delhi_total,2008 - 2009,,,,72.0,202.0,2.81,,,,,,
,,2009 - 2010,,,,76.0,214.0,2.82,,,,,,
,,2010 - 2011,,,,70.0,197.0,2.81,,,,,,
,,2011 - 2012,,,,66.0,195.0,2.95,,,,,,
,,2012 - 2013,,,,65.0,183.0,2.82,,,,,,
